Day,Suceptible,Exposed,Infected_asymptomatic,Infected_presymptomatic,Infected_symptomatic,Recovered,Hospitalized,Death,R_null
0,235,0,0,1,0,0,0,0,0
1,235,0,0,1,0,0,0,0,0
2,235,0,0,1,0,0,0,0,0
3,234,1,0,0,1,0,0,0,0
4,231,4,0,0,1,0,0,0,0
5,230,5,0,0,1,0,0,0,0
6,229,5,1,0,1,0,0,0,0
7,229,2,2,2,1,0,0,0,0
8,223,7,3,2,0,1,0,0,10.0
9,222,7,3,3,0,1,0,0,10.0
10,219,10,3,3,0,1,0,0,10.0
11,216,7,5,5,2,1,0,0,10.0
12,213,9,6,5,2,1,0,0,10.0
13,211,8,6,6,3,2,0,0,10.0
14,205,11,5,9,3,3,0,0,5.5
15,196,17,5,7,7,4,0,0,5.5
16,191,20,5,9,5,6,0,0,4.25
17,186,19,8,10,7,6,0,0,4.25
18,178,18,9,13,9,9,0,0,4.5
19,161,30,11,13,11,10,0,0,4.5
20,149,37,12,14,9,15,0,0,4.333333333333333
21,140,38,17,14,12,15,0,0,4.333333333333333
22,130,31,20,21,16,18,0,0,4.7272727272727275
23,118,31,25,26,15,21,0,0,4.071428571428571
24,106,34,26,28,16,26,0,0,4.0
25,88,42,27,31,17,31,0,0,3.8947368421052633
26,83,35,30,24,27,37,0,0,3.739130434782609
27,71,35,33,24,28,45,0,0,3.6333333333333333
28,63,25,35,30,31,52,0,0,3.5454545454545454
29,55,28,32,28,34,59,0,0,3.4444444444444446
30,45,26,31,30,37,67,0,0,3.3333333333333335
31,41,22,30,28,31,84,0,0,3.183673469387755
32,34,21,28,23,35,95,0,0,3.1666666666666665
33,31,14,25,26,34,106,0,0,3.0508474576271185
34,30,11,22,20,36,117,0,0,2.9838709677419355
35,25,9,16,21,35,130,0,0,2.9375
36,23,8,15,18,34,138,0,0,2.8823529411764706
37,22,8,11,12,30,153,0,0,2.7567567567567566
38,20,5,9,14,28,160,0,0,2.723684210526316
39,17,6,7,10,26,170,0,0,2.6794871794871793
40,16,6,5,7,24,178,0,0,2.65
41,13,7,4,7,19,186,0,0,2.5714285714285716
42,12,5,5,4,16,194,0,0,2.5714285714285716
43,12,4,6,2,16,196,0,0,2.5714285714285716
44,11,2,7,4,10,202,0,0,2.528735632183908
45,10,2,7,3,8,206,0,0,2.528735632183908
46,9,3,7,2,8,207,0,0,2.522727272727273
47,9,2,7,2,4,212,0,0,2.5
48,9,1,6,1,4,215,0,0,2.4835164835164836
49,9,0,5,1,4,217,0,0,2.4835164835164836
