Day,Suceptible,Exposed,Infected_asymptomatic,Infected_presymptomatic,Infected_symptomatic,Recovered,Hospitalized,Death,R_null
0,221,0,0,1,0,0,0,0,0
1,220,1,0,1,0,0,0,0,0
2,219,2,0,1,0,0,0,0,0
3,219,2,0,0,1,0,0,0,0
4,218,2,1,0,1,0,0,0,0
5,217,2,2,0,1,0,0,0,0
6,214,5,2,0,1,0,0,0,0
7,214,4,2,1,1,0,0,0,0
8,213,4,3,1,0,1,0,0,7.0
9,212,2,3,4,0,1,0,0,7.0
10,210,4,3,4,0,1,0,0,7.0
11,208,5,3,3,1,2,0,0,4.0
12,205,7,2,4,1,3,0,0,3.0
13,204,6,3,2,4,3,0,0,3.0
14,199,9,5,2,4,3,0,0,3.0
15,198,7,6,3,4,4,0,0,2.5
16,197,7,6,3,4,5,0,0,2.2
17,194,5,7,6,5,5,0,0,2.2
18,192,6,6,7,2,9,0,0,2.111111111111111
19,192,5,6,7,3,9,0,0,2.111111111111111
20,189,5,6,8,4,10,0,0,1.9
21,186,6,5,5,7,13,0,0,1.6923076923076923
22,185,7,3,4,7,16,0,0,1.5625
23,178,11,5,4,8,16,0,0,1.5625
24,177,9,5,4,9,18,0,0,1.4444444444444444
25,172,13,5,4,9,19,0,0,1.6842105263157894
26,166,12,9,7,5,23,0,0,1.6521739130434783
27,165,12,9,6,5,25,0,0,1.56
28,162,10,9,8,6,27,0,0,1.5925925925925926
29,158,8,13,9,5,29,0,0,1.6896551724137931
30,150,15,11,7,7,32,0,0,1.59375
31,147,15,12,8,7,33,0,0,1.5454545454545454
32,142,16,15,5,10,34,0,0,1.588235294117647
33,139,11,16,6,10,40,0,0,1.425
34,136,11,16,7,10,42,0,0,1.5
35,129,13,17,9,8,46,0,0,1.5
36,123,16,16,8,9,50,0,0,1.42
37,119,17,16,8,8,54,0,0,1.462962962962963
38,110,19,16,11,8,58,0,0,1.4655172413793103
39,105,18,15,12,10,62,0,0,1.435483870967742
40,101,18,11,15,9,68,0,0,1.3970588235294117
41,98,12,13,18,11,70,0,0,1.4
42,91,14,13,16,13,75,0,0,1.4
43,87,14,13,13,15,80,0,0,1.3875
44,82,16,14,12,15,83,0,0,1.4216867469879517
45,76,15,13,12,21,85,0,0,1.388235294117647
46,73,14,14,10,21,90,0,0,1.4
47,69,13,16,11,17,96,0,0,1.3333333333333333
48,66,10,15,13,15,103,0,0,1.3009708737864079
49,62,11,16,7,18,108,0,0,1.2685185185185186
50,58,11,13,10,13,117,0,0,1.264957264957265
51,57,9,14,9,12,121,0,0,1.28099173553719
52,57,5,13,9,15,123,0,0,1.2601626016260163
53,55,3,12,11,13,128,0,0,1.2421875
54,54,3,10,7,11,137,0,0,1.1751824817518248
55,53,4,8,6,11,140,0,0,1.15
56,51,4,6,3,13,145,0,0,1.1172413793103448
57,50,4,6,2,11,149,0,0,1.1006711409395973
58,50,3,4,3,11,151,0,0,1.086092715231788
59,50,1,5,4,7,155,0,0,1.096774193548387
60,50,0,4,3,7,158,0,0,1.0759493670886076
61,50,0,3,2,4,163,0,0,1.049079754601227
62,50,0,3,1,3,165,0,0,1.0363636363636364
63,50,0,2,0,4,166,0,0,1.0301204819277108
64,49,1,2,0,4,166,0,0,1.0301204819277108
65,49,1,2,0,3,167,0,0,1.0239520958083832
66,49,1,1,0,2,169,0,0,1.017751479289941
67,49,0,1,0,1,171,0,0,1.0058479532163742
68,49,0,1,0,0,172,0,0,1.0
69,49,0,1,0,0,172,0,0,1.0
70,49,0,1,0,0,172,0,0,1.0
71,49,0,1,0,0,172,0,0,1.0
72,49,0,1,0,0,172,0,0,1.0
73,49,0,1,0,0,172,0,0,1.0
74,49,0,0,0,0,173,0,0,0.9942196531791907
75,49,0,0,0,0,173,0,0,0.9942196531791907
76,49,0,0,0,0,173,0,0,0.9942196531791907
77,49,0,0,0,0,173,0,0,0.9942196531791907
78,49,0,0,0,0,173,0,0,0.9942196531791907
79,49,0,0,0,0,173,0,0,0.9942196531791907
80,49,0,0,0,0,173,0,0,0.9942196531791907
81,49,0,0,0,0,173,0,0,0.9942196531791907
82,49,0,0,0,0,173,0,0,0.9942196531791907
83,49,0,0,0,0,173,0,0,0.9942196531791907
84,49,0,0,0,0,173,0,0,0.9942196531791907
85,49,0,0,0,0,173,0,0,0.9942196531791907
86,49,0,0,0,0,173,0,0,0.9942196531791907
87,49,0,0,0,0,173,0,0,0.9942196531791907
88,49,0,0,0,0,173,0,0,0.9942196531791907
89,49,0,0,0,0,173,0,0,0.9942196531791907
90,49,0,0,0,0,173,0,0,0.9942196531791907
91,49,0,0,0,0,173,0,0,0.9942196531791907
92,49,0,0,0,0,173,0,0,0.9942196531791907
93,49,0,0,0,0,173,0,0,0.9942196531791907
94,49,0,0,0,0,173,0,0,0.9942196531791907
95,49,0,0,0,0,173,0,0,0.9942196531791907
96,49,0,0,0,0,173,0,0,0.9942196531791907
97,49,0,0,0,0,173,0,0,0.9942196531791907
98,49,0,0,0,0,173,0,0,0.9942196531791907
99,49,0,0,0,0,173,0,0,0.9942196531791907
