Day,Suceptible,Exposed,Infected_asymptomatic,Infected_presymptomatic,Infected_symptomatic,Recovered,Hospitalized,Death,R_null
0.0,221.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,220.22,0.78,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,219.45,1.55,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3.0,218.88,2.12,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4.0,218.49,1.73,0.29,0.49,1.0,0.0,0.0,0.0,0.0
5.0,217.72,1.73,0.63,0.92,1.0,0.0,0.0,0.0,0.0
6.0,216.64,2.24,0.91,1.21,1.0,0.0,0.0,0.0,0.0
7.0,215.51,2.98,1.16,1.35,1.0,0.0,0.0,0.0,0.0
8.0,214.28,3.44,1.5,1.29,0.49,1.0,0.0,0.0,4.01
9.0,213.21,3.43,1.91,1.53,0.92,1.0,0.0,0.0,4.01
10.0,211.74,3.77,2.31,1.97,1.21,1.0,0.0,0.0,4.01
11.0,210.2,4.08,2.5,2.58,1.35,1.29,0.0,0.0,3.4266666666666667
12.0,208.2,5.01,2.55,2.83,1.78,1.63,0.0,0.0,2.786666666666667
13.0,206.35,5.39,2.84,3.06,1.96,2.4,0.0,0.0,2.5155000000000003
14.0,204.49,5.71,3.16,3.3,2.26,3.08,0.0,0.0,2.4294404761904764
15.0,202.15,6.05,3.78,3.59,2.72,3.71,0.0,0.0,2.3373293650793654
16.0,199.77,6.58,4.11,4.02,3.26,4.26,0.0,0.0,2.1780912698412696
17.0,197.21,7.28,4.61,4.08,3.73,5.09,0.0,0.0,2.050822191697192
18.0,194.8,7.35,5.13,4.45,4.03,6.24,0.0,0.0,1.9579886943122244
19.0,192.15,7.62,5.85,4.68,4.34,7.36,0.0,0.0,1.9788474624790415
20.0,189.69,7.52,6.22,5.19,4.7,8.68,0.0,0.0,1.9086030533476188
21.0,186.85,7.95,6.77,5.52,4.98,9.93,0.0,0.0,1.8499153819763614
22.0,183.73,8.42,6.97,5.67,5.42,11.79,0.0,0.0,1.7632912860219974
23.0,180.67,9.02,7.26,5.83,5.72,13.5,0.0,0.0,1.7547449723609747
24.0,177.41,9.44,7.46,5.95,6.3,15.44,0.0,0.0,1.7050347495088283
25.0,174.49,9.24,7.73,6.51,6.48,17.55,0.0,0.0,1.624023328126303
26.0,171.07,9.6,7.84,6.86,7.01,19.62,0.0,0.0,1.5630434390825025
27.0,167.94,9.47,8.38,7.21,7.1,21.9,0.0,0.0,1.5222714358604423
28.0,164.48,10.01,8.5,7.15,7.57,24.29,0.0,0.0,1.480221926311418
29.0,161.11,9.96,8.63,7.43,7.8,27.07,0.0,0.0,1.4616449658549246
30.0,157.52,10.42,8.91,7.41,8.35,29.39,0.0,0.0,1.438817227001404
31.0,154.38,10.1,9.24,7.66,8.64,31.98,0.0,0.0,1.4176859033190894
32.0,151.03,10.08,9.31,8.01,8.89,34.68,0.0,0.0,1.385056898882434
33.0,147.72,9.8,9.55,8.01,9.28,37.64,0.0,0.0,1.357912363991991
34.0,144.19,10.19,9.39,8.01,9.25,40.97,0.0,0.0,1.3300262786307928
35.0,140.88,10.15,9.55,7.93,9.44,44.05,0.0,0.0,1.315581683245822
36.0,137.69,10.03,9.78,7.69,9.69,47.12,0.0,0.0,1.2942757954212405
37.0,134.64,9.55,9.77,7.79,10.14,50.11,0.0,0.0,1.2681379221717783
38.0,131.58,9.3,9.44,8.18,9.83,53.67,0.0,0.0,1.2422291767452913
39.0,128.31,9.38,9.36,8.16,9.96,56.83,0.0,0.0,1.2248107138775406
40.0,124.84,9.8,9.17,8.15,9.72,60.32,0.0,0.0,1.209717752444674
41.0,121.87,9.71,9.13,7.7,9.92,63.67,0.0,0.0,1.2027244012837373
42.0,119.25,9.06,9.16,7.33,10.0,67.2,0.0,0.0,1.1848048251786378
43.0,116.37,8.47,9.0,7.51,10.11,70.54,0.0,0.0,1.1646202116472355
44.0,113.9,7.97,8.83,7.57,9.94,73.79,0.0,0.0,1.147468862586286
45.0,111.44,7.81,8.87,7.27,9.93,76.68,0.0,0.0,1.1299167940256865
46.0,108.91,7.46,8.84,7.08,9.54,80.17,0.0,0.0,1.118547046790218
47.0,106.53,7.37,8.46,6.55,9.44,83.65,0.0,0.0,1.1090620306376109
48.0,104.65,6.79,8.13,6.22,9.35,86.86,0.0,0.0,1.0928605301240022
49.0,102.51,6.4,7.81,6.16,9.05,90.07,0.0,0.0,1.0798440195634955
50.0,100.52,6.01,7.37,5.97,8.92,93.21,0.0,0.0,1.0639472219244452
51.0,98.84,5.81,6.96,5.55,8.66,96.18,0.0,0.0,1.0537345718058277
52.0,97.14,5.37,6.61,5.39,8.06,99.43,0.0,0.0,1.0470707953211917
53.0,95.38,5.14,6.21,5.13,7.64,102.5,0.0,0.0,1.032613157653921
54.0,93.81,5.03,5.86,4.81,7.62,104.87,0.0,0.0,1.0280450157238734
55.0,92.42,4.72,5.56,4.7,7.13,107.47,0.0,0.0,1.0170788126348298
56.0,91.19,4.19,5.06,4.5,6.9,110.16,0.0,0.0,1.0078450359332047
57.0,90.04,3.77,4.81,4.24,6.55,112.59,0.0,0.0,0.9994746854367854
58.0,88.76,3.66,4.6,3.98,6.27,114.73,0.0,0.0,0.9932557479914371
59.0,87.75,3.44,4.3,3.67,5.86,116.98,0.0,0.0,0.986649993014157
60.0,86.77,3.27,3.91,3.23,5.85,118.97,0.0,0.0,0.9801908963258531
61.0,86.06,2.7,3.84,3.14,5.4,120.86,0.0,0.0,0.9752990859422742
62.0,85.19,2.56,3.58,2.88,5.12,122.67,0.0,0.0,0.9698768068693266
63.0,84.33,2.44,3.34,2.75,4.72,124.42,0.0,0.0,0.9636217406356069
64.0,83.5,2.56,2.95,2.47,4.38,126.14,0.0,0.0,0.9588207688007665
65.0,82.75,2.44,2.69,2.28,4.04,127.8,0.0,0.0,0.9531491212660582
66.0,81.99,2.34,2.63,2.09,3.76,129.19,0.0,0.0,0.9486031438950637
67.0,81.38,2.12,2.51,1.99,3.49,130.51,0.0,0.0,0.9441604935794252
68.0,80.83,1.92,2.43,1.92,3.18,131.72,0.0,0.0,0.9398675116613511
69.0,80.33,1.66,2.48,1.62,3.09,132.82,0.0,0.0,0.9367888353252769
70.0,79.93,1.45,2.35,1.56,2.71,134.0,0.0,0.0,0.9354616417354675
71.0,79.53,1.3,2.26,1.41,2.6,134.9,0.0,0.0,0.9327401876402943
72.0,79.04,1.29,2.2,1.36,2.35,135.76,0.0,0.0,0.9293213220625958
73.0,78.65,1.28,1.91,1.3,2.24,136.62,0.0,0.0,0.925685173340511
74.0,78.29,1.24,1.76,1.16,1.99,137.56,0.0,0.0,0.9242713249824023
75.0,78.02,1.02,1.56,1.1,1.92,138.38,0.0,0.0,0.9211978580015144
76.0,77.67,0.98,1.27,1.03,1.72,139.33,0.0,0.0,0.916374814859511
77.0,77.28,1.01,1.16,1.0,1.62,139.93,0.0,0.0,0.9144764400659782
78.0,77.02,1.0,1.11,0.9,1.53,140.44,0.0,0.0,0.9129168163129532
79.0,76.76,0.91,1.06,0.81,1.46,141.0,0.0,0.0,0.911675920791114
80.0,76.53,0.75,1.07,0.81,1.34,141.5,0.0,0.0,0.9101979201407449
81.0,76.33,0.69,0.98,0.76,1.26,141.98,0.0,0.0,0.9090364961702619
82.0,76.12,0.64,0.91,0.77,1.13,142.43,0.0,0.0,0.9079065224999755
83.0,75.97,0.56,0.81,0.74,1.11,142.81,0.0,0.0,0.9075657642453738
84.0,75.8,0.53,0.76,0.62,1.05,143.24,0.0,0.0,0.9071298409060318
85.0,75.64,0.48,0.74,0.53,0.99,143.62,0.0,0.0,0.9065123173743064
86.0,75.56,0.41,0.63,0.51,0.9,143.99,0.0,0.0,0.9049490693541302
87.0,75.36,0.44,0.55,0.43,0.95,144.27,0.0,0.0,0.9035478766368762
88.0,75.27,0.37,0.54,0.4,0.86,144.56,0.0,0.0,0.9022105058627146
89.0,75.14,0.42,0.43,0.38,0.71,144.92,0.0,0.0,0.9010798385479473
90.0,75.07,0.29,0.43,0.41,0.65,145.15,0.0,0.0,0.9003721298712993
91.0,74.99,0.28,0.41,0.34,0.61,145.37,0.0,0.0,0.8994966050360457
92.0,74.91,0.23,0.33,0.34,0.52,145.67,0.0,0.0,0.8982570632965934
93.0,74.81,0.26,0.37,0.27,0.47,145.82,0.0,0.0,0.8979347924070776
94.0,74.77,0.22,0.35,0.15,0.53,145.98,0.0,0.0,0.8973574214595071
95.0,74.7,0.21,0.32,0.16,0.44,146.17,0.0,0.0,0.8969667262156356
96.0,74.68,0.13,0.36,0.12,0.43,146.28,0.0,0.0,0.8966561672527624
97.0,74.64,0.13,0.31,0.16,0.34,146.42,0.0,0.0,0.8967012926248619
98.0,74.6,0.1,0.28,0.17,0.3,146.55,0.0,0.0,0.8959593811226806
99.0,74.6,0.08,0.25,0.14,0.19,146.74,0.0,0.0,0.8953970307958418
