Day,Suceptible,Exposed,Infected_asymptomatic,Infected_presymptomatic,Infected_symptomatic,Recovered,Hospitalized,Death,R_null
0,221,0,0,1,0,0,0,0,0
1,221,0,0,1,0,0,0,0,0
2,219,2,0,1,0,0,0,0,0
3,218,3,0,0,1,0,0,0,0
4,217,4,0,0,1,0,0,0,0
5,214,5,1,1,1,0,0,0,0
6,214,4,1,2,1,0,0,0,0
7,214,3,1,3,1,0,0,0,0
8,211,3,1,6,0,1,0,0,10.0
9,210,4,1,5,1,1,0,0,10.0
10,208,6,1,4,2,1,0,0,10.0
11,205,6,1,6,3,1,0,0,10.0
12,202,8,1,3,6,2,0,0,5.0
13,199,9,1,5,6,2,0,0,5.0
14,199,6,1,8,5,3,0,0,3.6666666666666665
15,195,7,4,5,7,4,0,0,3.5
16,191,8,5,7,6,5,0,0,2.8
17,185,14,5,5,5,8,0,0,2.75
18,183,12,8,3,8,8,0,0,2.75
19,181,10,8,6,8,9,0,0,2.5555555555555554
20,176,9,9,9,7,12,0,0,2.75
21,174,9,10,10,7,12,0,0,2.75
22,172,9,7,11,6,17,0,0,2.1176470588235294
23,164,12,8,11,6,21,0,0,1.8571428571428572
24,161,13,9,7,11,21,0,0,1.8571428571428572
25,158,14,8,6,10,26,0,0,1.6153846153846154
26,153,11,9,10,12,27,0,0,1.5555555555555556
27,148,13,10,8,14,29,0,0,1.5517241379310345
28,140,18,10,9,12,33,0,0,1.5454545454545454
29,136,17,14,10,7,38,0,0,1.605263157894737
30,133,15,14,7,12,41,0,0,1.6341463414634145
31,130,10,17,10,11,44,0,0,1.75
32,126,10,18,9,10,49,0,0,1.653061224489796
33,123,10,17,10,10,52,0,0,1.6153846153846154
34,121,9,15,10,13,54,0,0,1.5555555555555556
35,116,10,15,9,11,61,0,0,1.540983606557377
36,111,12,12,10,11,66,0,0,1.4242424242424243
37,102,19,10,10,11,70,0,0,1.3857142857142857
38,95,21,8,10,13,75,0,0,1.3066666666666666
39,93,18,6,11,13,81,0,0,1.345679012345679
40,89,13,7,16,11,86,0,0,1.2790697674418605
41,84,11,9,19,12,87,0,0,1.264367816091954
42,76,17,9,17,13,90,0,0,1.2555555555555555
43,72,17,10,15,14,94,0,0,1.2872340425531914
44,71,13,11,12,18,97,0,0,1.288659793814433
45,68,8,13,11,21,101,0,0,1.2673267326732673
46,62,10,12,14,20,104,0,0,1.2980769230769231
47,61,10,10,13,19,109,0,0,1.2568807339449541
48,55,13,9,11,19,115,0,0,1.2695652173913043
49,53,9,10,11,16,123,0,0,1.2520325203252032
50,49,12,8,8,15,130,0,0,1.2
51,48,7,10,10,15,132,0,0,1.1893939393939394
52,45,8,7,9,15,138,0,0,1.144927536231884
53,43,6,10,6,15,142,0,0,1.1408450704225352
54,42,6,11,5,12,146,0,0,1.1369863013698631
55,41,4,10,5,11,151,0,0,1.1324503311258278
56,40,3,9,5,11,154,0,0,1.1168831168831168
57,38,4,9,5,10,156,0,0,1.1153846153846154
58,36,5,6,6,6,163,0,0,1.098159509202454
59,35,5,6,3,8,165,0,0,1.096969696969697
60,35,3,3,4,6,171,0,0,1.0701754385964912
61,34,2,2,5,6,173,0,0,1.0578034682080926
62,33,2,3,4,6,174,0,0,1.0574712643678161
63,33,2,2,4,6,175,0,0,1.0514285714285714
64,31,3,2,3,5,178,0,0,1.050561797752809
65,31,2,2,2,6,179,0,0,1.0558659217877095
66,31,2,1,2,5,181,0,0,1.0441988950276244
67,31,0,2,3,4,182,0,0,1.0384615384615385
68,31,0,2,2,5,182,0,0,1.0384615384615385
69,30,1,1,1,4,185,0,0,1.027027027027027
70,29,2,1,1,2,187,0,0,1.0160427807486632
71,29,2,1,0,3,187,0,0,1.0160427807486632
72,29,1,1,1,3,187,0,0,1.0160427807486632
73,29,0,1,2,2,188,0,0,1.0106382978723405
74,29,0,0,2,1,190,0,0,1.0105263157894737
75,29,0,0,2,1,190,0,0,1.0105263157894737
76,29,0,0,1,1,191,0,0,1.0052356020942408
77,29,0,0,0,2,191,0,0,1.0052356020942408
78,29,0,0,0,2,191,0,0,1.0052356020942408
79,29,0,0,0,2,191,0,0,1.0052356020942408
80,29,0,0,0,2,191,0,0,1.0052356020942408
81,29,0,0,0,1,192,0,0,1.0
82,29,0,0,0,0,193,0,0,0.9948186528497409
83,29,0,0,0,0,193,0,0,0.9948186528497409
84,29,0,0,0,0,193,0,0,0.9948186528497409
85,29,0,0,0,0,193,0,0,0.9948186528497409
86,29,0,0,0,0,193,0,0,0.9948186528497409
87,29,0,0,0,0,193,0,0,0.9948186528497409
88,29,0,0,0,0,193,0,0,0.9948186528497409
89,29,0,0,0,0,193,0,0,0.9948186528497409
90,29,0,0,0,0,193,0,0,0.9948186528497409
91,29,0,0,0,0,193,0,0,0.9948186528497409
92,29,0,0,0,0,193,0,0,0.9948186528497409
93,29,0,0,0,0,193,0,0,0.9948186528497409
94,29,0,0,0,0,193,0,0,0.9948186528497409
95,29,0,0,0,0,193,0,0,0.9948186528497409
96,29,0,0,0,0,193,0,0,0.9948186528497409
97,29,0,0,0,0,193,0,0,0.9948186528497409
98,29,0,0,0,0,193,0,0,0.9948186528497409
99,29,0,0,0,0,193,0,0,0.9948186528497409
