Day,Suceptible,Exposed,Infected_asymptomatic,Infected_presymptomatic,Infected_symptomatic,Recovered,Hospitalized,Death,R_null
0.0,221.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,220.41,0.59,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,219.82,1.18,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3.0,219.45,1.55,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4.0,219.06,1.35,0.23,0.36,1.0,0.0,0.0,0.0,0.0
5.0,218.56,1.26,0.57,0.61,1.0,0.0,0.0,0.0,0.0
6.0,217.71,1.74,0.73,0.82,1.0,0.0,0.0,0.0,0.0
7.0,216.89,2.17,0.85,1.09,1.0,0.0,0.0,0.0,0.0
8.0,215.85,2.71,1.06,1.02,0.36,1.0,0.0,0.0,3.29
9.0,215.11,2.6,1.33,1.35,0.61,1.0,0.0,0.0,3.29
10.0,213.96,2.93,1.69,1.6,0.82,1.0,0.0,0.0,3.29
11.0,212.66,3.19,1.89,1.94,1.09,1.23,0.0,0.0,2.838333333333334
12.0,211.08,4.03,1.84,2.1,1.38,1.57,0.0,0.0,2.3433333333333337
13.0,209.48,4.48,2.22,2.13,1.6,2.09,0.0,0.0,2.251333333333333
14.0,207.84,4.82,2.75,2.32,1.81,2.46,0.0,0.0,2.279
15.0,206.24,4.84,3.16,2.67,2.21,2.88,0.0,0.0,2.1943333333333332
16.0,204.3,5.18,3.59,3.12,2.39,3.42,0.0,0.0,2.1200952380952383
17.0,202.21,5.63,3.88,3.5,2.71,4.07,0.0,0.0,1.9627871572871576
18.0,200.07,6.17,4.09,3.81,2.78,5.08,0.0,0.0,1.9318037518037519
19.0,197.95,6.35,4.53,4.06,3.28,5.83,0.0,0.0,1.9460525556315031
20.0,195.64,6.57,4.78,4.46,3.57,6.98,0.0,0.0,1.9274606756332766
21.0,192.63,7.44,4.87,4.87,4.11,8.08,0.0,0.0,1.8253161674926384
22.0,189.76,8.19,5.17,5.11,4.46,9.31,0.0,0.0,1.7873676404429375
23.0,186.84,8.8,5.45,5.23,5.02,10.66,0.0,0.0,1.6765061570988056
24.0,183.67,8.96,6.11,5.63,5.36,12.27,0.0,0.0,1.6586171615521688
25.0,180.13,9.63,6.58,5.99,5.86,13.81,0.0,0.0,1.6359971970576106
26.0,176.98,9.86,7.0,6.56,6.07,15.53,0.0,0.0,1.6117154825450464
27.0,173.45,10.22,7.35,7.26,6.44,17.28,0.0,0.0,1.5836058660851646
28.0,169.48,10.65,8.15,7.56,6.93,19.23,0.0,0.0,1.5523896612013914
29.0,165.93,11.05,8.56,7.62,7.39,21.45,0.0,0.0,1.533848908095817
30.0,162.26,11.19,8.95,8.01,7.76,23.83,0.0,0.0,1.5104322863377555
31.0,158.81,10.67,9.31,8.28,8.59,26.34,0.0,0.0,1.477807794146021
32.0,155.13,10.8,9.81,8.22,9.26,28.78,0.0,0.0,1.476442389015229
33.0,151.75,10.51,10.19,8.54,9.38,31.63,0.0,0.0,1.4626693630813332
34.0,148.34,10.47,10.33,8.55,9.78,34.53,0.0,0.0,1.4527635755908508
