Day,Suceptible,Exposed,Infected_asymptomatic,Infected_presymptomatic,Infected_symptomatic,Recovered,Hospitalized,Death,R_null
0,221,0,0,1,0,0,0,0,0
1,220,1,0,1,0,0,0,0,0
2,220,1,0,1,0,0,0,0,0
3,220,1,0,0,1,0,0,0,0
4,218,2,0,1,1,0,0,0,0
5,216,4,0,1,1,0,0,0,0
6,216,4,0,1,1,0,0,0,0
7,214,4,1,2,1,0,0,0,0
8,213,3,2,2,1,1,0,0,5.0
9,212,4,2,2,1,1,0,0,5.0
10,211,3,3,3,1,1,0,0,5.0
11,210,3,4,2,2,1,0,0,5.0
12,210,2,5,1,3,1,0,0,5.0
13,209,2,5,2,2,2,0,0,4.5
14,208,2,5,1,3,3,0,0,3.0
15,205,5,4,1,3,4,0,0,2.75
16,204,5,4,2,2,5,0,0,2.6
17,203,5,3,2,2,7,0,0,2.142857142857143
18,202,3,3,4,2,8,0,0,1.875
19,201,3,3,4,1,10,0,0,1.6
20,197,6,3,4,2,10,0,0,1.6
21,194,8,2,4,3,11,0,0,1.4545454545454546
22,192,9,2,3,4,12,0,0,1.5
23,189,8,4,5,4,12,0,0,1.5
24,188,6,5,6,5,12,0,0,1.5
25,186,6,5,6,5,14,0,0,1.5714285714285714
26,182,7,4,8,5,16,0,0,1.625
27,179,9,5,6,5,18,0,0,1.6111111111111112
28,175,11,5,6,7,18,0,0,1.6111111111111112
29,171,11,6,8,7,19,0,0,1.7894736842105263
30,167,12,5,7,9,22,0,0,2.0454545454545454
31,164,11,7,8,8,24,0,0,1.9166666666666667
32,161,10,8,8,8,27,0,0,1.7777777777777777
33,158,9,10,7,9,29,0,0,1.7586206896551724
34,152,12,11,6,10,31,0,0,1.7419354838709677
35,147,14,13,6,8,34,0,0,1.6470588235294117
36,146,12,14,5,10,35,0,0,1.6
37,141,11,15,7,10,38,0,0,1.5
38,138,9,15,8,8,44,0,0,1.5909090909090908
39,134,12,13,8,7,48,0,0,1.4791666666666667
40,133,8,12,11,7,51,0,0,1.392156862745098
41,130,8,11,9,9,55,0,0,1.3818181818181818
42,125,9,13,7,9,59,0,0,1.3559322033898304
43,120,13,11,7,9,62,0,0,1.3548387096774193
44,117,13,10,5,12,65,0,0,1.3076923076923077
45,113,12,8,7,13,69,0,0,1.2608695652173914
46,111,9,10,10,9,73,0,0,1.2876712328767124
47,106,11,12,9,8,76,0,0,1.2763157894736843
48,103,10,13,9,9,78,0,0,1.3205128205128205
49,97,14,10,6,9,86,0,0,1.302325581395349
50,93,13,11,7,10,88,0,0,1.3295454545454546
51,92,11,10,10,10,89,0,0,1.3146067415730338
52,90,7,11,12,11,91,0,0,1.2857142857142858
53,84,9,11,13,10,95,0,0,1.2947368421052632
54,80,12,9,9,10,102,0,0,1.2352941176470589
55,77,13,8,7,10,107,0,0,1.2149532710280373
56,77,7,9,7,14,108,0,0,1.2037037037037037
57,73,7,10,7,14,111,0,0,1.1981981981981982
58,71,6,12,8,13,112,0,0,1.1964285714285714
59,69,8,10,7,10,118,0,0,1.2203389830508475
60,68,5,9,6,11,123,0,0,1.1869918699186992
61,65,6,8,6,9,128,0,0,1.1640625
62,62,7,8,6,8,131,0,0,1.1450381679389312
63,61,7,6,7,8,133,0,0,1.1278195488721805
64,57,8,5,6,10,136,0,0,1.1029411764705883
65,56,6,4,6,8,142,0,0,1.0845070422535212
66,55,6,4,6,7,144,0,0,1.0972222222222223
67,55,2,4,8,7,146,0,0,1.082191780821918
68,51,5,5,6,9,146,0,0,1.082191780821918
69,49,6,5,4,8,150,0,0,1.0866666666666667
70,48,7,5,3,7,152,0,0,1.0921052631578947
71,47,4,6,2,9,154,0,0,1.0844155844155845
72,47,2,6,3,8,156,0,0,1.0769230769230769
73,47,1,6,4,6,158,0,0,1.0822784810126582
74,47,0,5,5,4,161,0,0,1.0683229813664596
75,47,0,4,3,5,163,0,0,1.0613496932515338
76,47,0,3,2,3,167,0,0,1.0419161676646707
77,46,1,3,1,4,167,0,0,1.0419161676646707
78,46,1,1,0,5,169,0,0,1.029585798816568
79,45,2,0,0,5,170,0,0,1.0235294117647058
80,43,3,1,0,3,172,0,0,1.0232558139534884
81,43,3,1,0,2,173,0,0,1.023121387283237
82,43,2,2,0,1,174,0,0,1.0172413793103448
83,43,0,3,1,0,175,0,0,1.0171428571428571
84,43,0,3,1,0,175,0,0,1.0171428571428571
85,43,0,3,1,0,175,0,0,1.0171428571428571
86,43,0,3,1,0,175,0,0,1.0171428571428571
87,43,0,2,0,1,176,0,0,1.0113636363636365
88,43,0,2,0,1,176,0,0,1.0113636363636365
89,43,0,1,0,1,177,0,0,1.0056497175141244
90,43,0,0,0,1,178,0,0,1.0
91,43,0,0,0,1,178,0,0,1.0
92,43,0,0,0,0,179,0,0,0.994413407821229
93,43,0,0,0,0,179,0,0,0.994413407821229
94,43,0,0,0,0,179,0,0,0.994413407821229
95,43,0,0,0,0,179,0,0,0.994413407821229
96,43,0,0,0,0,179,0,0,0.994413407821229
97,43,0,0,0,0,179,0,0,0.994413407821229
98,43,0,0,0,0,179,0,0,0.994413407821229
99,43,0,0,0,0,179,0,0,0.994413407821229
