Day,Suceptible,Exposed,Infected_asymptomatic,Infected_presymptomatic,Infected_symptomatic,Recovered,Hospitalized,Death,R_null
0.0,221.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,220.21,0.79,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,219.53,1.47,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3.0,218.81,2.19,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4.0,218.31,1.9,0.36,0.43,1.0,0.0,0.0,0.0,0.0
5.0,217.46,2.07,0.63,0.84,1.0,0.0,0.0,0.0,0.0
6.0,216.48,2.33,0.96,1.23,1.0,0.0,0.0,0.0,0.0
7.0,215.28,3.03,1.15,1.54,1.0,0.0,0.0,0.0,0.0
8.0,214.08,3.38,1.5,1.61,0.43,1.0,0.0,0.0,4.35
9.0,212.73,3.75,2.0,1.68,0.84,1.0,0.0,0.0,4.35
10.0,211.33,3.95,2.56,1.93,1.23,1.0,0.0,0.0,4.35
11.0,209.56,4.52,2.71,2.31,1.54,1.36,0.0,0.0,3.516666666666666
12.0,208.16,4.57,3.05,2.55,2.04,1.63,0.0,0.0,2.995833333333333
13.0,206.18,5.15,3.44,2.75,2.09,2.39,0.0,0.0,2.7101666666666673
14.0,204.32,5.24,3.83,3.3,2.32,2.99,0.0,0.0,2.583571428571429
15.0,201.73,6.43,4.05,3.44,2.62,3.73,0.0,0.0,2.4560119047619047
16.0,199.45,6.73,4.36,3.87,3.05,4.54,0.0,0.0,2.261706349206349
17.0,196.52,7.8,4.41,4.44,3.23,5.6,0.0,0.0,2.1277340437340437
18.0,193.76,7.97,5.01,4.73,3.94,6.59,0.0,0.0,2.016645770165507
19.0,190.56,8.89,5.29,5.29,4.13,7.84,0.0,0.0,1.9626946056609367
20.0,187.08,9.44,5.84,5.78,4.61,9.25,0.0,0.0,1.9230616977907997
21.0,183.23,10.53,6.35,6.2,5.12,10.57,0.0,0.0,1.9312151631959988
22.0,179.45,11.11,7.0,6.7,5.92,11.82,0.0,0.0,1.884715303489267
23.0,175.42,11.66,7.59,7.39,6.12,13.82,0.0,0.0,1.8590368239591881
24.0,171.82,11.41,8.55,8.01,6.95,15.26,0.0,0.0,1.8363181612570418
25.0,167.52,11.93,8.87,8.69,7.45,17.54,0.0,0.0,1.7599866380899283
26.0,162.92,12.5,9.6,9.12,8.18,19.68,0.0,0.0,1.751495670937496
27.0,158.4,13.42,9.68,9.29,8.78,22.43,0.0,0.0,1.7473998722848327
28.0,154.07,13.45,10.48,9.42,9.67,24.91,0.0,0.0,1.7148255124090994
29.0,149.66,13.26,11.03,9.9,10.36,27.79,0.0,0.0,1.6516531714811253
30.0,145.04,13.36,11.47,10.17,11.1,30.86,0.0,0.0,1.6128647193188315
31.0,140.65,13.42,11.57,10.58,11.37,34.41,0.0,0.0,1.584222288458457
32.0,136.13,13.53,11.91,10.81,11.7,37.92,0.0,0.0,1.5551452139528539
33.0,131.13,13.91,12.25,10.64,12.25,41.82,0.0,0.0,1.5273419277211593
34.0,126.74,13.91,12.53,10.72,12.58,45.52,0.0,0.0,1.5061059178151057
35.0,122.62,13.51,12.28,10.94,12.83,49.82,0.0,0.0,1.4692778546568794
36.0,118.15,12.98,12.62,11.19,13.22,53.84,0.0,0.0,1.448910559126032
37.0,113.94,12.8,12.6,11.1,13.47,58.09,0.0,0.0,1.4139387392101717
38.0,109.99,12.63,12.64,10.75,13.4,62.59,0.0,0.0,1.4090324269734436
39.0,106.12,12.03,12.63,10.58,13.6,67.04,0.0,0.0,1.3761595964555848
40.0,102.25,11.69,12.14,10.43,13.83,71.66,0.0,0.0,1.3453088522970578
41.0,98.42,11.57,11.89,10.43,13.76,75.93,0.0,0.0,1.3318006985602915
42.0,94.84,11.28,11.91,10.23,13.51,80.23,0.0,0.0,1.3129254262469536
43.0,91.7,10.55,11.19,10.0,13.46,85.1,0.0,0.0,1.275919576831676
44.0,88.49,9.93,10.84,9.62,13.32,89.8,0.0,0.0,1.2547556071027417
45.0,85.64,9.2,10.54,9.22,13.0,94.4,0.0,0.0,1.236788711437002
46.0,82.71,8.99,10.11,8.82,12.64,98.73,0.0,0.0,1.2179755201955549
47.0,80.03,8.46,10.02,8.17,12.71,102.61,0.0,0.0,1.1958832789959621
48.0,77.65,7.99,9.8,7.5,12.36,106.7,0.0,0.0,1.1780091561202992
49.0,75.4,7.31,9.36,7.04,11.79,111.1,0.0,0.0,1.1532331814137804
50.0,73.06,6.97,9.1,6.78,11.03,115.06,0.0,0.0,1.1412113507421033
51.0,71.18,6.47,8.48,6.48,10.65,118.74,0.0,0.0,1.1242150911652036
52.0,69.39,6.01,7.97,6.14,9.86,122.63,0.0,0.0,1.1099003726297048
53.0,67.94,5.12,7.41,6.0,9.21,126.32,0.0,0.0,1.0946639504689548
54.0,66.36,4.82,6.84,5.52,8.59,129.87,0.0,0.0,1.0777133153722882
55.0,64.99,4.4,6.31,5.15,8.31,132.84,0.0,0.0,1.0630612782969893
56.0,63.74,4.2,5.69,4.65,7.83,135.89,0.0,0.0,1.0510353420186953
57.0,62.53,3.83,5.28,3.94,7.71,138.71,0.0,0.0,1.0397318412566674
58.0,61.29,3.7,5.0,3.67,7.07,141.27,0.0,0.0,1.0334834078811357
59.0,60.51,3.23,4.62,3.24,6.68,143.72,0.0,0.0,1.0266688542679239
60.0,59.67,2.86,4.32,3.13,6.0,146.02,0.0,0.0,1.0191468561755774
61.0,58.87,2.42,3.98,3.04,5.51,148.18,0.0,0.0,1.010960456523766
62.0,58.04,2.47,3.7,2.67,4.74,150.38,0.0,0.0,1.0031590329425255
63.0,57.21,2.46,3.47,2.41,4.4,152.05,0.0,0.0,0.9957839331807297
64.0,56.71,2.16,3.21,2.01,3.98,153.93,0.0,0.0,0.988826475585804
65.0,56.2,1.84,2.96,1.75,3.9,155.35,0.0,0.0,0.9845766948584909
66.0,55.68,1.53,2.82,1.77,3.47,156.73,0.0,0.0,0.9806104671319541
67.0,55.31,1.4,2.57,1.58,3.14,158.0,0.0,0.0,0.9763505562775652
68.0,55.07,1.13,2.29,1.56,2.75,159.2,0.0,0.0,0.9712022359462656
69.0,54.77,0.91,2.13,1.38,2.52,160.29,0.0,0.0,0.968145056780689
70.0,54.5,0.81,1.89,1.17,2.2,161.43,0.0,0.0,0.9637521085477678
71.0,54.28,0.79,1.52,1.04,2.05,162.32,0.0,0.0,0.9609335218726514
72.0,54.09,0.68,1.34,0.88,1.9,163.11,0.0,0.0,0.9577261343070941
73.0,53.85,0.65,1.05,0.73,1.89,163.83,0.0,0.0,0.9549089528036753
74.0,53.64,0.64,0.84,0.7,1.62,164.56,0.0,0.0,0.9519795313321938
75.0,53.48,0.61,0.7,0.69,1.32,165.2,0.0,0.0,0.9499062451606656
76.0,53.3,0.55,0.59,0.69,1.2,165.67,0.0,0.0,0.9483536628022624
77.0,53.1,0.54,0.58,0.6,1.06,166.12,0.0,0.0,0.9472365751929288
78.0,52.92,0.56,0.58,0.46,0.94,166.54,0.0,0.0,0.9455878725448333
79.0,52.76,0.54,0.53,0.41,0.84,166.92,0.0,0.0,0.9443468667052173
80.0,52.61,0.49,0.54,0.35,0.85,167.16,0.0,0.0,0.9434349420351049
81.0,52.5,0.42,0.59,0.38,0.78,167.33,0.0,0.0,0.9434366764995278
82.0,52.39,0.37,0.62,0.39,0.67,167.56,0.0,0.0,0.9427904107024325
83.0,52.32,0.29,0.6,0.39,0.55,167.85,0.0,0.0,0.9427514328204638
84.0,52.28,0.22,0.53,0.35,0.51,168.11,0.0,0.0,0.9417174132308662
85.0,52.21,0.18,0.48,0.3,0.47,168.36,0.0,0.0,0.9412936794677116
86.0,52.19,0.13,0.41,0.27,0.46,168.54,0.0,0.0,0.9405975703907601
87.0,52.11,0.17,0.33,0.2,0.48,168.71,0.0,0.0,0.940050479341941
88.0,52.06,0.15,0.29,0.19,0.45,168.86,0.0,0.0,0.9395775074129665
89.0,52.03,0.16,0.21,0.14,0.42,169.04,0.0,0.0,0.9391557758930661
90.0,52.0,0.11,0.18,0.14,0.35,169.22,0.0,0.0,0.9384330143897356
91.0,51.98,0.08,0.16,0.14,0.29,169.35,0.0,0.0,0.938072207222862
92.0,51.97,0.06,0.14,0.1,0.25,169.48,0.0,0.0,0.9375785237659882
93.0,51.91,0.09,0.14,0.09,0.21,169.56,0.0,0.0,0.9371863350800378
94.0,51.91,0.07,0.12,0.06,0.19,169.65,0.0,0.0,0.937017074202735
95.0,51.91,0.06,0.11,0.04,0.16,169.72,0.0,0.0,0.9368847927269804
96.0,51.89,0.02,0.13,0.07,0.15,169.74,0.0,0.0,0.9368292714205869
