Day,Suceptible,Exposed,Infected_asymptomatic,Infected_presymptomatic,Infected_symptomatic,Recovered,Hospitalized,Death,R_null
0,221.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,220.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,220.1,0.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,219.7,1.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,219.6,0.9,0.2,0.3,1.0,0.0,0.0,0.0,0.0
5,219.2,0.9,0.2,0.7,1.0,0.0,0.0,0.0,0.0
6,218.6,1.1,0.4,0.9,1.0,0.0,0.0,0.0,0.0
7,218.0,1.6,0.4,1.0,1.0,0.0,0.0,0.0,0.0
8,217.0,2.2,0.6,0.9,0.3,1.0,0.0,0.0,0.1
9,216.4,2.2,0.8,0.9,0.7,1.0,0.0,0.0,0.1
10,215.8,2.2,1.2,0.9,0.9,1.0,0.0,0.0,0.1
11,215.2,1.8,1.4,1.4,1.0,1.2,0.0,0.0,0.1
12,214.2,2.2,1.5,1.7,1.2,1.2,0.0,0.0,0.1
13,212.9,2.9,1.4,1.8,1.3,1.7,0.0,0.0,0.1
14,212.3,2.9,1.6,2.0,1.1,2.1,0.0,0.0,0.1
15,210.8,3.4,1.6,2.2,1.5,2.5,0.0,0.0,0.1
16,209.1,3.8,1.7,2.7,1.9,2.8,0.0,0.0,0.1
17,207.2,5.1,1.4,2.7,2.2,3.4,0.0,0.0,0.1
18,205.8,5.0,1.5,3.3,2.2,4.2,0.0,0.0,0.1
19,204.6,4.5,2.1,3.5,2.8,4.5,0.0,0.0,0.1
20,203.2,4.0,2.5,3.9,3.2,5.2,0.0,0.0,0.1
21,201.5,4.3,3.2,3.9,3.2,5.9,0.0,0.0,0.1
22,199.5,5.1,3.1,4.0,3.7,6.6,0.0,0.0,0.1
23,197.3,5.9,3.2,4.0,4.3,7.3,0.0,0.0,0.1
24,194.9,6.6,3.7,3.7,4.9,8.2,0.0,0.0,0.1
25,192.9,6.6,4.0,4.4,4.4,9.7,0.0,0.0,0.1
26,190.6,6.7,4.0,4.8,5.0,10.9,0.0,0.0,0.1
27,188.8,6.1,4.3,5.4,5.0,12.4,0.0,0.0,0.1
28,186.5,6.4,4.1,5.6,5.1,14.3,0.0,0.0,0.1
29,184.7,5.9,5.1,5.6,4.9,15.8,0.0,0.0,0.1
30,182.7,6.1,5.3,5.3,5.9,16.7,0.0,0.0,0.1
31,180.6,5.9,5.5,5.2,6.4,18.4,0.0,0.0,0.1
32,179.1,5.6,5.7,4.7,6.7,20.2,0.0,0.0,0.1
33,177.2,5.5,5.9,4.6,6.8,22.0,0.0,0.0,0.1
34,175.0,5.6,6.0,4.6,6.8,24.0,0.0,0.0,0.1
35,172.8,6.3,5.5,4.4,6.8,26.2,0.0,0.0,0.1
36,170.7,6.5,5.1,4.8,6.0,28.9,0.0,0.0,0.1
37,168.1,6.9,5.5,4.9,5.8,30.8,0.0,0.0,0.1
38,165.4,7.4,5.8,4.8,5.8,32.8,0.0,0.0,0.12
39,162.6,8.1,5.8,4.6,5.9,35.0,0.0,0.0,0.12
40,160.2,7.9,6.3,4.6,5.6,37.4,0.0,0.0,0.12
41,157.6,7.8,6.7,4.8,6.0,39.1,0.0,0.0,0.12
42,154.9,7.7,7.8,5.2,6.0,40.4,0.0,0.0,0.12
43,153.3,6.9,7.5,6.1,5.9,42.3,0.0,0.0,0.12
44,150.3,7.3,7.3,6.7,5.8,44.6,0.0,0.0,0.12
45,148.1,6.8,7.4,6.8,6.0,46.9,0.0,0.0,0.12
46,145.0,8.3,7.3,6.0,6.3,49.1,0.0,0.0,0.12
47,143.4,6.9,7.2,5.7,7.2,51.6,0.0,0.0,0.12
48,140.8,7.3,6.6,5.4,7.9,54.0,0.0,0.0,0.12
49,138.5,6.5,6.6,5.7,8.2,56.5,0.0,0.0,0.12
50,136.0,7.4,7.0,5.8,7.5,58.3,0.0,0.0,0.12
51,134.3,6.5,7.0,5.9,7.7,60.6,0.0,0.0,0.12
52,132.0,6.5,6.6,5.9,7.2,63.8,0.0,0.0,0.12
53,130.0,6.0,6.9,5.4,7.2,66.5,0.0,0.0,0.12
54,128.4,5.9,6.2,5.7,6.5,69.3,0.0,0.0,0.12
55,127.4,4.6,6.2,5.5,7.6,70.7,0.0,0.0,0.12
56,125.5,4.5,5.9,5.0,7.4,73.7,0.0,0.0,0.12
57,123.3,5.1,5.8,4.6,7.2,76.0,0.0,0.0,0.12
58,122.5,4.9,5.5,4.0,6.5,78.6,0.0,0.0,0.12
59,121.9,3.6,5.5,3.5,7.3,80.2,0.0,0.0,0.12
60,120.2,3.1,5.4,3.6,6.5,83.2,0.0,0.0,0.12
61,119.6,2.9,5.1,3.2,5.9,85.3,0.0,0.0,0.12
62,119.3,2.6,4.6,3.1,5.1,87.3,0.0,0.0,0.12
63,118.4,1.8,4.0,3.3,5.1,89.4,0.0,0.0,0.12
64,116.9,2.7,3.7,2.4,4.6,91.7,0.0,0.0,0.12
65,116.4,2.9,3.4,2.0,4.1,93.2,0.0,0.0,0.12
66,115.9,2.5,2.7,2.4,3.6,94.9,0.0,0.0,0.12
67,115.3,1.6,2.1,2.1,4.4,96.5,0.0,0.0,0.12
68,114.9,1.5,2.0,2.2,3.5,97.9,0.0,0.0,0.12
69,114.1,1.8,2.0,2.4,2.5,99.2,0.0,0.0,0.12
70,113.6,1.7,1.8,2.0,2.8,100.1,0.0,0.0,0.12
71,113.2,1.7,1.5,1.3,3.4,100.9,0.0,0.0,0.12
72,112.8,1.3,1.7,1.4,2.4,102.4,0.0,0.0,0.12
73,112.4,1.2,1.9,1.3,2.5,102.7,0.0,0.0,0.12
74,112.2,1.0,1.4,1.3,2.8,103.3,0.0,0.0,0.12
75,112.1,0.7,1.4,1.2,2.3,104.3,0.0,0.0,0.12
76,111.9,0.5,1.3,1.1,1.7,105.5,0.0,0.0,0.12
77,111.6,0.6,1.1,1.1,1.6,106.0,0.0,0.0,0.12
78,111.5,0.6,1.0,0.8,1.7,106.4,0.0,0.0,0.12
79,111.4,0.5,0.7,0.7,1.5,107.2,0.0,0.0,0.12
80,111.3,0.3,0.4,0.7,1.5,107.8,0.0,0.0,0.12
81,111.2,0.3,0.4,0.6,1.3,108.2,0.0,0.0,0.12
82,111.0,0.4,0.2,0.6,1.2,108.6,0.0,0.0,0.12
83,110.9,0.4,0.1,0.6,0.9,109.1,0.0,0.0,0.12
84,110.9,0.3,0.2,0.3,1.0,109.3,0.0,0.0,0.12
85,110.8,0.2,0.3,0.3,0.8,109.6,0.0,0.0,0.12
86,110.6,0.3,0.2,0.3,0.7,109.9,0.0,0.0,0.12
87,110.5,0.4,0.2,0.2,0.7,110.0,0.0,0.0,0.12
88,110.5,0.3,0.2,0.3,0.6,110.1,0.0,0.0,0.12
89,110.4,0.2,0.3,0.3,0.4,110.4,0.0,0.0,0.12
90,110.4,0.1,0.3,0.3,0.4,110.5,0.0,0.0,0.12
91,110.4,0.1,0.2,0.3,0.3,110.7,0.0,0.0,0.12
92,110.2,0.2,0.1,0.3,0.3,110.9,0.0,0.0,0.12
93,110.2,0.2,0.1,0.2,0.4,110.9,0.0,0.0,0.12
94,110.0,0.4,0.1,0.1,0.4,111.0,0.0,0.0,0.12
95,110.0,0.2,0.2,0.2,0.3,111.1,0.0,0.0,0.12
96,110.0,0.2,0.1,0.1,0.4,111.2,0.0,0.0,0.12
97,109.9,0.1,0.2,0.2,0.3,111.3,0.0,0.0,0.12
98,109.9,0.1,0.2,0.2,0.2,111.4,0.0,0.0,0.12
99,109.9,0.1,0.2,0.1,0.2,111.5,0.0,0.0,0.12
