Day,Suceptible,Exposed,Infected_asymptomatic,Infected_presymptomatic,Infected_symptomatic,Recovered,Hospitalized,Death,R_null
0,221.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,220.6,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,219.8,1.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,219.2,1.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,218.5,2.1,0.2,0.2,1.0,0.0,0.0,0.0,0.0
5,218.1,1.7,0.5,0.7,1.0,0.0,0.0,0.0,0.0
6,217.5,1.7,0.7,1.1,1.0,0.0,0.0,0.0,0.0
7,216.6,1.9,1.2,1.3,1.0,0.0,0.0,0.0,0.0
8,215.9,2.2,1.2,1.5,0.2,1.0,0.0,0.0,3.5
9,214.8,2.7,1.2,1.6,0.7,1.0,0.0,0.0,3.5
10,213.7,2.9,1.3,2.0,1.1,1.0,0.0,0.0,3.5
11,211.9,4.0,1.4,2.2,1.3,1.2,0.0,0.0,3.3
12,210.1,4.7,1.3,2.7,1.7,1.5,0.0,0.0,3.3
13,208.9,4.8,1.5,2.8,2.1,1.9,0.0,0.0,3.3333333333333335
14,207.3,4.6,1.7,3.1,2.4,2.9,0.0,0.0,3.075
15,204.5,5.6,2.6,3.6,2.4,3.3,0.0,0.0,2.875
16,203.0,5.9,3.3,3.2,3.1,3.5,0.0,0.0,3.31
17,201.3,6.0,3.9,3.4,3.4,4.0,0.0,0.0,3.166666666666667
18,199.7,4.8,5.0,3.7,3.9,4.9,0.0,0.0,3.1305555555555555
19,197.2,5.8,5.0,4.1,4.0,5.9,0.0,0.0,3.3016666666666667
20,194.3,7.0,5.1,4.8,4.1,6.7,0.0,0.0,3.3077272727272726
21,191.9,7.8,5.3,4.6,4.1,8.3,0.0,0.0,3.110897435897436
22,189.3,7.9,5.1,5.0,4.8,9.9,0.0,0.0,3.0079166666666666
23,186.5,7.8,5.6,5.4,5.0,11.7,0.0,0.0,2.988888888888889
24,183.9,8.0,5.7,5.8,5.3,13.3,0.0,0.0,2.921528326745718
25,181.2,8.1,5.4,6.6,5.5,15.2,0.0,0.0,2.8905032938076416
26,178.3,8.2,6.2,6.6,6.4,16.3,0.0,0.0,2.797526917526917
27,175.2,8.7,7.0,6.2,6.7,18.2,0.0,0.0,2.7613054187192114
28,172.4,8.8,7.0,6.4,7.0,20.4,0.0,0.0,2.681908866995074
29,169.2,9.1,7.2,6.9,7.3,22.3,0.0,0.0,2.6289880952380953
30,166.6,8.6,7.1,7.1,8.4,24.2,0.0,0.0,2.630227272727273
31,164.1,8.3,7.1,7.8,7.9,26.8,0.0,0.0,2.6172192513368984
32,161.2,8.0,7.1,8.1,8.0,29.6,0.0,0.0,2.540597508263412
33,157.8,8.8,7.2,7.6,8.4,32.2,0.0,0.0,2.5431314071131004
34,154.6,9.5,6.4,7.6,8.9,35.0,0.0,0.0,2.5576410256410256
35,152.0,9.2,7.0,7.0,9.1,37.7,0.0,0.0,2.5191349348326098
36,148.1,9.7,7.6,6.8,9.9,39.9,0.0,0.0,2.500441686879836
