Day,Suceptible,Exposed,Infected_asymptomatic,Infected_presymptomatic,Infected_symptomatic,Recovered,Hospitalized,Death,R_null
0,221.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,219.7,1.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,219.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,218.4,2.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,218.3,1.4,0.6,0.7,1.0,0.0,0.0,0.0,0.0
5,217.2,1.8,1.0,1.0,1.0,0.0,0.0,0.0,0.0
6,216.4,2.0,1.4,1.2,1.0,0.0,0.0,0.0,0.0
7,215.2,3.1,1.4,1.3,1.0,0.0,0.0,0.0,0.0
8,213.9,3.3,1.8,1.3,0.7,1.0,0.0,0.0,0.5
9,212.0,4.4,2.0,1.6,1.0,1.0,0.0,0.0,0.5
10,211.2,4.0,2.7,1.9,1.2,1.0,0.0,0.0,0.5
11,209.8,4.1,2.7,2.5,1.3,1.6,0.0,0.0,0.5
12,208.1,3.9,3.4,2.6,2.0,2.0,0.0,0.0,0.5
13,205.9,5.3,3.4,2.4,1.9,3.1,0.0,0.0,0.4333333333333333
14,204.7,5.1,4.0,2.7,2.1,3.4,0.0,0.0,0.4333333333333333
15,202.6,5.5,4.2,3.1,2.6,4.0,0.0,0.0,0.4333333333333333
16,199.6,6.3,4.8,3.7,3.3,4.3,0.0,0.0,0.4333333333333333
17,196.9,7.8,4.3,4.3,3.0,5.7,0.0,0.0,0.45
18,194.3,8.3,5.0,4.3,3.2,6.9,0.0,0.0,0.38333333333333336
19,191.9,7.7,5.1,5.0,3.8,8.5,0.0,0.0,0.38333333333333336
20,189.0,7.9,5.8,5.2,4.5,9.6,0.0,0.0,0.35714285714285715
21,185.6,8.7,6.2,5.8,4.7,11.0,0.0,0.0,0.35714285714285715
22,182.8,9.1,6.3,6.7,5.1,12.0,0.0,0.0,0.35714285714285715
23,178.7,10.3,6.7,6.6,6.1,13.6,0.0,0.0,0.35714285714285715
24,175.8,9.8,7.9,7.0,6.6,14.9,0.0,0.0,0.29166666666666663
25,172.3,10.5,7.7,7.1,6.8,17.6,0.0,0.0,0.29166666666666663
26,167.9,10.8,8.5,7.5,7.5,19.8,0.0,0.0,0.29166666666666663
27,164.8,11.0,8.6,7.5,8.4,21.7,0.0,0.0,0.2846153846153846
28,160.6,11.7,9.2,7.4,8.6,24.5,0.0,0.0,0.28125
29,156.7,11.2,10.4,8.2,8.7,26.8,0.0,0.0,0.28125
30,152.8,12.0,10.6,7.8,9.2,29.6,0.0,0.0,0.27222222222222225
31,148.2,12.4,11.2,8.3,9.2,32.7,0.0,0.0,0.26666666666666666
32,145.6,11.1,11.6,8.8,9.4,35.5,0.0,0.0,0.24583333333333335
33,142.0,10.8,11.2,8.6,9.9,39.5,0.0,0.0,0.24230769230769228
34,138.3,9.9,11.9,9.6,9.9,42.4,0.0,0.0,0.23928571428571427
35,134.8,10.8,11.4,8.9,10.0,46.1,0.0,0.0,0.24482758620689654
36,130.4,11.6,11.0,8.6,10.7,49.7,0.0,0.0,0.2363636363636364
