Day,Suceptible,Exposed,Infected_asymptomatic,Infected_presymptomatic,Infected_symptomatic,Recovered,Hospitalized,Death,R_null
0,221,0,0,1,0,0,0,0,0
1,220,1,0,1,0,0,0,0,0
2,220,1,0,1,0,0,0,0,0
3,220,1,0,0,1,0,0,0,0
4,220,0,1,0,1,0,0,0,0
5,220,0,1,0,1,0,0,0,0
6,220,0,1,0,1,0,0,0,0
7,218,2,1,0,1,0,0,0,0
8,217,3,1,0,0,1,0,0,4.0
9,217,3,1,0,0,1,0,0,4.0
10,217,1,1,2,0,1,0,0,4.0
11,214,3,0,3,0,2,0,0,4.0
12,213,4,0,3,0,2,0,0,4.0
13,211,6,0,3,0,2,0,0,4.0
14,207,7,1,3,2,2,0,0,4.0
15,205,8,1,3,3,2,0,0,4.0
16,199,12,1,5,3,2,0,0,4.0
17,197,10,4,6,3,2,0,0,4.0
18,194,11,5,5,5,2,0,0,4.0
19,192,7,6,9,4,4,0,0,4.0
20,189,8,7,8,5,5,0,0,4.75
21,187,7,8,8,6,6,0,0,4.75
22,183,9,8,9,7,6,0,0,4.75
23,180,9,10,5,10,8,0,0,4.666666666666667
24,175,12,7,6,10,12,0,0,3.75
25,174,9,8,7,9,15,0,0,3.2
26,168,12,9,6,10,17,0,0,3.2
27,166,9,10,8,10,19,0,0,3.1818181818181817
28,161,13,8,7,7,26,0,0,2.8125
29,158,10,12,7,8,27,0,0,2.823529411764706
30,150,16,10,8,8,30,0,0,2.736842105263158
31,148,13,13,7,9,32,0,0,2.6666666666666665
32,144,14,13,7,9,35,0,0,2.590909090909091
33,139,11,15,9,9,39,0,0,2.590909090909091
34,132,16,14,8,9,43,0,0,2.7083333333333335
35,126,18,15,9,10,44,0,0,2.68
36,117,22,12,12,8,51,0,0,2.7142857142857144
37,113,19,16,11,11,52,0,0,2.7586206896551726
38,104,22,16,13,10,57,0,0,2.59375
39,100,17,15,18,11,61,0,0,2.676470588235294
40,93,20,13,16,13,67,0,0,2.5945945945945947
41,89,15,14,20,15,69,0,0,2.6578947368421053
42,83,17,14,20,14,74,0,0,2.7560975609756095
43,77,16,15,17,21,76,0,0,2.7857142857142856
44,73,16,12,18,20,83,0,0,2.6382978723404253
45,72,11,11,15,23,90,0,0,2.64
46,69,8,14,14,23,94,0,0,2.6538461538461537
47,68,5,13,12,25,99,0,0,2.6538461538461537
48,63,9,12,9,20,109,0,0,2.5789473684210527
49,62,7,12,7,22,112,0,0,2.5789473684210527
50,57,11,10,6,17,121,0,0,2.5245901639344264
51,53,10,11,6,17,125,0,0,2.5161290322580645
52,51,11,10,6,12,132,0,0,2.4545454545454546
53,48,9,7,8,11,139,0,0,2.4328358208955225
54,44,9,9,8,8,144,0,0,2.426470588235294
55,44,7,8,7,9,147,0,0,2.4057971014492754
56,44,4,7,10,6,151,0,0,2.4
57,44,0,8,9,10,151,0,0,2.4
58,43,1,6,8,9,155,0,0,2.3943661971830985
59,43,1,5,6,10,157,0,0,2.4166666666666665
60,41,3,4,3,10,161,0,0,2.3783783783783785
61,41,2,1,1,13,164,0,0,2.3783783783783785
62,39,4,1,1,9,168,0,0,2.3376623376623376
63,39,2,1,3,8,169,0,0,2.3376623376623376
64,39,2,0,3,6,172,0,0,2.3376623376623376
65,39,0,1,3,4,175,0,0,2.3205128205128207
66,39,0,1,3,1,178,0,0,2.3037974683544302
67,38,1,1,1,3,178,0,0,2.3037974683544302
68,37,2,1,1,3,178,0,0,2.3037974683544302
69,37,2,1,0,4,178,0,0,2.3037974683544302
70,37,1,1,1,3,179,0,0,2.3037974683544302
71,37,0,2,1,3,179,0,0,2.3037974683544302
72,37,0,1,1,1,182,0,0,2.2875
73,37,0,1,1,1,182,0,0,2.2875
74,37,0,1,0,1,183,0,0,2.271604938271605
75,37,0,1,0,1,183,0,0,2.271604938271605
76,37,0,1,0,1,183,0,0,2.271604938271605
77,37,0,1,0,1,183,0,0,2.271604938271605
78,37,0,0,0,1,184,0,0,2.271604938271605
79,37,0,0,0,0,185,0,0,2.271604938271605
80,37,0,0,0,0,185,0,0,2.271604938271605
81,37,0,0,0,0,185,0,0,2.271604938271605
82,37,0,0,0,0,185,0,0,2.271604938271605
83,37,0,0,0,0,185,0,0,2.271604938271605
84,37,0,0,0,0,185,0,0,2.271604938271605
85,37,0,0,0,0,185,0,0,2.271604938271605
86,37,0,0,0,0,185,0,0,2.271604938271605
87,37,0,0,0,0,185,0,0,2.271604938271605
88,37,0,0,0,0,185,0,0,2.271604938271605
89,37,0,0,0,0,185,0,0,2.271604938271605
90,37,0,0,0,0,185,0,0,2.271604938271605
91,37,0,0,0,0,185,0,0,2.271604938271605
92,37,0,0,0,0,185,0,0,2.271604938271605
93,37,0,0,0,0,185,0,0,2.271604938271605
94,37,0,0,0,0,185,0,0,2.271604938271605
95,37,0,0,0,0,185,0,0,2.271604938271605
96,37,0,0,0,0,185,0,0,2.271604938271605
97,37,0,0,0,0,185,0,0,2.271604938271605
98,37,0,0,0,0,185,0,0,2.271604938271605
99,37,0,0,0,0,185,0,0,2.271604938271605
