Day,Suceptible,Exposed,Infected_asymptomatic,Infected_presymptomatic,Infected_symptomatic,Recovered,Hospitalized,Death,R_null
0,221,0,0,1,0,0,0,0,0
1,221,0,0,1,0,0,0,0,0
2,221,0,0,1,0,0,0,0,0
3,221,0,0,0,1,0,0,0,0
4,221,0,0,0,1,0,0,0,0
5,221,0,0,0,1,0,0,0,0
6,219,2,0,0,1,0,0,0,0
7,219,2,0,0,1,0,0,0,0
8,219,2,0,0,0,1,0,0,2.0
9,219,0,1,1,0,1,0,0,2.0
10,219,0,1,1,0,1,0,0,2.0
11,218,1,1,1,0,1,0,0,2.0
12,217,2,1,1,0,1,0,0,2.0
13,217,2,1,0,1,1,0,0,2.0
14,217,1,1,1,1,1,0,0,2.0
15,217,0,1,2,1,1,0,0,2.0
16,213,4,0,2,1,2,0,0,1.5
17,213,4,0,2,1,2,0,0,1.5
18,210,7,0,1,1,3,0,0,1.3333333333333333
19,207,6,1,3,2,3,0,0,1.3333333333333333
20,205,8,1,3,2,3,0,0,1.3333333333333333
21,204,6,3,4,2,3,0,0,1.3333333333333333
22,202,5,3,7,2,3,0,0,1.3333333333333333
23,195,10,5,4,4,4,0,0,2.75
24,192,12,6,4,3,5,0,0,3.2
25,187,15,7,4,4,5,0,0,3.2
26,185,10,8,6,7,6,0,0,3.2
27,177,15,8,9,7,6,0,0,3.2
28,171,16,10,10,4,11,0,0,3.7142857142857144
29,163,22,12,9,5,11,0,0,3.7142857142857144
30,154,23,13,9,9,14,0,0,3.625
31,145,26,14,10,9,18,0,0,3.727272727272727
32,138,25,15,15,10,19,0,0,3.5
33,131,23,14,23,10,21,0,0,3.3076923076923075
34,120,25,15,26,14,22,0,0,3.4285714285714284
35,113,25,13,27,13,31,0,0,3.7777777777777777
36,101,30,15,24,16,36,0,0,3.619047619047619
37,96,24,16,23,23,40,0,0,3.6818181818181817
38,86,27,18,18,31,42,0,0,3.5652173913043477
39,76,25,20,21,31,49,0,0,3.3214285714285716
40,72,24,21,21,30,54,0,0,3.28125
41,66,20,22,22,31,61,0,0,3.2222222222222223
42,59,17,27,22,26,71,0,0,3.0476190476190474
43,56,16,25,16,26,83,0,0,2.9166666666666665
44,55,11,24,16,24,92,0,0,2.7884615384615383
45,54,5,25,10,29,99,0,0,2.759259259259259
46,51,5,23,8,25,110,0,0,2.689655172413793
47,49,6,21,7,24,115,0,0,2.6333333333333333
48,47,7,19,5,19,125,0,0,2.6507936507936507
49,46,5,14,4,18,135,0,0,2.625
50,45,4,12,5,11,145,0,0,2.5757575757575757
51,43,4,9,6,9,151,0,0,2.5522388059701493
52,43,3,4,6,8,158,0,0,2.5
53,42,3,2,6,6,163,0,0,2.4788732394366195
54,40,3,2,6,6,165,0,0,2.4583333333333335
55,40,3,2,4,7,166,0,0,2.4583333333333335
56,40,2,0,4,7,169,0,0,2.4583333333333335
57,39,1,1,4,7,170,0,0,2.4383561643835616
58,39,1,1,2,8,171,0,0,2.418918918918919
59,37,3,1,2,6,173,0,0,2.4133333333333336
60,36,3,1,2,5,175,0,0,2.3947368421052633
61,35,4,1,1,5,176,0,0,2.3896103896103895
62,35,2,2,2,4,177,0,0,2.3896103896103895
63,35,1,3,2,2,179,0,0,2.3544303797468356
64,35,0,2,2,3,180,0,0,2.3544303797468356
65,35,0,2,2,2,181,0,0,2.3544303797468356
66,35,0,2,1,2,182,0,0,2.3544303797468356
67,35,0,2,1,2,182,0,0,2.3544303797468356
68,34,1,2,0,3,182,0,0,2.3544303797468356
69,34,1,1,0,2,184,0,0,2.3544303797468356
70,34,1,0,0,2,185,0,0,2.3544303797468356
71,34,0,1,0,1,186,0,0,2.3544303797468356
72,34,0,1,0,1,186,0,0,2.3544303797468356
73,34,0,1,0,0,187,0,0,2.3375
74,34,0,1,0,0,187,0,0,2.3375
75,34,0,1,0,0,187,0,0,2.3375
76,34,0,1,0,0,187,0,0,2.3375
77,34,0,1,0,0,187,0,0,2.3375
78,34,0,0,0,0,188,0,0,2.3375
79,34,0,0,0,0,188,0,0,2.3375
80,34,0,0,0,0,188,0,0,2.3375
81,34,0,0,0,0,188,0,0,2.3375
82,34,0,0,0,0,188,0,0,2.3375
83,34,0,0,0,0,188,0,0,2.3375
84,34,0,0,0,0,188,0,0,2.3375
85,34,0,0,0,0,188,0,0,2.3375
86,34,0,0,0,0,188,0,0,2.3375
87,34,0,0,0,0,188,0,0,2.3375
88,34,0,0,0,0,188,0,0,2.3375
89,34,0,0,0,0,188,0,0,2.3375
90,34,0,0,0,0,188,0,0,2.3375
91,34,0,0,0,0,188,0,0,2.3375
92,34,0,0,0,0,188,0,0,2.3375
93,34,0,0,0,0,188,0,0,2.3375
94,34,0,0,0,0,188,0,0,2.3375
95,34,0,0,0,0,188,0,0,2.3375
96,34,0,0,0,0,188,0,0,2.3375
97,34,0,0,0,0,188,0,0,2.3375
98,34,0,0,0,0,188,0,0,2.3375
99,34,0,0,0,0,188,0,0,2.3375
