Day,Suceptible,Exposed,Infected_asymptomatic,Infected_presymptomatic,Infected_symptomatic,Recovered,Hospitalized,Death,R_null
0,221,0,0,1,0,0,0,0,0
1,221,0,0,1,0,0,0,0,0
2,221,0,0,1,0,0,0,0,0
3,221,0,0,0,1,0,0,0,0
4,221,0,0,0,1,0,0,0,0
5,221,0,0,0,1,0,0,0,0
6,220,1,0,0,1,0,0,0,0
7,220,1,0,0,1,0,0,0,0
8,219,2,0,0,0,1,0,0,2.0
9,219,1,1,0,0,1,0,0,2.0
10,219,1,1,0,0,1,0,0,2.0
11,219,0,1,1,0,1,0,0,2.0
12,219,0,1,1,0,1,0,0,2.0
13,219,0,1,1,0,1,0,0,2.0
14,219,0,1,1,0,1,0,0,2.0
15,219,0,1,0,1,1,0,0,2.0
16,217,2,0,0,1,2,0,0,1.0
17,216,3,0,0,1,2,0,0,1.0
18,213,6,0,0,1,2,0,0,1.0
19,212,5,1,1,1,2,0,0,1.0
20,211,5,1,2,0,3,0,0,3.0
21,209,4,2,4,0,3,0,0,3.0
22,206,6,2,5,0,3,0,0,3.0
23,201,10,3,4,1,3,0,0,3.0
24,199,10,3,5,2,3,0,0,3.0
25,195,11,5,4,4,3,0,0,3.0
26,192,9,6,6,5,4,0,0,2.25
27,184,15,6,8,5,4,0,0,2.25
28,180,15,5,10,6,6,0,0,2.8333333333333335
29,174,18,7,10,6,7,0,0,3.2857142857142856
30,165,19,9,12,7,10,0,0,3.1
31,158,22,11,12,8,11,0,0,3.090909090909091
32,154,20,13,10,12,13,0,0,2.6153846153846154
33,146,19,14,15,11,17,0,0,2.2941176470588234
34,137,21,18,13,15,18,0,0,2.2777777777777777
35,129,25,19,14,14,21,0,0,2.4285714285714284
36,120,26,22,15,14,25,0,0,2.24
37,114,23,26,11,16,32,0,0,2.1875
38,102,27,26,14,18,35,0,0,2.1142857142857143
39,97,23,24,18,16,44,0,0,2.0681818181818183
40,94,20,22,20,17,49,0,0,1.9591836734693877
41,87,15,26,22,17,55,0,0,1.8545454545454545
42,82,15,28,18,17,62,0,0,1.8870967741935485
43,76,18,25,12,21,70,0,0,1.7714285714285714
44,70,17,22,10,23,80,0,0,1.6125
45,60,22,20,11,24,85,0,0,1.588235294117647
46,57,19,22,11,24,89,0,0,1.5280898876404494
47,50,20,22,15,19,96,0,0,1.5208333333333333
48,47,13,18,18,15,111,0,0,1.3783783783783783
49,44,13,16,15,15,119,0,0,1.3361344537815125
50,37,13,16,18,13,125,0,0,1.312
51,34,13,14,14,16,131,0,0,1.2671755725190839
52,30,14,16,9,21,132,0,0,1.2727272727272727
53,29,8,14,12,20,139,0,0,1.2302158273381294
54,27,7,14,9,20,145,0,0,1.2137931034482758
55,26,4,10,12,19,151,0,0,1.1721854304635762
56,23,6,10,11,15,157,0,0,1.1656050955414012
57,22,5,8,8,14,165,0,0,1.1515151515151516
58,22,4,6,7,14,169,0,0,1.136094674556213
59,21,2,5,5,13,176,0,0,1.1079545454545454
60,21,1,3,6,12,179,0,0,1.089385474860335
61,21,1,2,4,13,181,0,0,1.0828729281767955
62,21,0,3,3,9,186,0,0,1.0698924731182795
63,19,2,2,1,9,189,0,0,1.052910052910053
64,19,2,2,0,6,193,0,0,1.0414507772020725
65,19,2,2,0,6,193,0,0,1.0414507772020725
66,19,0,2,1,4,196,0,0,1.0255102040816326
67,19,0,2,1,3,197,0,0,1.0203045685279188
68,19,0,2,1,1,199,0,0,1.015075376884422
69,19,0,1,1,0,201,0,0,1.0049751243781095
70,19,0,1,0,1,201,0,0,1.0049751243781095
71,19,0,1,0,1,201,0,0,1.0049751243781095
72,19,0,1,0,1,201,0,0,1.0049751243781095
73,19,0,0,0,1,202,0,0,1.0
74,19,0,0,0,1,202,0,0,1.0
75,19,0,0,0,0,203,0,0,0.9950738916256158
76,19,0,0,0,0,203,0,0,0.9950738916256158
77,19,0,0,0,0,203,0,0,0.9950738916256158
78,19,0,0,0,0,203,0,0,0.9950738916256158
79,19,0,0,0,0,203,0,0,0.9950738916256158
80,19,0,0,0,0,203,0,0,0.9950738916256158
81,19,0,0,0,0,203,0,0,0.9950738916256158
82,19,0,0,0,0,203,0,0,0.9950738916256158
83,19,0,0,0,0,203,0,0,0.9950738916256158
84,19,0,0,0,0,203,0,0,0.9950738916256158
85,19,0,0,0,0,203,0,0,0.9950738916256158
86,19,0,0,0,0,203,0,0,0.9950738916256158
87,19,0,0,0,0,203,0,0,0.9950738916256158
88,19,0,0,0,0,203,0,0,0.9950738916256158
89,19,0,0,0,0,203,0,0,0.9950738916256158
90,19,0,0,0,0,203,0,0,0.9950738916256158
91,19,0,0,0,0,203,0,0,0.9950738916256158
92,19,0,0,0,0,203,0,0,0.9950738916256158
93,19,0,0,0,0,203,0,0,0.9950738916256158
94,19,0,0,0,0,203,0,0,0.9950738916256158
95,19,0,0,0,0,203,0,0,0.9950738916256158
96,19,0,0,0,0,203,0,0,0.9950738916256158
97,19,0,0,0,0,203,0,0,0.9950738916256158
98,19,0,0,0,0,203,0,0,0.9950738916256158
99,19,0,0,0,0,203,0,0,0.9950738916256158
