Day,Suceptible,Exposed,Infected_asymptomatic,Infected_presymptomatic,Infected_symptomatic,Recovered,Hospitalized,Death,R_null
0,221,0,0,1,0,0,0,0,0
1,221,0,0,1,0,0,0,0,0
2,221,0,0,1,0,0,0,0,0
3,219,2,0,0,1,0,0,0,0
4,219,2,0,0,1,0,0,0,0
5,217,4,0,0,1,0,0,0,0
6,217,2,1,1,1,0,0,0,0
7,215,4,1,1,1,0,0,0,0
8,215,2,1,3,0,1,0,0,5.0
9,213,4,1,3,0,1,0,0,5.0
10,212,3,2,3,1,1,0,0,5.0
11,209,6,2,3,1,1,0,0,5.0
12,207,6,4,1,3,1,0,0,5.0
13,206,6,4,1,3,2,0,0,2.5
14,201,8,6,1,4,2,0,0,2.5
15,199,8,7,2,3,3,0,0,3.0
16,196,10,7,3,3,3,0,0,3.0
17,196,5,8,6,1,6,0,0,3.1666666666666665
18,193,6,9,6,2,6,0,0,3.1666666666666665
19,188,8,8,7,2,9,0,0,2.4444444444444446
20,188,8,7,6,3,10,0,0,2.3
21,185,8,6,5,6,12,0,0,2.0
22,181,7,6,8,7,13,0,0,1.8461538461538463
23,177,11,6,6,8,14,0,0,1.8571428571428572
24,175,10,5,8,7,17,0,0,1.588235294117647
25,169,12,6,8,8,19,0,0,1.4210526315789473
26,164,13,6,7,9,23,0,0,1.608695652173913
27,159,16,7,8,8,24,0,0,1.7083333333333333
28,155,14,9,9,8,27,0,0,1.6666666666666667
29,147,17,9,11,10,28,0,0,1.6071428571428572
30,142,17,10,12,11,30,0,0,1.6333333333333333
31,138,17,9,15,8,35,0,0,1.6571428571428573
32,133,14,9,18,11,37,0,0,1.5675675675675675
33,126,16,10,17,13,40,0,0,1.675
34,119,19,9,17,15,43,0,0,1.6511627906976745
35,107,26,8,16,16,49,0,0,1.6122448979591837
36,100,26,10,14,21,51,0,0,1.588235294117647
37,93,26,12,15,21,55,0,0,1.5636363636363637
38,88,19,15,20,21,59,0,0,1.5593220338983051
39,83,17,16,21,20,65,0,0,1.5692307692307692
40,77,16,14,24,20,71,0,0,1.5070422535211268
41,63,25,16,23,18,77,0,0,1.5194805194805194
42,58,25,15,18,24,82,0,0,1.5365853658536586
43,53,24,14,18,24,89,0,0,1.4831460674157304
44,50,13,17,19,28,95,0,0,1.4105263157894736
45,49,9,15,20,27,102,0,0,1.3823529411764706
46,41,12,13,20,27,109,0,0,1.3302752293577982
47,39,11,15,17,22,118,0,0,1.305084745762712
48,39,10,13,10,26,124,0,0,1.3064516129032258
49,33,8,16,10,23,132,0,0,1.3106060606060606
50,30,9,14,8,24,137,0,0,1.2846715328467153
51,29,10,8,7,21,147,0,0,1.2108843537414966
52,28,5,9,10,18,152,0,0,1.1710526315789473
53,27,3,10,7,14,161,0,0,1.1490683229813665
54,25,4,8,6,12,167,0,0,1.1497005988023952
55,24,4,8,7,8,171,0,0,1.128654970760234
56,23,4,4,4,11,176,0,0,1.0965909090909092
57,23,2,4,5,11,177,0,0,1.0960451977401129
58,21,3,5,4,8,181,0,0,1.0773480662983426
59,21,2,4,3,7,185,0,0,1.054054054054054
60,21,2,2,2,8,187,0,0,1.0427807486631016
61,21,0,3,1,6,191,0,0,1.031413612565445
62,21,0,3,1,5,192,0,0,1.0260416666666667
63,20,1,3,1,4,193,0,0,1.0207253886010363
64,20,1,3,1,3,194,0,0,1.0206185567010309
65,20,1,2,0,3,196,0,0,1.0204081632653061
66,20,0,2,0,1,199,0,0,1.0050251256281406
67,20,0,2,0,1,199,0,0,1.0050251256281406
68,20,0,1,0,1,200,0,0,1.0
69,20,0,1,0,1,200,0,0,1.0
70,20,0,1,0,0,201,0,0,1.0
71,20,0,1,0,0,201,0,0,1.0
72,20,0,1,0,0,201,0,0,1.0
73,20,0,0,0,0,202,0,0,0.995049504950495
74,20,0,0,0,0,202,0,0,0.995049504950495
75,20,0,0,0,0,202,0,0,0.995049504950495
76,20,0,0,0,0,202,0,0,0.995049504950495
77,20,0,0,0,0,202,0,0,0.995049504950495
78,20,0,0,0,0,202,0,0,0.995049504950495
79,20,0,0,0,0,202,0,0,0.995049504950495
80,20,0,0,0,0,202,0,0,0.995049504950495
81,20,0,0,0,0,202,0,0,0.995049504950495
82,20,0,0,0,0,202,0,0,0.995049504950495
83,20,0,0,0,0,202,0,0,0.995049504950495
84,20,0,0,0,0,202,0,0,0.995049504950495
85,20,0,0,0,0,202,0,0,0.995049504950495
86,20,0,0,0,0,202,0,0,0.995049504950495
87,20,0,0,0,0,202,0,0,0.995049504950495
88,20,0,0,0,0,202,0,0,0.995049504950495
89,20,0,0,0,0,202,0,0,0.995049504950495
90,20,0,0,0,0,202,0,0,0.995049504950495
91,20,0,0,0,0,202,0,0,0.995049504950495
92,20,0,0,0,0,202,0,0,0.995049504950495
93,20,0,0,0,0,202,0,0,0.995049504950495
94,20,0,0,0,0,202,0,0,0.995049504950495
95,20,0,0,0,0,202,0,0,0.995049504950495
96,20,0,0,0,0,202,0,0,0.995049504950495
97,20,0,0,0,0,202,0,0,0.995049504950495
98,20,0,0,0,0,202,0,0,0.995049504950495
99,20,0,0,0,0,202,0,0,0.995049504950495
