Day,Suceptible,Exposed,Infected_asymptomatic,Infected_presymptomatic,Infected_symptomatic,Recovered,Hospitalized,Death,R_null
0.0,221.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,220.42,0.58,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,219.59,1.41,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3.0,219.01,1.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4.0,218.65,1.77,0.21,0.37,1.0,0.0,0.0,0.0,0.0
5.0,217.88,1.71,0.62,0.79,1.0,0.0,0.0,0.0,0.0
6.0,216.81,2.2,0.85,1.14,1.0,0.0,0.0,0.0,0.0
7.0,215.54,3.11,1.02,1.33,1.0,0.0,0.0,0.0,0.0
8.0,214.35,3.53,1.21,1.54,0.37,1.0,0.0,0.0,4.02
9.0,213.19,3.62,1.65,1.75,0.79,1.0,0.0,0.0,4.02
10.0,211.87,3.67,2.16,2.16,1.14,1.0,0.0,0.0,4.02
11.0,210.29,4.06,2.45,2.66,1.33,1.21,0.0,0.0,3.5483333333333333
12.0,208.06,5.13,2.58,2.7,1.91,1.62,0.0,0.0,2.8191666666666664
13.0,205.9,5.97,2.8,2.94,2.17,2.22,0.0,0.0,2.5406666666666666
14.0,203.6,6.69,3.26,3.13,2.51,2.81,0.0,0.0,2.5809801587301586
15.0,201.19,6.87,3.82,3.92,2.85,3.35,0.0,0.0,2.6383253968253966
16.0,198.22,7.68,4.1,4.74,3.28,3.98,0.0,0.0,2.4318264790764785
17.0,195.0,8.6,4.5,5.26,3.57,5.07,0.0,0.0,2.3118906926406924
18.0,191.34,9.85,4.88,5.84,3.89,6.2,0.0,0.0,2.2175411467617345
19.0,187.28,10.94,5.42,6.25,4.61,7.5,0.0,0.0,2.13945449893244
20.0,183.66,11.34,6.3,6.7,5.36,8.64,0.0,0.0,2.144599772535685
21.0,179.72,11.62,7.02,7.62,6.13,9.89,0.0,0.0,2.068929452908632
22.0,175.28,12.0,7.8,8.62,6.79,11.51,0.0,0.0,2.0092771495838635
23.0,170.42,13.24,8.42,9.01,7.73,13.18,0.0,0.0,1.9812586835088695
24.0,165.45,14.27,9.23,9.34,8.14,15.57,0.0,0.0,1.9659085235693043
25.0,160.65,14.63,10.12,9.7,9.01,17.89,0.0,0.0,1.9355109724433444
26.0,155.4,15.02,10.98,10.09,10.15,20.36,0.0,0.0,1.8901353776339778
27.0,149.96,15.49,11.6,10.83,10.9,23.22,0.0,0.0,1.7986287937480332
28.0,144.4,16.25,12.36,11.3,11.23,26.46,0.0,0.0,1.7599918400725556
29.0,139.15,16.25,12.94,11.77,12.01,29.88,0.0,0.0,1.687298188046589
30.0,134.12,15.84,13.74,12.15,12.62,33.53,0.0,0.0,1.6842483146169547
31.0,128.95,15.45,14.21,12.5,13.11,37.78,0.0,0.0,1.663932328511596
32.0,123.34,15.81,14.62,12.88,13.52,41.83,0.0,0.0,1.625576355490804
33.0,118.01,16.11,14.66,12.79,14.44,45.99,0.0,0.0,1.590020000351378
34.0,113.07,15.88,14.73,12.64,15.07,50.61,0.0,0.0,1.551281434698086
35.0,108.15,15.19,14.74,12.76,15.52,55.64,0.0,0.0,1.5162224659339716
36.0,103.26,14.75,14.75,12.9,15.57,60.77,0.0,0.0,1.485828898433085
37.0,98.7,14.37,14.57,12.83,15.93,65.6,0.0,0.0,1.4478920718282382
38.0,94.47,13.68,14.46,12.52,15.94,70.93,0.0,0.0,1.4120297289936363
39.0,90.49,12.77,14.1,12.1,16.13,76.41,0.0,0.0,1.3790051681830169
40.0,86.81,11.89,13.87,11.7,15.97,81.76,0.0,0.0,1.3643373829971668
