Day,Suceptible,Exposed,Infected_asymptomatic,Infected_presymptomatic,Infected_symptomatic,Recovered,Hospitalized,Death,R_null
0,221.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,219.9,1.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,219.1,1.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,218.5,2.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,217.9,2.0,0.5,0.6,1.0,0.0,0.0,0.0,0.0
5,217.4,1.7,0.7,1.2,1.0,0.0,0.0,0.0,0.0
6,216.5,2.0,0.8,1.7,1.0,0.0,0.0,0.0,0.0
7,214.8,3.1,0.9,2.2,1.0,0.0,0.0,0.0,0.0
8,213.1,4.3,1.1,1.9,0.6,1.0,0.0,0.0,4.8
9,211.4,5.1,1.4,1.9,1.2,1.0,0.0,0.0,4.8
10,209.6,5.2,1.8,2.7,1.7,1.0,0.0,0.0,4.8
11,207.3,5.8,1.9,3.3,2.2,1.5,0.0,0.0,4.8
12,204.2,7.2,2.5,3.9,2.5,1.7,0.0,0.0,4.8
13,200.3,9.3,3.2,4.3,2.5,2.4,0.0,0.0,4.2
14,197.5,9.8,4.0,4.4,3.2,3.1,0.0,0.0,4.766666666666667
15,194.3,9.9,5.2,5.0,3.8,3.8,0.0,0.0,4.4366666666666665
16,190.9,9.4,6.4,6.5,4.2,4.6,0.0,0.0,4.366666666666666
17,185.7,11.8,6.5,7.8,4.9,5.3,0.0,0.0,4.533333333333333
18,181.9,12.4,7.2,8.3,5.7,6.5,0.0,0.0,4.170238095238095
19,176.6,14.3,7.7,8.7,6.1,8.6,0.0,0.0,4.070833333333334
20,170.1,15.6,8.9,9.5,7.4,10.5,0.0,0.0,3.9234487734487735
21,164.6,17.3,9.8,9.2,8.8,12.3,0.0,0.0,3.8895238095238094
22,159.1,17.5,10.7,10.3,9.7,14.7,0.0,0.0,3.701121933621933
23,152.6,17.5,11.6,12.3,10.4,17.6,0.0,0.0,3.6242751108540583
24,144.5,20.1,13.0,12.7,11.9,19.8,0.0,0.0,3.6460119047619046
25,137.5,21.6,14.3,13.6,11.5,23.5,0.0,0.0,3.4391069518716577
26,129.5,23.1,15.7,14.4,12.2,27.1,0.0,0.0,3.2988281198930287
27,122.7,21.8,16.8,15.3,14.4,31.0,0.0,0.0,3.1851068599629984
28,114.4,23.1,18.0,15.7,15.9,34.9,0.0,0.0,3.1261214240434185
29,106.8,22.7,18.7,17.8,15.6,40.4,0.0,0.0,3.1361087200826203
30,98.2,24.5,18.8,18.3,17.4,44.8,0.0,0.0,3.055361577993157
31,91.8,22.6,21.2,17.3,19.4,49.7,0.0,0.0,2.997084098059462
32,84.4,22.4,21.9,17.6,19.3,56.4,0.0,0.0,2.9708997622960758
33,78.0,20.2,22.1,18.3,20.7,62.7,0.0,0.0,2.972330548593706
34,71.3,20.5,21.1,18.3,22.1,68.7,0.0,0.0,2.963588800935958
35,64.2,20.2,21.5,18.3,22.3,75.5,0.0,0.0,2.9394306693556507
36,57.5,20.5,21.0,17.9,21.6,83.5,0.0,0.0,2.846090405289406
37,53.0,18.3,20.8,16.6,23.3,90.0,0.0,0.0,2.803628456095453
38,48.2,16.0,18.7,17.2,22.6,99.3,0.0,0.0,2.761772616832743
39,44.3,13.2,17.9,17.4,22.3,106.9,0.0,0.0,2.745400050221048
40,39.6,13.4,16.9,16.1,22.2,113.8,0.0,0.0,2.696971537147112
41,35.3,12.9,16.8,14.5,22.3,120.2,0.0,0.0,2.65741716424265
42,31.4,12.9,15.1,11.8,21.5,129.3,0.0,0.0,2.607924029187187
43,28.7,10.9,14.1,10.8,21.4,136.1,0.0,0.0,2.5720355266698376
44,26.3,9.0,13.7,10.6,20.0,142.4,0.0,0.0,2.549138047230035
45,23.5,7.9,12.7,10.5,18.9,148.5,0.0,0.0,2.500504899117074
46,21.0,7.7,11.2,10.0,16.7,155.4,0.0,0.0,2.4750876188231365
47,19.5,6.8,10.4,8.1,15.0,162.2,0.0,0.0,2.44757498159957
48,18.6,4.9,9.8,7.1,13.2,168.4,0.0,0.0,2.428580170161874
49,18.0,3.0,8.6,6.4,13.3,172.7,0.0,0.0,2.407978663478751
50,16.7,2.8,8.1,5.2,12.2,177.0,0.0,0.0,2.3976759948610495
51,15.8,2.8,6.2,4.8,11.3,181.1,0.0,0.0,2.3887469536002968
52,14.7,3.3,5.4,3.6,9.5,185.5,0.0,0.0,2.370441714219486
53,13.4,3.3,5.0,2.3,9.1,188.9,0.0,0.0,2.3575825001442547
54,12.3,3.5,4.4,2.2,6.9,192.7,0.0,0.0,2.3540849377569844
55,11.7,3.0,4.0,1.4,6.1,195.8,0.0,0.0,2.350143335740218
56,11.1,2.3,4.2,1.8,5.0,197.6,0.0,0.0,2.3440757178334515
57,11.0,1.3,3.8,1.6,4.3,200.0,0.0,0.0,2.339124552908027
58,10.7,1.0,4.1,1.5,2.7,202.0,0.0,0.0,2.324403549444046
59,10.5,0.6,3.9,1.8,2.3,202.9,0.0,0.0,2.323087759970362
60,10.1,0.9,3.3,1.3,2.0,204.4,0.0,0.0,2.321084445441628
61,10.0,0.7,3.0,0.9,2.3,205.1,0.0,0.0,2.321084445441628
62,9.9,0.6,2.1,0.7,1.9,206.8,0.0,0.0,2.318165680105195
63,9.7,0.4,1.5,0.6,1.9,207.9,0.0,0.0,2.3161686475266317
64,9.7,0.3,0.9,0.6,1.9,208.6,0.0,0.0,2.3147767061346904
65,9.4,0.5,0.6,0.6,1.4,209.5,0.0,0.0,2.3142682267692685
66,9.4,0.3,0.4,0.7,1.0,210.2,0.0,0.0,2.3126493553539125
67,9.3,0.4,0.4,0.4,1.0,210.5,0.0,0.0,2.311356744967273
68,9.3,0.1,0.4,0.4,0.7,211.1,0.0,0.0,2.311356744967273
69,9.3,0.1,0.3,0.3,0.7,211.3,0.0,0.0,2.310046554597732
70,9.3,0.0,0.3,0.1,0.8,211.5,0.0,0.0,2.310046554597732
71,9.3,0.0,0.3,0.1,0.7,211.6,0.0,0.0,2.310046554597732
72,9.3,0.0,0.3,0.0,0.5,211.9,0.0,0.0,2.310046554597732
73,9.3,0.0,0.3,0.0,0.4,212.0,0.0,0.0,2.3087636598608903
74,9.3,0.0,0.3,0.0,0.3,212.1,0.0,0.0,2.3087636598608903
75,9.3,0.0,0.1,0.0,0.1,212.5,0.0,0.0,2.307507216561921
76,9.3,0.0,0.1,0.0,0.1,212.5,0.0,0.0,2.307507216561921
77,9.3,0.0,0.0,0.0,0.0,212.7,0.0,0.0,2.307507216561921
78,9.3,0.0,0.0,0.0,0.0,212.7,0.0,0.0,2.307507216561921
79,9.3,0.0,0.0,0.0,0.0,212.7,0.0,0.0,2.307507216561921
80,9.3,0.0,0.0,0.0,0.0,212.7,0.0,0.0,2.307507216561921
81,9.3,0.0,0.0,0.0,0.0,212.7,0.0,0.0,2.307507216561921
82,9.3,0.0,0.0,0.0,0.0,212.7,0.0,0.0,2.307507216561921
83,9.3,0.0,0.0,0.0,0.0,212.7,0.0,0.0,2.307507216561921
84,9.3,0.0,0.0,0.0,0.0,212.7,0.0,0.0,2.307507216561921
85,9.3,0.0,0.0,0.0,0.0,212.7,0.0,0.0,2.307507216561921
86,9.3,0.0,0.0,0.0,0.0,212.7,0.0,0.0,2.307507216561921
87,9.3,0.0,0.0,0.0,0.0,212.7,0.0,0.0,2.307507216561921
88,9.3,0.0,0.0,0.0,0.0,212.7,0.0,0.0,2.307507216561921
89,9.3,0.0,0.0,0.0,0.0,212.7,0.0,0.0,2.307507216561921
90,9.3,0.0,0.0,0.0,0.0,212.7,0.0,0.0,2.307507216561921
91,9.3,0.0,0.0,0.0,0.0,212.7,0.0,0.0,2.307507216561921
92,9.3,0.0,0.0,0.0,0.0,212.7,0.0,0.0,2.307507216561921
93,9.3,0.0,0.0,0.0,0.0,212.7,0.0,0.0,2.307507216561921
94,9.3,0.0,0.0,0.0,0.0,212.7,0.0,0.0,2.307507216561921
95,9.3,0.0,0.0,0.0,0.0,212.7,0.0,0.0,2.307507216561921
96,9.3,0.0,0.0,0.0,0.0,212.7,0.0,0.0,2.307507216561921
97,9.3,0.0,0.0,0.0,0.0,212.7,0.0,0.0,2.307507216561921
98,9.3,0.0,0.0,0.0,0.0,212.7,0.0,0.0,2.307507216561921
99,9.3,0.0,0.0,0.0,0.0,212.7,0.0,0.0,2.307507216561921
