Day,Suceptible,Exposed,Infected_asymptomatic,Infected_presymptomatic,Infected_symptomatic,Recovered,Hospitalized,Death,R_null
0.0,221.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,220.28,0.72,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,219.66,1.34,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3.0,219.15,1.85,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4.0,218.83,1.45,0.24,0.48,1.0,0.0,0.0,0.0,0.0
5.0,218.19,1.47,0.5,0.84,1.0,0.0,0.0,0.0,0.0
6.0,217.27,1.88,0.7,1.15,1.0,0.0,0.0,0.0,0.0
7.0,216.16,2.67,0.78,1.39,1.0,0.0,0.0,0.0,0.0
8.0,214.94,3.25,1.1,1.23,0.48,1.0,0.0,0.0,3.3
9.0,214.05,3.22,1.52,1.37,0.84,1.0,0.0,0.0,3.3
10.0,212.91,3.25,1.95,1.74,1.15,1.0,0.0,0.0,3.3
11.0,211.62,3.32,2.27,2.16,1.39,1.24,0.0,0.0,2.8533333333333335
12.0,209.78,4.27,2.31,2.43,1.71,1.5,0.0,0.0,2.506333333333333
13.0,207.89,5.02,2.61,2.57,1.73,2.18,0.0,0.0,2.4253333333333327
14.0,205.88,5.74,3.01,2.7,2.05,2.62,0.0,0.0,2.4348095238095233
15.0,204.08,5.7,3.36,3.21,2.4,3.25,0.0,0.0,2.3837499999999996
16.0,202.07,5.82,3.7,3.75,2.75,3.91,0.0,0.0,2.1732142857142858
17.0,199.54,6.34,4.04,4.35,3.07,4.66,0.0,0.0,2.047068903318903
18.0,196.79,7.29,4.19,4.63,3.38,5.72,0.0,0.0,1.9308060594376386
19.0,194.18,7.89,4.75,4.61,3.87,6.7,0.0,0.0,1.9108361471689648
20.0,191.39,8.15,5.15,5.11,4.34,7.86,0.0,0.0,1.9099954233532888
21.0,188.68,8.11,5.85,5.44,4.99,8.93,0.0,0.0,1.8590847147921457
22.0,185.42,8.76,6.2,5.94,5.44,10.24,0.0,0.0,1.7608648410264842
23.0,181.97,9.42,6.52,6.5,5.78,11.81,0.0,0.0,1.7242838661684803
24.0,178.62,10.06,6.79,6.54,6.24,13.75,0.0,0.0,1.719884327158612
25.0,175.31,10.11,7.29,7.02,6.68,15.59,0.0,0.0,1.6695590533003528
26.0,172.06,9.91,7.69,7.62,7.03,17.69,0.0,0.0,1.6325465761871494
27.0,168.26,10.36,8.2,7.85,7.65,19.68,0.0,0.0,1.6103165006134523
28.0,164.6,10.71,8.34,8.17,8.17,22.01,0.0,0.0,1.5503496931725598
29.0,161.03,11.03,8.66,8.03,8.59,24.66,0.0,0.0,1.5264380548487564
30.0,157.63,10.63,9.22,8.0,9.21,27.31,0.0,0.0,1.52974451566895
31.0,154.17,10.43,9.62,8.28,9.56,29.94,0.0,0.0,1.4990537673419722
32.0,150.6,10.43,9.93,8.34,9.84,32.86,0.0,0.0,1.4575688633006487
33.0,147.36,10.27,10.06,8.44,10.08,35.79,0.0,0.0,1.4118135442035724
34.0,144.12,10.05,10.05,8.34,10.19,39.25,0.0,0.0,1.3678548428402413
35.0,140.66,9.94,10.14,8.28,10.22,42.76,0.0,0.0,1.3549384247968619
36.0,137.14,10.22,10.11,8.16,10.33,46.04,0.0,0.0,1.3212925962690332
37.0,133.53,10.59,9.76,8.1,10.35,49.67,0.0,0.0,1.288801800918205
38.0,130.4,10.26,9.56,8.26,10.5,53.02,0.0,0.0,1.261331395296016
39.0,126.88,10.26,9.34,8.32,10.5,56.7,0.0,0.0,1.2555414837707695
40.0,123.27,10.26,9.65,8.3,10.21,60.31,0.0,0.0,1.2443091686334053
41.0,119.89,10.51,9.39,8.34,10.11,63.76,0.0,0.0,1.2272577429384475
42.0,116.83,10.05,9.37,8.25,10.32,67.18,0.0,0.0,1.2025178532713867
43.0,113.81,9.46,9.3,8.4,10.48,70.55,0.0,0.0,1.1803539169814183
44.0,110.65,9.24,9.43,8.45,10.23,74.0,0.0,0.0,1.174771490283939
45.0,107.78,9.05,9.62,8.09,10.29,77.17,0.0,0.0,1.1665593232287659
46.0,105.31,8.5,9.57,7.73,10.47,80.42,0.0,0.0,1.155780823374164
47.0,102.96,7.69,9.05,7.34,10.62,84.34,0.0,0.0,1.134549750685264
48.0,100.54,7.24,9.07,7.09,10.36,87.7,0.0,0.0,1.1290987423754049
49.0,98.42,6.89,8.78,6.83,10.08,91.0,0.0,0.0,1.1146212731317153
50.0,96.59,6.37,8.4,6.55,9.86,94.23,0.0,0.0,1.102401422896442
51.0,94.89,5.65,7.93,6.04,9.71,97.78,0.0,0.0,1.083974786785177
52.0,93.11,5.31,7.35,5.6,9.05,101.58,0.0,0.0,1.0644530844127773
53.0,91.62,4.97,6.82,5.34,8.46,104.79,0.0,0.0,1.0525139167762727
54.0,90.24,4.65,6.37,4.82,8.32,107.6,0.0,0.0,1.0398461054084804
55.0,88.78,4.33,5.79,4.55,8.02,110.53,0.0,0.0,1.02581356450695
56.0,87.52,4.1,5.43,4.03,7.31,113.61,0.0,0.0,1.0139659872594637
57.0,86.29,3.95,5.19,3.68,6.71,116.18,0.0,0.0,1.004066405644138
58.0,85.33,3.45,4.77,3.64,6.31,118.5,0.0,0.0,0.9951457100319965
59.0,84.15,3.37,4.32,3.3,6.02,120.84,0.0,0.0,0.9861186941148279
60.0,83.12,3.17,4.0,3.38,5.3,123.03,0.0,0.0,0.9786943895619723
61.0,82.48,2.85,3.69,3.16,4.79,125.03,0.0,0.0,0.969450652991885
62.0,81.86,2.29,3.53,2.99,4.61,126.72,0.0,0.0,0.9641829848135284
63.0,81.24,1.88,3.23,2.72,4.5,128.43,0.0,0.0,0.958036819563186
64.0,80.53,1.95,2.86,2.28,4.13,130.25,0.0,0.0,0.9517385069682766
65.0,80.07,1.79,2.56,2.13,3.92,131.53,0.0,0.0,0.9482856535345354
66.0,79.59,1.65,2.45,1.7,3.92,132.69,0.0,0.0,0.9443648157627552
67.0,79.17,1.36,2.35,1.52,3.58,134.02,0.0,0.0,0.9410132736113248
68.0,78.69,1.38,2.17,1.35,3.11,135.3,0.0,0.0,0.936355587901043
69.0,78.32,1.27,1.98,1.21,2.67,136.55,0.0,0.0,0.9332937174205359
70.0,78.0,1.17,1.69,1.15,2.46,137.53,0.0,0.0,0.9288221274900849
71.0,77.67,1.02,1.69,0.97,2.11,138.54,0.0,0.0,0.9254920409756444
72.0,77.44,0.88,1.57,1.01,1.74,139.36,0.0,0.0,0.9233463345210944
73.0,77.21,0.79,1.38,0.98,1.6,140.04,0.0,0.0,0.9213340462517895
74.0,77.04,0.63,1.19,0.93,1.48,140.73,0.0,0.0,0.9175859532379023
75.0,76.78,0.66,1.03,0.85,1.38,141.3,0.0,0.0,0.916542481997979
76.0,76.6,0.61,0.87,0.75,1.23,141.94,0.0,0.0,0.9137046688918423
77.0,76.33,0.71,0.77,0.65,1.23,142.31,0.0,0.0,0.9125760646885621
78.0,76.15,0.63,0.66,0.55,1.2,142.81,0.0,0.0,0.910976424045137
79.0,75.94,0.66,0.64,0.49,1.08,143.19,0.0,0.0,0.9105504361064288
80.0,75.83,0.5,0.67,0.47,1.01,143.52,0.0,0.0,0.9095828924188174
81.0,75.66,0.49,0.66,0.43,0.87,143.89,0.0,0.0,0.9081056031693955
82.0,75.41,0.53,0.66,0.44,0.77,144.19,0.0,0.0,0.9076318809471529
83.0,75.24,0.59,0.62,0.43,0.64,144.48,0.0,0.0,0.9082486025944673
84.0,75.12,0.54,0.62,0.41,0.63,144.68,0.0,0.0,0.9078765594063998
85.0,75.01,0.4,0.57,0.49,0.55,144.98,0.0,0.0,0.9065574853783012
86.0,74.91,0.33,0.58,0.43,0.56,145.19,0.0,0.0,0.9064210796426658
87.0,74.77,0.35,0.51,0.41,0.52,145.44,0.0,0.0,0.9062746356675402
88.0,74.63,0.38,0.47,0.34,0.55,145.63,0.0,0.0,0.9054518479533072
89.0,74.52,0.39,0.43,0.24,0.57,145.85,0.0,0.0,0.9045151579445878
90.0,74.46,0.31,0.44,0.27,0.56,145.96,0.0,0.0,0.9045616251582541
91.0,74.38,0.25,0.43,0.31,0.49,146.14,0.0,0.0,0.905253195928896
92.0,74.34,0.18,0.36,0.35,0.46,146.31,0.0,0.0,0.9041690135812062
93.0,74.3,0.16,0.3,0.31,0.4,146.53,0.0,0.0,0.9026924437702393
94.0,74.19,0.19,0.27,0.26,0.34,146.75,0.0,0.0,0.9013492711948793
95.0,74.14,0.2,0.22,0.19,0.37,146.88,0.0,0.0,0.9006517942087809
96.0,74.11,0.19,0.19,0.13,0.4,146.98,0.0,0.0,0.900044397018945
97.0,74.04,0.15,0.19,0.18,0.37,147.07,0.0,0.0,0.9000712223862994
