Day,Suceptible,Exposed,Infected_asymptomatic,Infected_presymptomatic,Infected_symptomatic,Recovered,Hospitalized,Death,R_null
0,221,0,0,1,0,0,0,0,0
1,221,0,0,1,0,0,0,0,0
2,220,1,0,1,0,0,0,0,0
3,217,4,0,0,1,0,0,0,0
4,217,4,0,0,1,0,0,0,0
5,216,4,0,1,1,0,0,0,0
6,215,2,1,3,1,0,0,0,0
7,213,4,1,3,1,0,0,0,0
8,213,3,1,4,0,1,0,0,5.0
9,212,3,2,3,1,1,0,0,5.0
10,209,4,4,1,3,1,0,0,5.0
11,208,5,4,1,3,1,0,0,5.0
12,206,6,5,0,4,1,0,0,5.0
13,203,6,4,3,4,2,0,0,2.5
14,201,7,5,3,3,3,0,0,2.6666666666666665
15,201,5,7,3,1,5,0,0,3.0
16,200,3,6,6,1,6,0,0,2.5
17,199,2,5,4,3,9,0,0,2.0
18,197,4,5,4,3,9,0,0,2.0
19,196,4,4,5,3,10,0,0,1.9
20,190,9,5,2,6,10,0,0,1.9
21,188,9,5,2,7,11,0,0,1.7272727272727273
22,184,12,4,2,4,16,0,0,1.625
23,181,9,6,5,5,16,0,0,1.625
24,179,9,6,6,5,17,0,0,1.5294117647058822
25,177,7,8,7,3,20,0,0,1.65
26,176,5,8,10,2,21,0,0,1.6666666666666667
27,172,7,7,8,6,22,0,0,1.6363636363636365
28,171,6,6,9,6,24,0,0,1.6666666666666667
29,167,9,5,8,8,25,0,0,1.6
30,163,9,6,6,10,28,0,0,1.5357142857142858
31,163,8,5,5,12,29,0,0,1.5172413793103448
32,157,10,5,5,10,35,0,0,1.5142857142857142
33,154,9,6,7,10,36,0,0,1.4722222222222223
34,152,11,6,6,9,38,0,0,1.4473684210526316
35,149,8,8,9,7,41,0,0,1.4390243902439024
36,147,7,11,7,7,43,0,0,1.5116279069767442
37,146,6,9,5,8,48,0,0,1.3958333333333333
38,144,5,10,7,7,49,0,0,1.3673469387755102
39,142,5,9,4,10,52,0,0,1.3269230769230769
40,141,5,9,4,9,54,0,0,1.2962962962962963
41,140,4,10,4,8,56,0,0,1.3392857142857142
42,138,4,9,3,7,61,0,0,1.2950819672131149
43,136,5,6,3,8,64,0,0,1.234375
44,136,4,6,3,4,69,0,0,1.1884057971014492
45,134,4,7,2,5,70,0,0,1.1714285714285715
46,133,3,7,2,5,72,0,0,1.1527777777777777
47,133,3,6,1,4,75,0,0,1.1466666666666667
48,132,2,5,3,3,77,0,0,1.12987012987013
49,131,2,4,4,3,78,0,0,1.1153846153846154
50,128,5,4,3,3,79,0,0,1.1139240506329113
51,125,7,4,3,2,81,0,0,1.0987654320987654
52,124,7,2,2,3,84,0,0,1.0595238095238095
53,120,8,2,3,4,85,0,0,1.0588235294117647
54,115,10,4,4,4,85,0,0,1.0588235294117647
55,112,12,5,4,3,86,0,0,1.058139534883721
56,109,11,7,5,4,86,0,0,1.058139534883721
57,104,11,8,7,4,88,0,0,1.1590909090909092
58,100,12,8,8,4,90,0,0,1.1888888888888889
59,93,16,9,10,4,90,0,0,1.1888888888888889
60,90,14,10,11,6,91,0,0,1.1868131868131868
61,86,14,9,10,9,94,0,0,1.1914893617021276
62,83,10,11,12,9,97,0,0,1.1958762886597938
63,77,13,10,12,10,100,0,0,1.19
64,71,15,12,10,13,101,0,0,1.1782178217821782
65,70,13,12,9,14,104,0,0,1.1923076923076923
66,65,12,15,7,14,109,0,0,1.2568807339449541
67,62,9,15,9,14,113,0,0,1.2831858407079646
68,61,9,14,9,13,116,0,0,1.2672413793103448
69,57,8,14,9,12,122,0,0,1.2377049180327868
70,56,6,13,10,11,126,0,0,1.2222222222222223
71,53,8,11,6,11,133,0,0,1.1879699248120301
72,52,5,13,6,10,136,0,0,1.1911764705882353
73,52,4,10,4,11,141,0,0,1.1631205673758864
74,52,1,8,4,12,145,0,0,1.1379310344827587
75,52,0,9,4,10,147,0,0,1.1224489795918366
76,48,4,6,3,7,154,0,0,1.0844155844155845
77,46,6,6,3,6,155,0,0,1.0774193548387097
78,45,7,5,0,7,158,0,0,1.0632911392405062
79,43,5,5,1,4,164,0,0,1.0548780487804879
80,43,3,5,2,4,165,0,0,1.0484848484848486
81,42,3,5,3,3,166,0,0,1.0421686746987953
82,42,1,4,5,3,167,0,0,1.035928143712575
83,42,1,4,4,1,170,0,0,1.0470588235294118
84,42,0,4,4,2,170,0,0,1.0470588235294118
85,42,0,4,3,3,170,0,0,1.0470588235294118
86,42,0,1,1,5,173,0,0,1.0289017341040463
87,42,0,0,1,5,174,0,0,1.0229885057471264
88,41,1,0,0,5,175,0,0,1.022857142857143
89,40,2,0,0,4,176,0,0,1.0170454545454546
90,40,2,0,0,3,177,0,0,1.0112994350282485
91,40,1,0,1,1,179,0,0,1.005586592178771
92,40,0,0,2,1,179,0,0,1.005586592178771
93,40,0,0,2,0,180,0,0,1.0055555555555555
94,40,0,0,2,0,180,0,0,1.0055555555555555
95,40,0,0,1,1,180,0,0,1.0055555555555555
96,40,0,0,0,2,180,0,0,1.0055555555555555
97,39,1,0,0,2,180,0,0,1.0055555555555555
98,39,1,0,0,2,180,0,0,1.0055555555555555
99,39,1,0,0,2,180,0,0,1.0055555555555555
