Day,Suceptible,Exposed,Infected_asymptomatic,Infected_presymptomatic,Infected_symptomatic,Recovered,Hospitalized,Death,R_null
0.0,221.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,220.32,0.68,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,219.64,1.36,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3.0,219.19,1.81,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4.0,218.76,1.56,0.26,0.42,1.0,0.0,0.0,0.0,0.0
5.0,218.12,1.52,0.54,0.82,1.0,0.0,0.0,0.0,0.0
6.0,217.24,1.95,0.73,1.08,1.0,0.0,0.0,0.0,0.0
7.0,216.26,2.5,0.91,1.33,1.0,0.0,0.0,0.0,0.0
8.0,215.23,2.89,1.16,1.3,0.42,1.0,0.0,0.0,3.52
9.0,214.32,2.92,1.48,1.46,0.82,1.0,0.0,0.0,3.52
10.0,213.28,2.98,1.87,1.79,1.08,1.0,0.0,0.0,3.52
11.0,211.89,3.34,2.03,2.15,1.33,1.26,0.0,0.0,2.9816666666666665
12.0,210.48,3.84,2.05,2.37,1.72,1.54,0.0,0.0,2.5516666666666663
13.0,208.64,4.64,2.38,2.33,1.86,2.15,0.0,0.0,2.4041666666666663
14.0,206.76,5.13,2.68,2.65,2.05,2.73,0.0,0.0,2.332833333333333
15.0,204.92,5.56,2.96,2.92,2.4,3.24,0.0,0.0,2.172722222222222
16.0,202.97,5.67,3.24,3.55,2.76,3.81,0.0,0.0,2.0748510101010105
17.0,200.8,5.96,3.69,4.07,2.89,4.59,0.0,0.0,1.9138341380841382
18.0,198.72,6.2,3.95,4.32,3.24,5.57,0.0,0.0,1.8488440823881993
19.0,196.45,6.52,4.48,4.56,3.53,6.46,0.0,0.0,1.860913634611003
20.0,194.06,6.74,4.84,4.61,4.16,7.59,0.0,0.0,1.8696279616664429
21.0,191.67,7.05,5.12,4.89,4.59,8.68,0.0,0.0,1.8161533420625824
22.0,188.86,7.59,5.37,5.22,5.23,9.73,0.0,0.0,1.7652116776566487
23.0,186.2,7.86,5.82,5.44,5.44,11.24,0.0,0.0,1.7182965538979729
24.0,183.08,8.59,6.03,5.49,5.85,12.96,0.0,0.0,1.6424455151532
25.0,179.91,8.95,6.57,5.76,5.93,14.88,0.0,0.0,1.6515872749849387
26.0,176.84,9.36,6.91,5.76,6.38,16.75,0.0,0.0,1.6043641456850124
27.0,173.9,9.18,7.25,6.32,6.56,18.79,0.0,0.0,1.594008670153802
28.0,170.62,9.29,7.94,6.7,6.78,20.67,0.0,0.0,1.5496962504477068
29.0,167.35,9.49,8.46,6.88,7.08,22.74,0.0,0.0,1.5264870055314226
30.0,164.22,9.68,8.55,7.19,7.25,25.11,0.0,0.0,1.490688185527558
31.0,160.68,9.94,8.76,7.31,7.66,27.65,0.0,0.0,1.4607099428265777
32.0,157.47,9.88,8.86,7.54,8.04,30.21,0.0,0.0,1.4396112470195581
33.0,154.2,10.02,8.95,7.64,8.47,32.72,0.0,0.0,1.4129412164017914
34.0,150.84,9.84,9.0,8.11,8.68,35.53,0.0,0.0,1.3931861055307804
35.0,147.23,10.24,8.81,8.04,9.21,38.47,0.0,0.0,1.351835309760817
36.0,143.77,10.43,8.67,8.2,9.26,41.67,0.0,0.0,1.3271998925796766
37.0,140.33,10.51,8.9,8.32,9.41,44.53,0.0,0.0,1.3079896683828938
38.0,136.86,10.37,9.11,8.19,9.91,47.56,0.0,0.0,1.292601829385967
39.0,133.76,10.01,9.17,8.32,10.06,50.68,0.0,0.0,1.2860135708564826
40.0,130.5,9.83,9.26,8.3,10.15,53.96,0.0,0.0,1.2744214379966532
41.0,127.17,9.69,9.26,8.51,10.19,57.18,0.0,0.0,1.259096305106716
42.0,124.52,9.24,9.31,8.16,10.46,60.31,0.0,0.0,1.2437837168782095
43.0,121.59,8.91,9.41,8.08,10.27,63.74,0.0,0.0,1.2427666552012888
