Day,Suceptible,Exposed,Infected_asymptomatic,Infected_presymptomatic,Infected_symptomatic,Recovered,Hospitalized,Death,R_null
0,221,0,0,1,0,0,0,0,0
1,219,2,0,1,0,0,0,0,0
2,215,6,0,1,0,0,0,0,0
3,213,8,0,0,1,0,0,0,0
4,213,6,0,2,1,0,0,0,0
5,210,5,2,4,1,0,0,0,0
6,207,6,3,5,1,0,0,0,0
7,201,12,3,5,1,0,0,0,0
8,198,12,5,4,2,1,0,0,11.0
9,195,12,6,4,4,1,0,0,11.0
10,193,8,9,6,5,1,0,0,11.0
11,190,8,12,6,5,1,0,0,11.0
12,186,9,11,7,6,3,0,0,3.6666666666666665
13,176,17,10,7,6,6,0,0,4.5
14,171,19,11,6,7,8,0,0,4.0
15,167,19,10,9,6,11,0,0,3.1818181818181817
16,162,14,14,12,8,12,0,0,2.9166666666666665
17,153,18,12,14,9,16,0,0,2.375
18,148,19,12,13,9,21,0,0,2.1904761904761907
19,143,19,12,14,9,25,0,0,2.12
20,138,15,14,16,14,25,0,0,2.12
21,131,17,14,16,16,28,0,0,2.0714285714285716
22,116,27,14,19,15,31,0,0,2.0
23,104,34,13,16,17,38,0,0,1.9736842105263157
24,98,33,15,13,21,42,0,0,1.9285714285714286
25,92,24,18,18,20,50,0,0,1.74
26,84,20,18,25,20,55,0,0,1.8
27,75,23,17,29,20,58,0,0,1.7241379310344827
28,66,26,19,28,20,63,0,0,1.7142857142857142
29,60,24,24,21,22,71,0,0,1.6619718309859155
30,53,22,22,17,29,79,0,0,1.6708860759493671
31,49,17,21,19,30,86,0,0,1.6511627906976745
32,46,14,20,17,32,93,0,0,1.5376344086021505
33,40,13,22,19,30,98,0,0,1.489795918367347
34,38,11,23,14,28,108,0,0,1.462962962962963
35,37,9,21,9,24,122,0,0,1.3934426229508197
36,34,6,16,13,20,133,0,0,1.3082706766917294
37,34,4,15,10,21,138,0,0,1.2826086956521738
38,33,4,13,9,21,142,0,0,1.2605633802816902
39,30,4,9,9,16,154,0,0,1.1753246753246753
40,29,5,6,4,14,164,0,0,1.146341463414634
41,27,6,4,4,14,167,0,0,1.125748502994012
42,27,3,5,4,11,172,0,0,1.1046511627906976
43,26,3,4,3,11,175,0,0,1.0914285714285714
44,26,1,4,4,9,178,0,0,1.0730337078651686
45,26,1,4,3,5,183,0,0,1.0546448087431695
46,26,0,4,2,5,185,0,0,1.0486486486486486
47,26,0,4,1,5,186,0,0,1.043010752688172
48,26,0,4,0,4,188,0,0,1.0319148936170213
49,26,0,2,0,4,190,0,0,1.0210526315789474
50,25,1,2,0,3,191,0,0,1.0209424083769634
51,25,1,1,0,2,193,0,0,1.0155440414507773
52,25,1,1,0,1,194,0,0,1.0103092783505154
53,25,0,0,1,0,196,0,0,1.0
54,25,0,0,1,0,196,0,0,1.0
55,25,0,0,1,0,196,0,0,1.0
56,24,1,0,1,0,196,0,0,1.0
57,24,1,0,0,1,196,0,0,1.0
58,24,1,0,0,1,196,0,0,1.0
59,24,0,0,1,1,196,0,0,1.0
60,24,0,0,1,1,196,0,0,1.0
61,24,0,0,1,1,196,0,0,1.0
62,24,0,0,1,0,197,0,0,1.0
63,24,0,0,0,1,197,0,0,1.0
64,24,0,0,0,1,197,0,0,1.0
65,24,0,0,0,1,197,0,0,1.0
66,24,0,0,0,1,197,0,0,1.0
67,24,0,0,0,1,197,0,0,1.0
68,24,0,0,0,0,198,0,0,0.9949494949494949
69,24,0,0,0,0,198,0,0,0.9949494949494949
70,24,0,0,0,0,198,0,0,0.9949494949494949
71,24,0,0,0,0,198,0,0,0.9949494949494949
72,24,0,0,0,0,198,0,0,0.9949494949494949
73,24,0,0,0,0,198,0,0,0.9949494949494949
74,24,0,0,0,0,198,0,0,0.9949494949494949
75,24,0,0,0,0,198,0,0,0.9949494949494949
76,24,0,0,0,0,198,0,0,0.9949494949494949
77,24,0,0,0,0,198,0,0,0.9949494949494949
78,24,0,0,0,0,198,0,0,0.9949494949494949
79,24,0,0,0,0,198,0,0,0.9949494949494949
80,24,0,0,0,0,198,0,0,0.9949494949494949
81,24,0,0,0,0,198,0,0,0.9949494949494949
82,24,0,0,0,0,198,0,0,0.9949494949494949
83,24,0,0,0,0,198,0,0,0.9949494949494949
84,24,0,0,0,0,198,0,0,0.9949494949494949
85,24,0,0,0,0,198,0,0,0.9949494949494949
86,24,0,0,0,0,198,0,0,0.9949494949494949
87,24,0,0,0,0,198,0,0,0.9949494949494949
88,24,0,0,0,0,198,0,0,0.9949494949494949
89,24,0,0,0,0,198,0,0,0.9949494949494949
90,24,0,0,0,0,198,0,0,0.9949494949494949
91,24,0,0,0,0,198,0,0,0.9949494949494949
92,24,0,0,0,0,198,0,0,0.9949494949494949
93,24,0,0,0,0,198,0,0,0.9949494949494949
94,24,0,0,0,0,198,0,0,0.9949494949494949
95,24,0,0,0,0,198,0,0,0.9949494949494949
96,24,0,0,0,0,198,0,0,0.9949494949494949
97,24,0,0,0,0,198,0,0,0.9949494949494949
98,24,0,0,0,0,198,0,0,0.9949494949494949
99,24,0,0,0,0,198,0,0,0.9949494949494949
