Day,Suceptible,Exposed,Infected_asymptomatic,Infected_presymptomatic,Infected_symptomatic,Recovered,Hospitalized,Death,R_null
0.0,221.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,220.4,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,219.77,1.23,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3.0,219.19,1.81,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4.0,218.91,1.49,0.22,0.38,1.0,0.0,0.0,0.0,0.0
5.0,218.27,1.5,0.48,0.75,1.0,0.0,0.0,0.0,0.0
6.0,217.7,1.49,0.76,1.05,1.0,0.0,0.0,0.0,0.0
7.0,216.62,2.29,0.89,1.2,1.0,0.0,0.0,0.0,0.0
8.0,215.63,2.64,1.14,1.21,0.38,1.0,0.0,0.0,3.25
9.0,214.65,3.05,1.36,1.19,0.75,1.0,0.0,0.0,3.25
10.0,213.73,2.89,1.77,1.56,1.05,1.0,0.0,0.0,3.25
11.0,212.29,3.34,2.05,1.9,1.2,1.22,0.0,0.0,2.82
12.0,210.89,3.76,2.09,2.19,1.59,1.48,0.0,0.0,2.3975000000000004
13.0,208.74,4.99,2.16,2.41,1.56,2.14,0.0,0.0,2.291666666666667
14.0,207.18,5.11,2.59,2.62,1.86,2.64,0.0,0.0,2.2726666666666664
15.0,204.65,6.24,2.8,3.07,2.05,3.19,0.0,0.0,2.247032467532467
16.0,202.46,6.28,3.39,3.73,2.58,3.56,0.0,0.0,2.197321428571428
17.0,199.9,7.28,3.62,4.08,2.76,4.36,0.0,0.0,2.039770562770562
18.0,197.07,7.58,4.23,4.62,3.29,5.21,0.0,0.0,1.9418412698412693
19.0,193.97,8.49,4.76,5.04,3.56,6.18,0.0,0.0,2.042963875013875
20.0,191.02,8.88,5.48,5.19,4.41,7.02,0.0,0.0,2.0708950427023955
21.0,187.82,9.25,6.1,5.92,4.65,8.26,0.0,0.0,1.9715653615390456
22.0,184.33,9.64,6.91,6.33,5.5,9.29,0.0,0.0,1.9333456678695438
23.0,180.72,10.3,7.31,6.71,5.98,10.98,0.0,0.0,1.8520606142081852
24.0,177.19,10.63,8.07,7.02,6.53,12.56,0.0,0.0,1.7932334618372445
25.0,173.29,11.04,8.21,7.61,6.84,15.01,0.0,0.0,1.749471093335459
26.0,169.08,11.64,8.76,8.01,7.75,16.76,0.0,0.0,1.693518527582654
27.0,164.84,12.35,9.2,8.29,8.07,19.25,0.0,0.0,1.6543998089842884
28.0,160.98,12.31,9.79,8.62,8.51,21.79,0.0,0.0,1.6016792023974966
29.0,156.74,12.34,10.26,8.85,9.26,24.55,0.0,0.0,1.5962915853351805
30.0,152.55,12.29,10.58,9.33,9.84,27.41,0.0,0.0,1.5766391303768643
31.0,148.48,12.5,10.52,9.83,10.03,30.64,0.0,0.0,1.5446783102004273
32.0,144.23,12.51,11.16,10.05,10.42,33.63,0.0,0.0,1.5181601114377177
33.0,139.99,12.56,11.24,10.31,11.09,36.81,0.0,0.0,1.4734022875598982
34.0,135.93,12.55,11.45,9.95,11.56,40.56,0.0,0.0,1.4550875742170788
35.0,131.96,12.27,11.29,10.07,11.85,44.56,0.0,0.0,1.4265762772417019
36.0,127.66,12.33,11.34,10.17,12.18,48.32,0.0,0.0,1.381711894598932
37.0,123.45,12.48,11.37,9.94,12.78,51.98,0.0,0.0,1.349488599783512
38.0,119.35,12.61,11.67,9.92,12.66,55.79,0.0,0.0,1.3452230549699493
39.0,115.62,12.04,11.41,9.95,12.59,60.39,0.0,0.0,1.3142991465521863
40.0,112.11,11.34,11.68,9.98,12.52,64.37,0.0,0.0,1.2965253688402834
41.0,108.15,11.2,11.54,10.0,12.67,68.44,0.0,0.0,1.2756931316050995
42.0,104.74,10.88,11.34,9.99,12.27,72.78,0.0,0.0,1.2503300646105782
43.0,101.16,10.95,10.88,9.5,12.59,76.92,0.0,0.0,1.2310115969161763
44.0,97.99,10.16,10.88,9.42,12.43,81.12,0.0,0.0,1.215727225903438
45.0,94.78,9.96,10.61,8.94,12.5,85.21,0.0,0.0,1.1997964144118574
46.0,92.01,9.15,10.58,8.6,12.32,89.34,0.0,0.0,1.1776154602113156
47.0,89.33,8.66,10.16,8.28,12.17,93.4,0.0,0.0,1.1615951935258286
48.0,86.59,8.19,10.01,7.66,11.9,97.65,0.0,0.0,1.1470037656097556
49.0,84.38,7.63,9.6,7.39,11.46,101.54,0.0,0.0,1.1307889961946602
50.0,82.14,7.19,9.29,7.07,10.92,105.39,0.0,0.0,1.1190990262314096
51.0,80.23,6.36,8.77,6.91,10.46,109.27,0.0,0.0,1.1030051744675717
52.0,78.33,6.05,8.27,6.47,10.06,112.82,0.0,0.0,1.0868810512670533
53.0,76.34,5.8,7.46,6.15,9.43,116.82,0.0,0.0,1.0713158403544254
54.0,74.95,5.28,6.88,5.67,9.05,120.17,0.0,0.0,1.0566535139121076
55.0,73.53,4.8,6.33,4.99,8.77,123.58,0.0,0.0,1.0389934592723162
56.0,72.14,4.2,6.04,4.93,8.25,126.44,0.0,0.0,1.025610780376738
57.0,70.89,4.06,5.58,4.31,7.92,129.24,0.0,0.0,1.0151702268431984
58.0,69.63,3.9,5.1,3.99,7.33,132.05,0.0,0.0,1.0026430983705337
59.0,68.64,3.5,4.77,3.82,6.69,134.58,0.0,0.0,0.9959005247816641
60.0,67.72,3.17,4.46,3.31,6.27,137.07,0.0,0.0,0.9860497446272078
61.0,66.85,2.78,4.25,3.22,5.76,139.14,0.0,0.0,0.980474013578226
62.0,65.95,2.69,3.72,3.0,5.17,141.47,0.0,0.0,0.9722096592343893
63.0,65.14,2.58,3.43,2.65,4.84,143.36,0.0,0.0,0.9670796295935254
64.0,64.43,2.42,3.27,2.35,4.59,144.94,0.0,0.0,0.9607135455752441
65.0,63.77,2.18,3.0,2.22,4.05,146.78,0.0,0.0,0.956023900468356
66.0,63.26,1.88,2.7,2.15,3.86,148.15,0.0,0.0,0.9520957219985253
67.0,62.72,1.71,2.48,2.1,3.5,149.49,0.0,0.0,0.946623844453677
68.0,62.25,1.52,2.22,2.03,3.12,150.86,0.0,0.0,0.9405595270847071
69.0,61.83,1.43,2.12,1.68,2.96,151.98,0.0,0.0,0.9365872469268888
70.0,61.44,1.28,1.91,1.44,2.79,153.14,0.0,0.0,0.9314886086247214
71.0,61.11,1.14,1.72,1.25,2.6,154.18,0.0,0.0,0.9281411145514973
72.0,60.71,1.12,1.58,1.12,2.5,154.97,0.0,0.0,0.9262037189428143
73.0,60.41,1.03,1.52,1.07,2.29,155.68,0.0,0.0,0.9229509033756949
74.0,60.07,1.04,1.38,0.95,2.01,156.55,0.0,0.0,0.92038820359905
75.0,59.91,0.8,1.26,0.95,1.7,157.38,0.0,0.0,0.9188455206867217
76.0,59.71,0.7,1.1,0.89,1.52,158.08,0.0,0.0,0.9164923552110439
77.0,59.45,0.62,1.07,0.84,1.33,158.69,0.0,0.0,0.9137502585036829
78.0,59.3,0.61,0.91,0.74,1.28,159.16,0.0,0.0,0.9116948594898888
79.0,59.11,0.6,0.85,0.59,1.21,159.64,0.0,0.0,0.9095946898916815
80.0,58.95,0.5,0.79,0.52,1.16,160.08,0.0,0.0,0.9075431889447266
81.0,58.85,0.45,0.71,0.47,1.05,160.47,0.0,0.0,0.906352241045795
82.0,58.7,0.41,0.62,0.5,0.95,160.82,0.0,0.0,0.9049787248696372
83.0,58.57,0.38,0.56,0.52,0.85,161.12,0.0,0.0,0.9041498517504999
84.0,58.47,0.38,0.42,0.44,0.73,161.56,0.0,0.0,0.9026576085558665
85.0,58.43,0.27,0.45,0.4,0.63,161.82,0.0,0.0,0.9019391287468153
86.0,58.28,0.29,0.41,0.34,0.61,162.07,0.0,0.0,0.9011207048084289
87.0,58.21,0.26,0.32,0.28,0.63,162.3,0.0,0.0,0.9001064424951367
88.0,58.12,0.31,0.3,0.24,0.58,162.45,0.0,0.0,0.8997207235205879
89.0,58.07,0.21,0.34,0.23,0.51,162.64,0.0,0.0,0.8990049425203214
90.0,58.03,0.18,0.33,0.2,0.48,162.78,0.0,0.0,0.8989123413474907
91.0,58.0,0.12,0.32,0.19,0.41,162.96,0.0,0.0,0.8982845287020753
92.0,57.99,0.08,0.27,0.19,0.3,163.17,0.0,0.0,0.8975929819406692
93.0,57.96,0.07,0.24,0.15,0.3,163.28,0.0,0.0,0.8971254184164761
94.0,57.93,0.07,0.21,0.13,0.28,163.38,0.0,0.0,0.8966672617006785
95.0,57.91,0.08,0.19,0.08,0.26,163.48,0.0,0.0,0.8961551987200292
96.0,57.87,0.09,0.12,0.07,0.21,163.64,0.0,0.0,0.8956898503070273
97.0,57.87,0.06,0.12,0.06,0.21,163.68,0.0,0.0,0.8956764910981672
98.0,57.85,0.06,0.11,0.03,0.18,163.77,0.0,0.0,0.895329320140507
99.0,57.85,0.02,0.09,0.05,0.14,163.85,0.0,0.0,0.8949925839556735
