Day,Suceptible,Exposed,Infected_asymptomatic,Infected_presymptomatic,Infected_symptomatic,Recovered,Hospitalized,Death,R_null
0,221,0,0,1,0,0,0,0,0
1,219,2,0,1,0,0,0,0,0
2,219,2,0,1,0,0,0,0,0
3,219,2,0,0,1,0,0,0,0
4,219,0,1,1,1,0,0,0,0
5,218,1,1,1,1,0,0,0,0
6,216,3,1,1,1,0,0,0,0
7,216,3,1,1,1,0,0,0,0
8,215,3,1,1,1,1,0,0,3.0
9,214,2,2,2,1,1,0,0,3.0
10,212,4,2,2,1,1,0,0,3.0
11,211,4,1,3,1,2,0,0,1.5
12,211,3,2,2,2,2,0,0,1.5
13,211,1,2,3,2,3,0,0,2.6666666666666665
14,209,2,2,4,2,3,0,0,2.6666666666666665
15,204,7,2,3,3,3,0,0,2.6666666666666665
16,202,9,1,3,3,4,0,0,2.0
17,198,11,2,2,4,5,0,0,2.4
18,196,8,5,3,4,6,0,0,2.1666666666666665
19,189,13,4,5,4,7,0,0,1.8571428571428572
20,187,11,7,6,3,8,0,0,2.25
21,179,17,8,6,4,8,0,0,2.25
22,177,12,10,9,4,10,0,0,2.3
23,169,18,11,8,5,11,0,0,2.5454545454545454
24,166,13,13,12,6,12,0,0,2.5
25,154,23,11,12,7,15,0,0,2.1333333333333333
26,141,28,14,12,11,16,0,0,2.125
27,134,32,13,12,10,21,0,0,2.142857142857143
28,128,26,19,12,13,24,0,0,2.25
29,120,21,23,18,13,27,0,0,2.111111111111111
30,108,26,23,19,17,29,0,0,2.103448275862069
31,97,31,22,22,13,37,0,0,2.27027027027027
32,88,32,26,20,17,39,0,0,2.1794871794871793
33,79,29,28,20,19,47,0,0,2.127659574468085
34,68,29,32,19,24,50,0,0,2.12
35,56,32,29,20,23,62,0,0,1.903225806451613
36,51,28,26,23,25,69,0,0,1.8115942028985508
37,42,26,30,22,27,75,0,0,1.7733333333333334
38,37,19,38,19,25,84,0,0,1.7023809523809523
39,33,18,36,16,24,95,0,0,1.6
40,30,12,35,15,26,104,0,0,1.5769230769230769
41,24,13,31,12,29,113,0,0,1.4778761061946903
42,20,13,30,11,24,124,0,0,1.4758064516129032
43,19,11,29,10,21,132,0,0,1.393939393939394
44,17,7,25,10,21,142,0,0,1.3309859154929577
45,16,4,15,11,18,158,0,0,1.2025316455696202
46,11,8,13,10,13,167,0,0,1.1736526946107784
47,11,6,10,10,12,173,0,0,1.1502890173410405
48,11,5,8,6,15,177,0,0,1.1412429378531073
49,11,0,7,5,14,185,0,0,1.1081081081081081
50,11,0,5,5,11,190,0,0,1.1
51,11,0,4,4,11,192,0,0,1.0885416666666667
52,10,1,4,3,11,193,0,0,1.0829015544041452
53,10,1,3,0,9,199,0,0,1.0552763819095476
54,10,1,2,0,5,204,0,0,1.0343137254901962
55,10,0,3,0,5,204,0,0,1.0343137254901962
56,9,1,1,0,4,207,0,0,1.0193236714975846
57,9,1,1,0,3,208,0,0,1.0192307692307692
58,9,1,1,0,0,211,0,0,1.004739336492891
59,9,0,1,1,0,211,0,0,1.004739336492891
60,9,0,1,1,0,211,0,0,1.004739336492891
61,9,0,1,1,0,211,0,0,1.004739336492891
62,9,0,0,1,0,212,0,0,1.0
63,9,0,0,0,1,212,0,0,1.0
64,9,0,0,0,1,212,0,0,1.0
65,9,0,0,0,1,212,0,0,1.0
66,9,0,0,0,1,212,0,0,1.0
67,9,0,0,0,1,212,0,0,1.0
68,9,0,0,0,0,213,0,0,0.9953051643192489
69,9,0,0,0,0,213,0,0,0.9953051643192489
70,9,0,0,0,0,213,0,0,0.9953051643192489
71,9,0,0,0,0,213,0,0,0.9953051643192489
72,9,0,0,0,0,213,0,0,0.9953051643192489
73,9,0,0,0,0,213,0,0,0.9953051643192489
74,9,0,0,0,0,213,0,0,0.9953051643192489
75,9,0,0,0,0,213,0,0,0.9953051643192489
76,9,0,0,0,0,213,0,0,0.9953051643192489
77,9,0,0,0,0,213,0,0,0.9953051643192489
78,9,0,0,0,0,213,0,0,0.9953051643192489
79,9,0,0,0,0,213,0,0,0.9953051643192489
80,9,0,0,0,0,213,0,0,0.9953051643192489
81,9,0,0,0,0,213,0,0,0.9953051643192489
82,9,0,0,0,0,213,0,0,0.9953051643192489
83,9,0,0,0,0,213,0,0,0.9953051643192489
84,9,0,0,0,0,213,0,0,0.9953051643192489
85,9,0,0,0,0,213,0,0,0.9953051643192489
86,9,0,0,0,0,213,0,0,0.9953051643192489
87,9,0,0,0,0,213,0,0,0.9953051643192489
88,9,0,0,0,0,213,0,0,0.9953051643192489
89,9,0,0,0,0,213,0,0,0.9953051643192489
90,9,0,0,0,0,213,0,0,0.9953051643192489
91,9,0,0,0,0,213,0,0,0.9953051643192489
92,9,0,0,0,0,213,0,0,0.9953051643192489
93,9,0,0,0,0,213,0,0,0.9953051643192489
94,9,0,0,0,0,213,0,0,0.9953051643192489
95,9,0,0,0,0,213,0,0,0.9953051643192489
96,9,0,0,0,0,213,0,0,0.9953051643192489
97,9,0,0,0,0,213,0,0,0.9953051643192489
98,9,0,0,0,0,213,0,0,0.9953051643192489
99,9,0,0,0,0,213,0,0,0.9953051643192489
