Day,Suceptible,Exposed,Infected_asymptomatic,Infected_presymptomatic,Infected_symptomatic,Recovered,Hospitalized,Death,R_null
0.0,221.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,220.22,0.78,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,219.53,1.47,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3.0,218.78,2.22,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4.0,218.27,1.95,0.36,0.42,1.0,0.0,0.0,0.0,0.0
5.0,217.41,2.12,0.62,0.85,1.0,0.0,0.0,0.0,0.0
6.0,216.2,2.58,0.89,1.33,1.0,0.0,0.0,0.0,0.0
7.0,214.72,3.55,1.11,1.62,1.0,0.0,0.0,0.0,0.0
8.0,213.22,4.19,1.56,1.61,0.42,1.0,0.0,0.0,4.66
9.0,211.7,4.5,2.16,1.79,0.85,1.0,0.0,0.0,4.66
10.0,210.19,4.53,2.65,2.3,1.33,1.0,0.0,0.0,4.66
11.0,207.78,5.44,2.87,2.93,1.62,1.36,0.0,0.0,3.861666666666667
12.0,205.05,6.65,3.18,3.47,2.03,1.62,0.0,0.0,3.3325
13.0,202.15,8.04,3.57,3.71,2.22,2.31,0.0,0.0,3.0904999999999996
14.0,199.45,8.33,4.36,4.12,2.78,2.96,0.0,0.0,2.915452380952382
15.0,196.42,8.63,4.96,4.88,3.22,3.89,0.0,0.0,2.8363167388167403
16.0,192.78,9.37,5.58,5.61,3.88,4.78,0.0,0.0,2.6482730880230876
17.0,188.77,10.68,6.18,6.37,4.32,5.68,0.0,0.0,2.5221161616161623
18.0,184.39,12.03,6.89,6.71,5.11,6.87,0.0,0.0,2.4320050088800094
19.0,179.45,13.33,7.89,7.1,5.8,8.43,0.0,0.0,2.4621310348148584
20.0,174.58,14.19,8.89,7.77,6.56,10.01,0.0,0.0,2.421204869103765
21.0,169.7,14.69,9.71,8.71,7.22,11.97,0.0,0.0,2.27560254764081
22.0,164.25,15.2,10.63,9.94,8.11,13.87,0.0,0.0,2.1478229555924404
23.0,158.34,16.24,11.52,10.63,8.78,16.49,0.0,0.0,2.0656896235440043
24.0,151.85,17.85,12.32,11.27,9.45,19.26,0.0,0.0,2.0382019021078874
25.0,145.72,18.53,13.28,11.92,10.32,22.23,0.0,0.0,1.9745733314022726
26.0,139.09,19.25,14.01,12.56,11.68,25.41,0.0,0.0,1.9157967948832888
27.0,132.21,19.64,15.01,13.63,12.7,28.81,0.0,0.0,1.8737187767951087
28.0,125.49,20.23,15.73,14.22,13.62,32.71,0.0,0.0,1.8246765690302726
29.0,118.8,20.29,16.37,15.04,14.47,37.03,0.0,0.0,1.7744005723296863
30.0,111.66,20.55,16.9,15.67,15.53,41.69,0.0,0.0,1.7378592607187004
31.0,104.81,20.68,17.68,15.89,16.39,46.55,0.0,0.0,1.7172977325169956
32.0,98.57,20.23,18.01,16.42,17.21,51.56,0.0,0.0,1.6847448449254216
33.0,92.32,19.34,18.73,16.52,18.24,56.85,0.0,0.0,1.6355369227449421
34.0,86.54,18.27,18.65,16.55,19.28,62.71,0.0,0.0,1.587513803604647
35.0,81.01,17.56,18.48,16.36,19.72,68.87,0.0,0.0,1.5594612800650012
36.0,75.57,16.75,18.34,16.03,20.0,75.31,0.0,0.0,1.5093919587280775
37.0,70.8,15.74,17.82,15.57,20.54,81.53,0.0,0.0,1.4639763894470195
38.0,65.86,15.15,17.47,14.51,20.79,88.22,0.0,0.0,1.429072591083123
39.0,61.76,13.81,17.19,13.79,20.41,95.04,0.0,0.0,1.3904124164757254
40.0,58.1,12.7,15.96,12.99,20.14,102.11,0.0,0.0,1.3455951228234173
41.0,54.51,11.35,15.26,12.39,19.69,108.8,0.0,0.0,1.312417198661372
42.0,51.13,10.63,14.53,11.63,18.78,115.3,0.0,0.0,1.2768410454178252
43.0,48.27,9.83,13.58,10.63,17.65,122.04,0.0,0.0,1.243489117679263
44.0,45.82,8.69,12.91,9.79,16.77,128.02,0.0,0.0,1.2162316548924703
45.0,43.56,7.57,11.92,8.78,16.05,134.12,0.0,0.0,1.1873020129252878
46.0,41.51,6.76,10.77,8.04,14.84,140.08,0.0,0.0,1.1559269388601243
47.0,39.88,5.94,9.91,7.42,13.77,145.08,0.0,0.0,1.1338152014438132
48.0,38.41,5.15,8.98,6.59,12.77,150.1,0.0,0.0,1.1104616436173709
49.0,37.04,4.47,8.07,5.85,11.84,154.73,0.0,0.0,1.0932681507746496
50.0,35.8,4.08,7.21,5.11,10.49,159.31,0.0,0.0,1.0740091311770912
51.0,34.78,3.63,6.3,4.52,9.56,163.21,0.0,0.0,1.0554060325684234
52.0,33.77,3.27,5.5,4.05,8.73,166.68,0.0,0.0,1.0393880761697123
53.0,33.02,2.78,4.87,3.46,7.9,169.97,0.0,0.0,1.0272362592230018
54.0,32.31,2.47,4.39,3.06,6.82,172.95,0.0,0.0,1.0181134152849403
55.0,31.79,1.98,3.88,2.7,6.04,175.61,0.0,0.0,1.0075176735793783
56.0,31.22,1.8,3.4,2.35,5.36,177.87,0.0,0.0,0.9987805737981335
57.0,30.84,1.47,3.02,2.06,4.77,179.84,0.0,0.0,0.9905824953584205
58.0,30.38,1.41,2.64,1.85,4.03,181.69,0.0,0.0,0.9868727407406997
59.0,30.07,1.15,2.29,1.67,3.63,183.19,0.0,0.0,0.9813649625646758
60.0,29.72,1.12,1.92,1.41,3.19,184.64,0.0,0.0,0.9774151516705593
61.0,29.4,0.98,1.57,1.34,2.78,185.93,0.0,0.0,0.9728874456268087
62.0,29.12,0.95,1.23,1.19,2.42,187.09,0.0,0.0,0.9735286119027114
63.0,28.94,0.78,1.09,1.03,2.24,187.92,0.0,0.0,0.9706971315905127
64.0,28.73,0.67,0.97,0.96,1.9,188.77,0.0,0.0,0.9673412393148482
65.0,28.48,0.64,0.92,0.77,1.77,189.42,0.0,0.0,0.9650682104446383
66.0,28.31,0.63,0.82,0.66,1.55,190.03,0.0,0.0,0.9643822997858794
67.0,28.14,0.59,0.77,0.54,1.42,190.54,0.0,0.0,0.9619582545584008
68.0,28.03,0.45,0.79,0.51,1.19,191.03,0.0,0.0,0.9614935175025512
69.0,27.91,0.4,0.76,0.44,1.13,191.36,0.0,0.0,0.9595280366728602
70.0,27.73,0.41,0.72,0.43,0.87,191.84,0.0,0.0,0.9586778640882265
71.0,27.7,0.33,0.61,0.38,0.77,192.21,0.0,0.0,0.957617470362558
72.0,27.58,0.33,0.57,0.3,0.67,192.55,0.0,0.0,0.9544110214627873
73.0,27.48,0.25,0.57,0.3,0.61,192.79,0.0,0.0,0.9525889211158339
74.0,27.37,0.33,0.49,0.22,0.53,193.06,0.0,0.0,0.9527337302624006
75.0,27.32,0.26,0.41,0.24,0.49,193.28,0.0,0.0,0.9503836369277318
76.0,27.24,0.24,0.38,0.25,0.43,193.46,0.0,0.0,0.9486467334763247
77.0,27.17,0.2,0.34,0.22,0.4,193.67,0.0,0.0,0.947285202468698
78.0,27.1,0.22,0.31,0.24,0.31,193.82,0.0,0.0,0.9464750364442461
79.0,27.08,0.16,0.29,0.19,0.3,193.98,0.0,0.0,0.9458110091302088
80.0,27.06,0.11,0.22,0.19,0.3,194.12,0.0,0.0,0.9448843951363415
81.0,27.05,0.05,0.24,0.15,0.32,194.19,0.0,0.0,0.9443738453765788
82.0,27.02,0.06,0.21,0.13,0.25,194.33,0.0,0.0,0.9437046252274978
83.0,27.0,0.06,0.18,0.11,0.27,194.38,0.0,0.0,0.9433807987694607
84.0,26.99,0.06,0.14,0.06,0.25,194.5,0.0,0.0,0.9430020789179975
85.0,26.98,0.04,0.13,0.05,0.22,194.58,0.0,0.0,0.9424907194322789
86.0,26.98,0.02,0.09,0.05,0.16,194.7,0.0,0.0,0.9419181487373096
87.0,26.98,0.01,0.08,0.05,0.14,194.74,0.0,0.0,0.9417291239685467
88.0,26.97,0.01,0.05,0.04,0.12,194.81,0.0,0.0,0.9413115266957126
89.0,26.96,0.02,0.04,0.02,0.08,194.88,0.0,0.0,0.9409841700226939
90.0,26.96,0.02,0.03,0.01,0.06,194.92,0.0,0.0,0.9408721266782264
91.0,26.96,0.01,0.04,0.0,0.06,194.93,0.0,0.0,0.9408195706612034
92.0,26.96,0.0,0.04,0.0,0.05,194.95,0.0,0.0,0.9407208138733939
93.0,26.95,0.01,0.03,0.0,0.04,194.97,0.0,0.0,0.9406183113108298
94.0,26.95,0.01,0.03,0.0,0.02,194.99,0.0,0.0,0.9405178285031931
95.0,26.95,0.01,0.02,0.0,0.01,195.01,0.0,0.0,0.9404683259435486
96.0,26.95,0.0,0.03,0.0,0.0,195.02,0.0,0.0,0.9404193063357055
97.0,26.95,0.0,0.03,0.0,0.0,195.02,0.0,0.0,0.9404193063357055
98.0,26.95,0.0,0.02,0.0,0.0,195.03,0.0,0.0,0.940370762646385
99.0,26.95,0.0,0.01,0.0,0.0,195.04,0.0,0.0,0.940370762646385
