Day,Suceptible,Exposed,Infected_asymptomatic,Infected_presymptomatic,Infected_symptomatic,Recovered,Hospitalized,Death,R_null
0,221,0,0,1,0,0,0,0,0
1,221,0,0,1,0,0,0,0,0
2,220,1,0,1,0,0,0,0,0
3,219,2,0,0,1,0,0,0,0
4,219,2,0,0,1,0,0,0,0
5,219,1,0,1,1,0,0,0,0
6,218,1,0,2,1,0,0,0,0
7,218,1,0,2,1,0,0,0,0
8,216,3,0,2,0,1,0,0,4.0
9,213,5,0,2,1,1,0,0,4.0
10,213,5,0,1,2,1,0,0,4.0
11,211,5,0,3,2,1,0,0,4.0
12,210,3,1,5,2,1,0,0,4.0
13,207,6,1,4,3,1,0,0,4.0
14,205,6,1,6,2,2,0,0,2.0
15,200,10,1,5,3,3,0,0,3.0
16,197,10,1,6,5,3,0,0,3.0
17,196,9,3,6,5,3,0,0,3.0
18,193,7,3,9,6,4,0,0,2.5
19,183,14,3,10,7,5,0,0,2.0
20,175,21,3,8,8,7,0,0,2.142857142857143
21,167,26,4,10,6,9,0,0,2.7777777777777777
22,163,20,8,11,11,9,0,0,2.7777777777777777
23,158,17,11,14,11,11,0,0,2.727272727272727
24,150,17,13,17,11,14,0,0,2.2857142857142856
25,141,22,13,19,10,17,0,0,2.176470588235294
26,128,30,15,15,16,18,0,0,2.111111111111111
27,116,34,21,12,16,23,0,0,2.9130434782608696
28,112,29,27,10,18,26,0,0,2.8846153846153846
29,105,23,28,14,21,31,0,0,2.6129032258064515
30,97,19,28,21,21,36,0,0,2.25
31,91,21,25,22,17,46,0,0,2.0869565217391304
32,85,20,27,25,14,51,0,0,2.0588235294117645
33,78,19,28,21,18,58,0,0,1.8448275862068966
34,72,19,26,14,23,68,0,0,1.7352941176470589
35,69,16,23,13,24,77,0,0,1.5584415584415585
36,67,11,20,13,27,84,0,0,1.4523809523809523
37,66,6,18,14,29,89,0,0,1.4157303370786516
38,59,10,18,14,23,98,0,0,1.4081632653061225
39,52,15,18,12,16,109,0,0,1.3577981651376148
40,47,19,14,8,18,116,0,0,1.3103448275862069
41,44,15,15,5,18,125,0,0,1.272
42,44,8,13,8,16,133,0,0,1.218045112781955
43,41,6,15,9,14,137,0,0,1.1897810218978102
44,37,7,15,10,13,140,0,0,1.1857142857142857
45,35,9,14,8,10,146,0,0,1.1849315068493151
46,34,7,13,5,10,153,0,0,1.1895424836601307
47,33,4,14,7,9,155,0,0,1.1806451612903226
48,31,4,9,7,11,160,0,0,1.14375
49,28,6,7,8,10,163,0,0,1.1226993865030674
50,26,7,4,6,10,169,0,0,1.0946745562130178
51,26,5,4,4,8,175,0,0,1.0914285714285714
52,26,2,4,5,9,176,0,0,1.0852272727272727
53,24,2,3,6,8,179,0,0,1.0726256983240223
54,24,2,2,6,8,180,0,0,1.0666666666666667
55,22,4,2,5,7,182,0,0,1.065934065934066
56,22,2,3,3,7,185,0,0,1.0594594594594595
57,20,4,2,1,7,188,0,0,1.0425531914893618
58,19,3,2,2,6,190,0,0,1.0368421052631578
59,18,4,2,2,6,190,0,0,1.0368421052631578
60,18,2,4,1,6,191,0,0,1.031413612565445
61,18,1,4,2,3,194,0,0,1.0360824742268042
62,18,0,5,1,2,196,0,0,1.0255102040816326
63,18,0,4,1,2,197,0,0,1.0253807106598984
64,18,0,4,1,2,197,0,0,1.0253807106598984
65,18,0,3,0,2,199,0,0,1.020100502512563
66,18,0,3,0,2,199,0,0,1.020100502512563
67,18,0,1,0,1,202,0,0,1.004950495049505
68,18,0,1,0,1,202,0,0,1.004950495049505
69,18,0,0,0,1,203,0,0,1.0
70,18,0,0,0,0,204,0,0,0.9950980392156863
71,18,0,0,0,0,204,0,0,0.9950980392156863
72,18,0,0,0,0,204,0,0,0.9950980392156863
73,18,0,0,0,0,204,0,0,0.9950980392156863
74,18,0,0,0,0,204,0,0,0.9950980392156863
75,18,0,0,0,0,204,0,0,0.9950980392156863
76,18,0,0,0,0,204,0,0,0.9950980392156863
77,18,0,0,0,0,204,0,0,0.9950980392156863
78,18,0,0,0,0,204,0,0,0.9950980392156863
79,18,0,0,0,0,204,0,0,0.9950980392156863
80,18,0,0,0,0,204,0,0,0.9950980392156863
81,18,0,0,0,0,204,0,0,0.9950980392156863
82,18,0,0,0,0,204,0,0,0.9950980392156863
83,18,0,0,0,0,204,0,0,0.9950980392156863
84,18,0,0,0,0,204,0,0,0.9950980392156863
85,18,0,0,0,0,204,0,0,0.9950980392156863
86,18,0,0,0,0,204,0,0,0.9950980392156863
87,18,0,0,0,0,204,0,0,0.9950980392156863
88,18,0,0,0,0,204,0,0,0.9950980392156863
89,18,0,0,0,0,204,0,0,0.9950980392156863
90,18,0,0,0,0,204,0,0,0.9950980392156863
91,18,0,0,0,0,204,0,0,0.9950980392156863
92,18,0,0,0,0,204,0,0,0.9950980392156863
93,18,0,0,0,0,204,0,0,0.9950980392156863
94,18,0,0,0,0,204,0,0,0.9950980392156863
95,18,0,0,0,0,204,0,0,0.9950980392156863
96,18,0,0,0,0,204,0,0,0.9950980392156863
97,18,0,0,0,0,204,0,0,0.9950980392156863
98,18,0,0,0,0,204,0,0,0.9950980392156863
99,18,0,0,0,0,204,0,0,0.9950980392156863
