Day,Suceptible,Exposed,Infected_asymptomatic,Infected_presymptomatic,Infected_symptomatic,Recovered,Hospitalized,Death,R_null
0.0,221.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,220.4,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,219.8,1.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3.0,219.26,1.74,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4.0,218.83,1.57,0.24,0.36,1.0,0.0,0.0,0.0,0.0
5.0,218.07,1.73,0.39,0.81,1.0,0.0,0.0,0.0,0.0
6.0,217.13,2.13,0.56,1.18,1.0,0.0,0.0,0.0,0.0
7.0,216.16,2.67,0.82,1.35,1.0,0.0,0.0,0.0,0.0
8.0,214.97,3.1,1.09,1.48,0.36,1.0,0.0,0.0,3.57
9.0,213.95,3.18,1.54,1.52,0.81,1.0,0.0,0.0,3.57
10.0,212.67,3.49,1.98,1.68,1.18,1.0,0.0,0.0,3.57
11.0,211.17,3.8,2.12,2.32,1.35,1.24,0.0,0.0,3.181666666666666
12.0,209.26,4.69,2.35,2.47,1.84,1.39,0.0,0.0,2.9349999999999996
13.0,207.24,5.43,2.59,2.85,1.97,1.92,0.0,0.0,2.8355
14.0,204.9,6.27,2.91,3.24,2.05,2.63,0.0,0.0,2.6093333333333337
15.0,202.75,6.51,3.41,3.57,2.49,3.27,0.0,0.0,2.48284126984127
16.0,200.27,6.97,3.76,4.15,2.96,3.89,0.0,0.0,2.273593795093795
17.0,197.41,7.49,4.24,4.7,3.34,4.82,0.0,0.0,2.1531104320516077
18.0,194.03,8.72,4.62,5.17,3.77,5.69,0.0,0.0,2.1095416863837912
19.0,190.18,10.09,5.28,5.47,4.38,6.6,0.0,0.0,2.107134788843766
20.0,186.69,10.72,6.08,5.9,4.79,7.82,0.0,0.0,2.1671379340193613
21.0,182.91,11.12,6.76,6.6,5.57,9.04,0.0,0.0,2.1465505294878295
22.0,178.58,11.6,7.48,7.57,6.09,10.68,0.0,0.0,2.0384485468773974
23.0,174.14,12.55,8.05,8.25,6.61,12.4,0.0,0.0,1.9716897697746307
24.0,169.69,13.22,8.6,8.91,7.12,14.46,0.0,0.0,1.9139836219864645
25.0,164.66,13.92,9.56,9.4,8.02,16.44,0.0,0.0,1.8820507665793524
26.0,159.44,14.7,10.37,9.63,8.96,18.9,0.0,0.0,1.8459468135688075
27.0,154.26,15.43,11.04,10.08,9.69,21.5,0.0,0.0,1.8299499974392135
28.0,149.09,15.57,11.68,10.9,10.56,24.2,0.0,0.0,1.7902605831695773
29.0,143.76,15.68,12.4,11.3,11.52,27.34,0.0,0.0,1.7518446268954124
30.0,138.89,15.37,13.09,11.83,11.99,30.83,0.0,0.0,1.7180657187272308
31.0,133.48,15.61,13.64,12.41,12.2,34.66,0.0,0.0,1.7110228562809533
32.0,127.83,15.93,13.97,12.56,13.21,38.5,0.0,0.0,1.6649242380032367
33.0,122.0,16.89,13.87,12.67,13.91,42.66,0.0,0.0,1.627581043338573
34.0,116.83,16.65,14.13,12.82,14.42,47.15,0.0,0.0,1.5962994972805722
35.0,111.59,16.24,14.42,13.13,14.98,51.64,0.0,0.0,1.5593472066809781
36.0,106.59,15.41,14.8,13.09,15.69,56.42,0.0,0.0,1.5245735202533752
37.0,101.82,15.01,14.67,13.21,15.68,61.61,0.0,0.0,1.5093431912336879
38.0,97.06,14.53,14.76,13.07,15.94,66.64,0.0,0.0,1.4642848930357726
39.0,92.37,14.22,14.66,12.66,16.28,71.81,0.0,0.0,1.433760393132119
40.0,87.65,14.17,14.74,12.36,16.37,76.71,0.0,0.0,1.4118440542840558
41.0,83.81,13.25,14.75,11.73,16.33,82.13,0.0,0.0,1.3829871944849987
42.0,80.06,12.31,14.25,11.6,16.34,87.44,0.0,0.0,1.3578665891540413
43.0,76.62,11.03,13.72,11.21,16.12,93.3,0.0,0.0,1.3255387420001443
44.0,73.01,10.8,13.46,10.44,15.6,98.69,0.0,0.0,1.2983705788552369
45.0,69.75,10.31,12.79,10.14,14.97,104.04,0.0,0.0,1.2735129141070414
46.0,67.07,9.55,12.13,9.29,14.73,109.23,0.0,0.0,1.2508594239512099
47.0,64.48,8.53,11.64,8.9,14.26,114.19,0.0,0.0,1.224956460724864
48.0,62.09,7.66,10.75,8.73,13.38,119.39,0.0,0.0,1.2038904050452515
49.0,59.62,7.45,10.05,8.11,12.75,124.02,0.0,0.0,1.1877226880233562
50.0,57.22,7.26,9.06,7.48,12.29,128.69,0.0,0.0,1.1663910048316195
51.0,55.32,6.77,8.36,6.63,11.56,133.36,0.0,0.0,1.149122062126791
52.0,53.66,5.96,7.9,6.12,10.9,137.46,0.0,0.0,1.1261566840149455
53.0,52.3,4.92,7.39,6.05,10.42,140.92,0.0,0.0,1.1086815035709876
54.0,50.87,4.45,6.79,5.69,9.63,144.57,0.0,0.0,1.094506446941991
55.0,49.62,4.04,6.24,5.22,8.9,147.98,0.0,0.0,1.0795648431246525
56.0,48.26,4.04,5.77,4.57,8.12,151.24,0.0,0.0,1.0680397808045619
57.0,47.36,3.51,5.18,3.9,7.74,154.31,0.0,0.0,1.05407385908264
58.0,46.45,3.17,4.74,3.46,7.21,156.97,0.0,0.0,1.0434146354876828
59.0,45.56,2.7,4.32,3.31,6.64,159.47,0.0,0.0,1.0326694402162315
60.0,44.72,2.64,3.92,2.99,6.06,161.67,0.0,0.0,1.0244970698159335
61.0,43.97,2.48,3.55,2.58,5.52,163.9,0.0,0.0,1.0167912796222334
62.0,43.39,2.17,3.27,2.32,4.62,166.23,0.0,0.0,1.0092194647869857
63.0,42.83,1.89,3.02,2.09,4.26,167.91,0.0,0.0,1.0028963605029098
64.0,42.4,1.57,2.83,2.03,3.83,169.34,0.0,0.0,0.9995078038870565
65.0,41.98,1.41,2.58,1.79,3.53,170.71,0.0,0.0,0.9932142068110106
66.0,41.64,1.19,2.22,1.69,3.04,172.22,0.0,0.0,0.9878386018985271
67.0,41.29,1.11,2.03,1.36,2.89,173.32,0.0,0.0,0.9842860715229789
68.0,41.04,0.94,1.84,1.14,2.55,174.49,0.0,0.0,0.9801401297859789
69.0,40.84,0.8,1.48,1.11,2.33,175.44,0.0,0.0,0.9753270678671849
70.0,40.58,0.71,1.36,0.95,2.15,176.25,0.0,0.0,0.9731495756245465
71.0,40.33,0.71,1.09,0.94,1.93,177.0,0.0,0.0,0.9708046826019913
72.0,40.1,0.74,0.9,0.81,1.6,177.85,0.0,0.0,0.9677812340885921
73.0,39.92,0.66,0.8,0.7,1.41,178.51,0.0,0.0,0.9650184676046514
74.0,39.75,0.58,0.73,0.63,1.31,179.0,0.0,0.0,0.9631427277444403
75.0,39.69,0.41,0.62,0.56,1.18,179.54,0.0,0.0,0.9618060105143844
76.0,39.6,0.32,0.61,0.57,1.05,179.85,0.0,0.0,0.9603051986683756
77.0,39.5,0.25,0.55,0.49,0.97,180.24,0.0,0.0,0.9597282475140193
78.0,39.39,0.3,0.58,0.37,0.83,180.53,0.0,0.0,0.9590005707942235
79.0,39.33,0.27,0.54,0.25,0.79,180.82,0.0,0.0,0.9579943853953822
80.0,39.31,0.19,0.49,0.18,0.68,181.15,0.0,0.0,0.956757023987798
81.0,39.28,0.11,0.44,0.14,0.65,181.38,0.0,0.0,0.9559229774356612
82.0,39.24,0.09,0.39,0.17,0.5,181.61,0.0,0.0,0.9552946057759361
83.0,39.18,0.13,0.33,0.15,0.41,181.8,0.0,0.0,0.9545903371885918
84.0,39.16,0.12,0.25,0.12,0.3,182.05,0.0,0.0,0.9535839109082427
85.0,39.14,0.1,0.22,0.1,0.22,182.22,0.0,0.0,0.9527235206419995
86.0,39.12,0.06,0.18,0.11,0.18,182.35,0.0,0.0,0.9522288890197939
87.0,39.04,0.12,0.13,0.11,0.19,182.41,0.0,0.0,0.9518215773737085
88.0,39.0,0.14,0.06,0.11,0.17,182.52,0.0,0.0,0.9513187940087797
89.0,38.99,0.13,0.06,0.09,0.14,182.59,0.0,0.0,0.9512939605969296
90.0,38.98,0.06,0.1,0.08,0.15,182.63,0.0,0.0,0.9513371328008549
91.0,38.96,0.04,0.1,0.09,0.13,182.68,0.0,0.0,0.951264635570121
92.0,38.94,0.05,0.08,0.08,0.13,182.72,0.0,0.0,0.9513924012009292
93.0,38.94,0.04,0.07,0.09,0.11,182.75,0.0,0.0,0.9513213413600695
94.0,38.92,0.04,0.07,0.07,0.13,182.77,0.0,0.0,0.9511985808654267
95.0,38.9,0.04,0.07,0.06,0.11,182.82,0.0,0.0,0.9509569103844422
96.0,38.89,0.05,0.05,0.05,0.1,182.86,0.0,0.0,0.9508141392482935
97.0,38.88,0.04,0.01,0.06,0.09,182.92,0.0,0.0,0.9506085488793191
98.0,38.85,0.05,0.01,0.05,0.11,182.93,0.0,0.0,0.950605282506626
99.0,38.84,0.05,0.01,0.04,0.09,182.97,0.0,0.0,0.9504360293216094
