Day,Suceptible,Exposed,Infected_asymptomatic,Infected_presymptomatic,Infected_symptomatic,Recovered,Hospitalized,Death,R_null
0,221,0,0,1,0,0,0,0,0
1,220,1,0,1,0,0,0,0,0
2,220,1,0,1,0,0,0,0,0
3,220,1,0,0,1,0,0,0,0
4,220,0,1,0,1,0,0,0,0
5,220,0,1,0,1,0,0,0,0
6,220,0,1,0,1,0,0,0,0
7,220,0,1,0,1,0,0,0,0
8,219,1,1,0,0,1,0,0,2.0
9,219,1,1,0,0,1,0,0,2.0
10,219,1,1,0,0,1,0,0,2.0
11,219,0,0,1,0,2,0,0,1.0
12,218,1,0,1,0,2,0,0,1.0
13,216,3,0,1,0,2,0,0,1.0
14,216,3,0,1,0,2,0,0,1.0
15,215,3,0,1,1,2,0,0,1.0
16,214,2,0,3,1,2,0,0,1.0
17,211,5,0,3,1,2,0,0,1.0
18,208,7,1,3,1,2,0,0,1.0
19,205,9,1,3,2,2,0,0,1.0
20,199,12,3,2,3,3,0,0,2.6666666666666665
21,196,12,5,3,3,3,0,0,2.6666666666666665
22,193,12,7,4,3,3,0,0,2.6666666666666665
23,187,12,7,9,4,3,0,0,2.6666666666666665
24,175,21,8,10,4,4,0,0,2.75
25,170,23,7,12,3,7,0,0,3.2857142857142856
26,163,24,10,14,4,7,0,0,3.2857142857142856
27,160,15,15,13,10,9,0,0,2.7777777777777777
28,153,17,14,15,11,12,0,0,2.5
29,143,20,17,14,13,15,0,0,2.6
30,137,23,20,11,15,16,0,0,2.6875
31,131,22,21,11,19,18,0,0,2.5
32,120,23,23,15,17,24,0,0,2.5416666666666665
33,114,23,21,18,17,29,0,0,2.3793103448275863
34,100,31,16,22,14,39,0,0,1.8974358974358974
35,94,26,18,25,16,43,0,0,1.8604651162790697
36,87,27,16,20,19,53,0,0,1.6981132075471699
37,79,21,18,24,20,60,0,0,1.75
38,72,22,16,26,22,64,0,0,1.78125
39,65,22,16,23,30,66,0,0,1.7424242424242424
40,59,20,19,24,28,72,0,0,1.7361111111111112
41,49,23,19,20,29,82,0,0,1.6951219512195121
42,42,23,19,18,30,90,0,0,1.6111111111111112
43,39,20,21,14,31,97,0,0,1.5051546391752577
44,36,13,21,15,27,110,0,0,1.4363636363636363
45,31,11,23,15,29,113,0,0,1.407079646017699
46,26,13,21,14,24,124,0,0,1.3709677419354838
47,25,11,18,15,19,134,0,0,1.328358208955224
48,22,9,16,15,19,141,0,0,1.2907801418439717
49,17,9,15,13,20,148,0,0,1.25
50,17,8,10,11,18,158,0,0,1.1835443037974684
51,16,6,6,11,16,167,0,0,1.155688622754491
52,16,1,7,8,20,170,0,0,1.1411764705882352
53,16,1,7,5,18,175,0,0,1.1314285714285715
54,13,3,6,5,14,181,0,0,1.1049723756906078
55,12,4,6,3,13,184,0,0,1.0978260869565217
56,12,4,4,1,13,188,0,0,1.0851063829787233
57,11,2,6,2,8,193,0,0,1.077720207253886
58,10,2,5,2,6,197,0,0,1.0609137055837563
59,9,3,2,2,5,201,0,0,1.044776119402985
60,9,2,3,2,3,203,0,0,1.0344827586206897
61,9,1,4,1,2,205,0,0,1.0292682926829269
62,8,1,4,1,3,205,0,0,1.0292682926829269
63,8,1,4,1,2,206,0,0,1.0242718446601942
64,8,1,2,1,2,208,0,0,1.0192307692307692
65,8,0,2,2,2,208,0,0,1.0192307692307692
66,8,0,2,1,2,209,0,0,1.014354066985646
67,8,0,1,1,1,211,0,0,1.009478672985782
68,8,0,0,1,1,212,0,0,1.0047169811320755
69,8,0,0,0,2,212,0,0,1.0047169811320755
70,8,0,0,0,2,212,0,0,1.0047169811320755
71,8,0,0,0,1,213,0,0,1.0
72,8,0,0,0,1,213,0,0,1.0
73,8,0,0,0,1,213,0,0,1.0
74,7,1,0,0,0,214,0,0,1.0
75,7,1,0,0,0,214,0,0,1.0
76,7,1,0,0,0,214,0,0,1.0
77,7,0,0,1,0,214,0,0,1.0
78,7,0,0,1,0,214,0,0,1.0
79,7,0,0,1,0,214,0,0,1.0
80,7,0,0,1,0,214,0,0,1.0
81,7,0,0,0,1,214,0,0,1.0
82,7,0,0,0,1,214,0,0,1.0
83,7,0,0,0,1,214,0,0,1.0
84,7,0,0,0,1,214,0,0,1.0
85,7,0,0,0,1,214,0,0,1.0
86,7,0,0,0,0,215,0,0,0.9953488372093023
87,7,0,0,0,0,215,0,0,0.9953488372093023
88,7,0,0,0,0,215,0,0,0.9953488372093023
89,7,0,0,0,0,215,0,0,0.9953488372093023
90,7,0,0,0,0,215,0,0,0.9953488372093023
91,7,0,0,0,0,215,0,0,0.9953488372093023
92,7,0,0,0,0,215,0,0,0.9953488372093023
93,7,0,0,0,0,215,0,0,0.9953488372093023
94,7,0,0,0,0,215,0,0,0.9953488372093023
95,7,0,0,0,0,215,0,0,0.9953488372093023
96,7,0,0,0,0,215,0,0,0.9953488372093023
97,7,0,0,0,0,215,0,0,0.9953488372093023
98,7,0,0,0,0,215,0,0,0.9953488372093023
99,7,0,0,0,0,215,0,0,0.9953488372093023
