Day,Suceptible,Exposed,Infected_asymptomatic,Infected_presymptomatic,Infected_symptomatic,Recovered,Hospitalized,Death,R_null
0,221,0,0,1,0,0,0,0,0
1,221,0,0,1,0,0,0,0,0
2,220,1,0,1,0,0,0,0,0
3,220,1,0,0,1,0,0,0,0
4,220,1,0,0,1,0,0,0,0
5,219,1,0,1,1,0,0,0,0
6,219,1,0,1,1,0,0,0,0
7,218,2,0,1,1,0,0,0,0
8,218,1,1,1,0,1,0,0,3.0
9,218,1,1,0,1,1,0,0,3.0
10,218,0,1,1,1,1,0,0,3.0
11,217,1,1,1,1,1,0,0,3.0
12,217,1,1,1,1,1,0,0,3.0
13,217,1,1,1,1,1,0,0,3.0
14,217,0,1,1,1,2,0,0,1.5
15,215,2,0,1,1,3,0,0,1.0
16,215,2,0,1,1,3,0,0,1.0
17,214,3,0,1,1,3,0,0,1.0
18,212,3,1,1,2,3,0,0,1.0
19,212,3,1,1,1,4,0,0,1.0
20,211,3,1,2,1,4,0,0,1.0
21,210,2,3,2,1,4,0,0,1.0
22,206,6,3,1,2,4,0,0,1.0
23,205,6,3,2,1,5,0,0,2.2
24,204,6,3,2,2,5,0,0,2.2
25,203,3,3,5,2,6,0,0,2.0
26,202,3,4,5,2,6,0,0,2.0
27,194,10,4,5,2,7,0,0,2.142857142857143
28,192,11,2,5,3,9,0,0,1.6666666666666667
29,187,15,3,2,5,10,0,0,1.8
30,186,8,6,7,5,10,0,0,1.8
31,180,12,6,8,6,10,0,0,1.8
32,171,16,5,12,6,12,0,0,1.6666666666666667
33,164,22,5,12,5,14,0,0,1.8571428571428572
34,155,25,7,11,7,17,0,0,1.8235294117647058
35,150,21,11,14,9,17,0,0,1.8235294117647058
36,141,23,12,14,13,19,0,0,2.1578947368421053
37,129,26,11,21,12,23,0,0,2.0869565217391304
38,119,31,13,20,16,23,0,0,2.0869565217391304
39,111,30,16,21,16,28,0,0,2.5
40,96,33,19,24,19,31,0,0,2.4516129032258065
41,87,32,21,23,21,38,0,0,2.5526315789473686
42,84,27,17,28,24,42,0,0,2.3333333333333335
43,80,16,19,33,26,48,0,0,2.1875
44,75,12,19,32,29,55,0,0,2.0545454545454547
45,66,18,19,27,30,62,0,0,1.9838709677419355
46,56,24,16,23,31,72,0,0,1.8333333333333333
47,55,20,13,16,39,79,0,0,1.7215189873417722
48,50,16,14,13,40,89,0,0,1.5730337078651686
49,47,9,18,18,33,97,0,0,1.4742268041237114
50,44,11,14,15,31,107,0,0,1.3644859813084111
51,42,8,14,14,27,117,0,0,1.3162393162393162
52,41,6,14,11,20,130,0,0,1.2846153846153847
53,38,6,16,6,19,137,0,0,1.27007299270073
54,36,6,16,6,19,139,0,0,1.2517985611510791
55,34,7,12,3,18,148,0,0,1.1891891891891893
56,33,5,10,3,15,156,0,0,1.1474358974358974
57,33,3,11,3,12,160,0,0,1.125
58,33,1,11,2,7,168,0,0,1.1071428571428572
59,32,1,10,2,6,171,0,0,1.087719298245614
60,32,1,8,1,4,176,0,0,1.0681818181818181
61,32,1,7,0,4,178,0,0,1.0561797752808988
62,31,1,6,1,3,180,0,0,1.0444444444444445
63,31,1,4,1,2,183,0,0,1.0273224043715847
64,31,1,3,1,2,184,0,0,1.0217391304347827
65,31,0,2,1,1,187,0,0,1.0106951871657754
66,31,0,1,0,1,189,0,0,1.0052910052910053
67,31,0,1,0,1,189,0,0,1.0052910052910053
68,31,0,1,0,1,189,0,0,1.0052910052910053
69,31,0,1,0,1,189,0,0,1.0052910052910053
70,31,0,1,0,1,189,0,0,1.0052910052910053
71,31,0,1,0,0,190,0,0,1.0
72,31,0,0,0,0,191,0,0,0.9947643979057592
73,31,0,0,0,0,191,0,0,0.9947643979057592
74,31,0,0,0,0,191,0,0,0.9947643979057592
75,31,0,0,0,0,191,0,0,0.9947643979057592
76,31,0,0,0,0,191,0,0,0.9947643979057592
77,31,0,0,0,0,191,0,0,0.9947643979057592
78,31,0,0,0,0,191,0,0,0.9947643979057592
79,31,0,0,0,0,191,0,0,0.9947643979057592
80,31,0,0,0,0,191,0,0,0.9947643979057592
81,31,0,0,0,0,191,0,0,0.9947643979057592
82,31,0,0,0,0,191,0,0,0.9947643979057592
83,31,0,0,0,0,191,0,0,0.9947643979057592
84,31,0,0,0,0,191,0,0,0.9947643979057592
85,31,0,0,0,0,191,0,0,0.9947643979057592
86,31,0,0,0,0,191,0,0,0.9947643979057592
87,31,0,0,0,0,191,0,0,0.9947643979057592
88,31,0,0,0,0,191,0,0,0.9947643979057592
89,31,0,0,0,0,191,0,0,0.9947643979057592
90,31,0,0,0,0,191,0,0,0.9947643979057592
91,31,0,0,0,0,191,0,0,0.9947643979057592
92,31,0,0,0,0,191,0,0,0.9947643979057592
93,31,0,0,0,0,191,0,0,0.9947643979057592
94,31,0,0,0,0,191,0,0,0.9947643979057592
95,31,0,0,0,0,191,0,0,0.9947643979057592
96,31,0,0,0,0,191,0,0,0.9947643979057592
97,31,0,0,0,0,191,0,0,0.9947643979057592
98,31,0,0,0,0,191,0,0,0.9947643979057592
99,31,0,0,0,0,191,0,0,0.9947643979057592
