Day,Suceptible,Exposed,Infected_asymptomatic,Infected_presymptomatic,Infected_symptomatic,Recovered,Hospitalized,Death,R_null
0,221,0,0,1,0,0,0,0,0
1,221,0,0,1,0,0,0,0,0
2,220,1,0,1,0,0,0,0,0
3,220,1,0,0,1,0,0,0,0
4,220,1,0,0,1,0,0,0,0
5,220,0,0,1,1,0,0,0,0
6,219,1,0,1,1,0,0,0,0
7,217,3,0,1,1,0,0,0,0
8,216,4,0,1,0,1,0,0,3.0
9,214,5,1,0,1,1,0,0,3.0
10,213,4,1,2,1,1,0,0,3.0
11,207,9,1,3,1,1,0,0,3.0
12,207,7,1,5,1,1,0,0,3.0
13,204,9,2,5,1,1,0,0,3.0
14,199,8,5,6,2,2,0,0,4.5
15,194,13,5,5,3,2,0,0,4.5
16,191,13,5,5,5,3,0,0,3.0
17,186,13,6,9,5,3,0,0,3.0
18,175,19,8,9,8,3,0,0,3.0
19,172,19,10,10,6,5,0,0,3.4
20,169,17,11,11,7,7,0,0,3.857142857142857
21,159,16,15,11,9,12,0,0,2.8333333333333335
22,152,20,16,10,12,12,0,0,2.8333333333333335
23,145,24,17,10,10,16,0,0,2.5625
24,133,26,21,12,13,17,0,0,2.411764705882353
25,126,26,22,12,15,21,0,0,2.6666666666666665
26,116,29,24,13,13,27,0,0,2.7037037037037037
27,108,25,29,17,11,32,0,0,2.46875
28,101,25,23,18,15,40,0,0,2.025
29,98,18,25,21,16,44,0,0,2.0454545454545454
30,91,17,28,21,15,50,0,0,1.96
31,79,22,24,22,18,57,0,0,1.7894736842105263
32,70,28,21,19,23,61,0,0,1.721311475409836
33,62,29,19,17,25,70,0,0,1.7142857142857142
34,53,26,15,23,24,81,0,0,1.5555555555555556
35,48,22,17,23,27,85,0,0,1.5647058823529412
36,39,23,17,25,25,93,0,0,1.5483870967741935
37,33,20,18,23,24,104,0,0,1.5
38,30,18,17,19,26,112,0,0,1.4910714285714286
39,25,14,18,21,29,115,0,0,1.4782608695652173
40,22,11,18,20,28,123,0,0,1.4634146341463414
41,15,15,15,20,28,129,0,0,1.441860465116279
42,13,12,13,19,28,137,0,0,1.3868613138686132
43,11,11,10,14,27,149,0,0,1.308724832214765
44,11,4,8,13,25,161,0,0,1.2298136645962734
45,10,3,8,12,23,166,0,0,1.2108433734939759
46,10,1,8,9,24,170,0,0,1.2
47,10,1,6,6,22,177,0,0,1.1694915254237288
48,9,1,6,4,17,185,0,0,1.1297297297297297
49,7,3,5,2,15,190,0,0,1.105263157894737
50,7,3,5,1,13,193,0,0,1.0880829015544042
51,7,2,2,1,9,201,0,0,1.0597014925373134
52,7,0,2,2,7,204,0,0,1.0441176470588236
53,7,0,1,2,4,208,0,0,1.0240384615384615
54,7,0,1,2,2,210,0,0,1.019047619047619
55,7,0,1,2,1,211,0,0,1.014218009478673
56,7,0,1,0,3,211,0,0,1.014218009478673
57,7,0,1,0,2,212,0,0,1.009433962264151
58,7,0,0,0,2,213,0,0,1.0046948356807512
59,7,0,0,0,2,213,0,0,1.0046948356807512
60,7,0,0,0,2,213,0,0,1.0046948356807512
61,7,0,0,0,0,215,0,0,0.9953488372093023
62,7,0,0,0,0,215,0,0,0.9953488372093023
63,7,0,0,0,0,215,0,0,0.9953488372093023
64,7,0,0,0,0,215,0,0,0.9953488372093023
65,7,0,0,0,0,215,0,0,0.9953488372093023
66,7,0,0,0,0,215,0,0,0.9953488372093023
67,7,0,0,0,0,215,0,0,0.9953488372093023
68,7,0,0,0,0,215,0,0,0.9953488372093023
69,7,0,0,0,0,215,0,0,0.9953488372093023
70,7,0,0,0,0,215,0,0,0.9953488372093023
71,7,0,0,0,0,215,0,0,0.9953488372093023
72,7,0,0,0,0,215,0,0,0.9953488372093023
73,7,0,0,0,0,215,0,0,0.9953488372093023
74,7,0,0,0,0,215,0,0,0.9953488372093023
75,7,0,0,0,0,215,0,0,0.9953488372093023
76,7,0,0,0,0,215,0,0,0.9953488372093023
77,7,0,0,0,0,215,0,0,0.9953488372093023
78,7,0,0,0,0,215,0,0,0.9953488372093023
79,7,0,0,0,0,215,0,0,0.9953488372093023
80,7,0,0,0,0,215,0,0,0.9953488372093023
81,7,0,0,0,0,215,0,0,0.9953488372093023
82,7,0,0,0,0,215,0,0,0.9953488372093023
83,7,0,0,0,0,215,0,0,0.9953488372093023
84,7,0,0,0,0,215,0,0,0.9953488372093023
85,7,0,0,0,0,215,0,0,0.9953488372093023
86,7,0,0,0,0,215,0,0,0.9953488372093023
87,7,0,0,0,0,215,0,0,0.9953488372093023
88,7,0,0,0,0,215,0,0,0.9953488372093023
89,7,0,0,0,0,215,0,0,0.9953488372093023
90,7,0,0,0,0,215,0,0,0.9953488372093023
91,7,0,0,0,0,215,0,0,0.9953488372093023
92,7,0,0,0,0,215,0,0,0.9953488372093023
93,7,0,0,0,0,215,0,0,0.9953488372093023
94,7,0,0,0,0,215,0,0,0.9953488372093023
95,7,0,0,0,0,215,0,0,0.9953488372093023
96,7,0,0,0,0,215,0,0,0.9953488372093023
97,7,0,0,0,0,215,0,0,0.9953488372093023
98,7,0,0,0,0,215,0,0,0.9953488372093023
99,7,0,0,0,0,215,0,0,0.9953488372093023
