Day,Suceptible,Exposed,Infected_asymptomatic,Infected_presymptomatic,Infected_symptomatic,Recovered,Hospitalized,Death,R_null
0,221,0,0,1,0,0,0,0,0
1,219,2,0,1,0,0,0,0,0
2,219,2,0,1,0,0,0,0,0
3,219,2,0,0,1,0,0,0,0
4,219,0,1,1,1,0,0,0,0
5,218,1,1,1,1,0,0,0,0
6,217,2,1,1,1,0,0,0,0
7,216,3,1,1,1,0,0,0,0
8,215,3,2,0,1,1,0,0,3.0
9,214,3,3,0,1,1,0,0,3.0
10,213,3,4,0,1,1,0,0,3.0
11,213,2,4,0,1,2,0,0,1.5
12,211,3,4,1,1,2,0,0,1.5
13,209,4,5,1,0,3,0,0,4.0
14,209,4,5,1,0,3,0,0,4.0
15,207,4,5,2,0,4,0,0,3.25
16,206,3,5,2,1,5,0,0,2.6
17,204,5,4,2,1,6,0,0,2.1666666666666665
18,203,4,4,3,1,7,0,0,2.0
19,201,5,5,2,2,7,0,0,2.0
20,200,4,5,2,3,8,0,0,1.75
21,198,5,6,2,2,9,0,0,1.7777777777777777
22,195,6,5,3,3,10,0,0,1.8
23,192,8,5,3,3,11,0,0,1.6363636363636365
24,189,9,5,4,3,12,0,0,1.5833333333333333
25,187,8,6,5,2,14,0,0,1.7142857142857142
26,187,5,6,5,4,15,0,0,1.6
27,185,4,5,8,3,17,0,0,1.6470588235294117
28,177,10,4,8,5,18,0,0,1.5555555555555556
29,172,15,4,7,5,19,0,0,1.736842105263158
30,169,16,4,6,7,20,0,0,1.65
31,164,13,7,8,8,22,0,0,1.8636363636363635
32,160,12,8,8,10,24,0,0,1.75
33,157,12,7,11,8,27,0,0,1.6666666666666667
34,151,13,9,13,8,28,0,0,1.6428571428571428
35,141,19,11,10,11,30,0,0,1.7
36,137,20,12,10,10,33,0,0,1.878787878787879
37,132,19,14,10,11,36,0,0,1.8888888888888888
38,127,14,17,11,14,39,0,0,1.7692307692307692
39,117,20,16,11,15,43,0,0,1.627906976744186
40,107,25,18,12,12,48,0,0,1.625
41,97,30,19,11,13,52,0,0,1.5961538461538463
42,90,27,23,11,14,57,0,0,1.5789473684210527
43,87,20,28,13,13,61,0,0,1.540983606557377
44,78,19,28,17,14,66,0,0,1.5454545454545454
45,71,19,26,18,14,74,0,0,1.472972972972973
46,69,18,26,15,15,79,0,0,1.518987341772152
47,61,17,26,18,15,85,0,0,1.5176470588235293
48,59,12,26,15,20,90,0,0,1.511111111111111
49,56,13,21,13,20,99,0,0,1.4545454545454546
50,51,10,17,18,19,107,0,0,1.3644859813084111
51,47,12,14,13,22,114,0,0,1.3421052631578947
52,43,13,11,11,22,122,0,0,1.3032786885245902
53,42,9,11,13,16,131,0,0,1.2442748091603053
54,38,9,9,11,19,136,0,0,1.2205882352941178
55,36,7,7,12,20,140,0,0,1.2
56,35,7,7,10,15,148,0,0,1.1689189189189189
57,32,6,6,10,14,154,0,0,1.1428571428571428
58,31,5,6,8,17,155,0,0,1.135483870967742
59,30,5,5,6,14,162,0,0,1.1296296296296295
60,30,2,4,8,12,166,0,0,1.1265060240963856
61,29,2,4,6,13,168,0,0,1.119047619047619
62,28,2,3,5,12,172,0,0,1.0988372093023255
63,28,2,2,4,9,177,0,0,1.0677966101694916
64,28,1,1,3,8,181,0,0,1.0552486187845305
65,28,0,1,3,9,181,0,0,1.0552486187845305
66,28,0,1,2,7,184,0,0,1.0380434782608696
67,28,0,0,2,5,187,0,0,1.0213903743315509
68,28,0,0,1,5,188,0,0,1.0159574468085106
69,27,1,0,0,4,190,0,0,1.0157894736842106
70,27,1,0,0,3,191,0,0,1.0157068062827226
71,27,1,0,0,2,192,0,0,1.0104166666666667
72,27,0,0,1,2,192,0,0,1.0104166666666667
73,27,0,0,1,1,193,0,0,1.005181347150259
74,27,0,0,1,0,194,0,0,1.0
75,27,0,0,1,0,194,0,0,1.0
76,27,0,0,0,1,194,0,0,1.0
77,27,0,0,0,1,194,0,0,1.0
78,27,0,0,0,1,194,0,0,1.0
79,27,0,0,0,1,194,0,0,1.0
80,27,0,0,0,1,194,0,0,1.0
81,27,0,0,0,0,195,0,0,0.9948717948717949
82,27,0,0,0,0,195,0,0,0.9948717948717949
83,27,0,0,0,0,195,0,0,0.9948717948717949
84,27,0,0,0,0,195,0,0,0.9948717948717949
85,27,0,0,0,0,195,0,0,0.9948717948717949
86,27,0,0,0,0,195,0,0,0.9948717948717949
87,27,0,0,0,0,195,0,0,0.9948717948717949
88,27,0,0,0,0,195,0,0,0.9948717948717949
89,27,0,0,0,0,195,0,0,0.9948717948717949
90,27,0,0,0,0,195,0,0,0.9948717948717949
91,27,0,0,0,0,195,0,0,0.9948717948717949
92,27,0,0,0,0,195,0,0,0.9948717948717949
93,27,0,0,0,0,195,0,0,0.9948717948717949
94,27,0,0,0,0,195,0,0,0.9948717948717949
95,27,0,0,0,0,195,0,0,0.9948717948717949
96,27,0,0,0,0,195,0,0,0.9948717948717949
97,27,0,0,0,0,195,0,0,0.9948717948717949
98,27,0,0,0,0,195,0,0,0.9948717948717949
99,27,0,0,0,0,195,0,0,0.9948717948717949
