Day,Suceptible,Exposed,Infected_asymptomatic,Infected_presymptomatic,Infected_symptomatic,Recovered,Hospitalized,Death,R_null
0,221.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,220.4,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,220.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,219.8,1.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,219.1,1.3,0.1,0.5,1.0,0.0,0.0,0.0,0.0
5,218.3,1.7,0.1,0.9,1.0,0.0,0.0,0.0,0.0
6,217.3,2.5,0.1,1.1,1.0,0.0,0.0,0.0,0.0
7,216.2,2.9,0.6,1.3,1.0,0.0,0.0,0.0,0.0
8,215.0,3.3,1.1,1.1,0.5,1.0,0.0,0.0,3.7
9,214.7,2.6,1.5,1.3,0.9,1.0,0.0,0.0,3.7
10,213.4,2.8,2.0,1.7,1.1,1.0,0.0,0.0,3.7
11,210.8,4.2,2.4,2.2,1.3,1.1,0.0,0.0,3.7
12,209.6,5.1,2.6,2.0,1.6,1.1,0.0,0.0,3.7
13,208.3,5.1,2.8,2.5,1.7,1.6,0.0,0.0,3.6833333333333327
14,206.4,4.4,3.5,3.3,1.9,2.5,0.0,0.0,3.6833333333333327
15,204.4,5.2,3.7,3.1,2.4,3.2,0.0,0.0,3.616666666666667
16,201.8,6.5,3.8,3.8,2.3,3.8,0.0,0.0,3.416666666666667
17,197.9,8.5,4.0,3.9,3.1,4.6,0.0,0.0,3.3166666666666673
18,194.3,10.1,4.4,3.6,3.9,5.7,0.0,0.0,3.4333333333333336
19,191.8,10.0,4.9,5.0,3.8,6.5,0.0,0.0,3.71
20,188.3,9.6,6.2,6.6,3.9,7.4,0.0,0.0,3.9092063492063494
21,184.8,9.5,6.4,7.6,5.0,8.7,0.0,0.0,3.5772222222222227
22,180.0,11.8,6.7,8.0,5.0,10.5,0.0,0.0,3.5785714285714283
23,174.5,13.8,7.6,8.2,5.5,12.4,0.0,0.0,3.538839632589633
24,169.8,15.0,8.6,7.6,7.4,13.6,0.0,0.0,3.550830999066293
25,164.4,15.6,9.5,8.4,8.8,15.3,0.0,0.0,3.4515056022408963
26,161.6,12.9,10.4,10.8,9.1,17.2,0.0,0.0,3.3816228070175436
27,157.4,12.4,10.7,11.6,10.1,19.8,0.0,0.0,3.2183275058275056
28,152.6,11.8,11.5,13.0,10.0,23.1,0.0,0.0,3.187080745341615
29,147.5,14.1,11.9,11.4,10.6,26.5,0.0,0.0,3.2216330126253396
30,143.7,13.7,12.4,9.8,12.3,30.1,0.0,0.0,3.1142776650890243
31,139.6,13.0,12.8,9.6,13.7,33.3,0.0,0.0,3.084958228905597
32,134.8,12.7,13.2,9.3,14.8,37.2,0.0,0.0,3.0443298237751697
33,130.1,13.6,12.7,10.6,14.4,40.6,0.0,0.0,3.0174504776478464
34,125.2,14.4,12.8,10.5,13.7,45.4,0.0,0.0,2.8941288359588597
35,119.7,15.1,13.0,10.2,12.5,51.5,0.0,0.0,2.8343388652690975
36,116.4,13.7,14.1,9.5,12.5,55.8,0.0,0.0,2.7930763130265133
37,112.9,12.3,14.8,9.1,12.0,60.9,0.0,0.0,2.757792708468867
38,110.0,9.7,15.7,9.4,12.8,64.4,0.0,0.0,2.7301551075635433
39,105.2,11.2,15.4,8.4,12.9,68.9,0.0,0.0,2.6912567103084344
