Day,Suceptible,Exposed,Infected_asymptomatic,Infected_presymptomatic,Infected_symptomatic,Recovered,Hospitalized,Death,R_null
0,221.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,220.3,0.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,219.5,1.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,219.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,218.7,1.6,0.3,0.4,1.0,0.0,0.0,0.0,0.0
5,218.1,1.4,0.8,0.7,1.0,0.0,0.0,0.0,0.0
6,217.3,1.7,1.0,1.0,1.0,0.0,0.0,0.0,0.0
7,216.8,1.9,1.0,1.3,1.0,0.0,0.0,0.0,0.0
8,215.0,3.1,1.3,1.2,0.4,1.0,0.0,0.0,3.3
9,214.4,2.9,1.8,1.2,0.7,1.0,0.0,0.0,3.3
10,213.8,3.0,2.0,1.2,1.0,1.0,0.0,0.0,3.3
11,212.2,2.8,2.7,1.7,1.3,1.3,0.0,0.0,2.75
12,210.5,3.9,2.3,1.9,1.6,1.8,0.0,0.0,2.725
13,208.9,4.9,2.2,2.1,1.5,2.4,0.0,0.0,2.725
14,207.1,5.1,2.9,2.7,1.5,2.7,0.0,0.0,2.925
15,204.8,5.7,2.9,3.3,2.0,3.3,0.0,0.0,2.867857142857143
16,203.0,5.9,2.9,3.9,2.2,4.1,0.0,0.0,3.0795238095238093
17,200.8,6.3,3.2,4.7,2.4,4.6,0.0,0.0,2.9491666666666667
18,198.2,6.6,3.1,5.2,3.0,5.9,0.0,0.0,2.6543650793650793
19,195.3,7.7,3.8,4.8,4.1,6.3,0.0,0.0,2.763203463203463
20,192.9,7.9,4.8,4.8,4.4,7.2,0.0,0.0,2.9702380952380953
21,189.5,8.7,5.7,4.5,5.2,8.4,0.0,0.0,2.950686813186813
22,187.1,8.2,6.8,4.6,6.1,9.2,0.0,0.0,2.936706349206349
23,183.7,9.2,7.0,5.3,6.2,10.6,0.0,0.0,2.8989028944911297
24,180.0,9.5,8.2,5.9,5.9,12.5,0.0,0.0,3.0265458225984543
25,176.1,11.0,8.3,6.3,5.8,14.5,0.0,0.0,3.0698015873015874
26,173.1,10.6,8.8,6.9,6.0,16.6,0.0,0.0,2.9605168426344894
27,169.9,10.1,8.9,7.7,6.3,19.1,0.0,0.0,2.7888784461152882
28,167.4,8.7,9.1,8.1,7.0,21.7,0.0,0.0,2.713828328534211
29,163.3,9.8,9.2,8.2,7.3,24.2,0.0,0.0,2.7546773182957396
30,159.4,10.5,9.6,8.2,8.4,25.9,0.0,0.0,2.75402638950317
31,155.2,12.2,9.3,6.8,9.4,29.1,0.0,0.0,2.7302582057669964
32,151.7,11.6,10.4,6.7,9.8,31.8,0.0,0.0,2.6518464189831996
33,147.8,11.6,10.4,7.8,9.6,34.8,0.0,0.0,2.610215002388915
34,144.5,10.7,10.9,8.2,10.3,37.4,0.0,0.0,2.6013927308323863
35,140.1,11.6,10.5,9.2,9.3,41.3,0.0,0.0,2.566838486057553
36,137.8,10.0,10.4,9.7,8.8,45.3,0.0,0.0,2.5277055639179027
37,135.2,9.3,11.2,8.5,9.3,48.5,0.0,0.0,2.514968721283559
38,133.3,6.8,11.5,8.7,10.3,51.4,0.0,0.0,2.5040173417375096
39,130.8,7.0,9.9,8.4,10.3,55.6,0.0,0.0,2.4836696811268917
40,128.7,6.5,9.5,7.6,11.7,58.0,0.0,0.0,2.469786641204324
41,125.3,8.0,8.5,7.4,11.1,61.7,0.0,0.0,2.436370463296195
42,123.8,7.0,8.2,6.1,11.2,65.7,0.0,0.0,2.5308703839293902
43,120.9,7.8,7.9,5.3,10.5,69.6,0.0,0.0,2.5107274831334725
44,118.5,6.8,7.1,5.9,10.1,73.6,0.0,0.0,2.530437882202757
45,115.9,7.9,5.9,5.7,8.8,77.8,0.0,0.0,2.5129538583960196
46,113.5,7.4,6.5,6.1,8.8,79.7,0.0,0.0,2.504761268823769
47,111.3,7.2,6.6,6.5,7.1,83.3,0.0,0.0,2.5319940714550397
48,109.1,6.8,7.0,5.7,7.6,85.8,0.0,0.0,2.53006501615452
49,106.2,7.3,6.9,6.1,6.9,88.6,0.0,0.0,2.5699510515864388
50,104.4,6.9,6.5,5.8,7.5,90.9,0.0,0.0,2.5636946287828324
51,102.3,6.8,6.0,6.0,7.5,93.4,0.0,0.0,2.596664922200767
52,100.3,5.9,6.6,6.3,8.0,94.9,0.0,0.0,2.594693928165256
