Day,Suceptible,Exposed,Infected_asymptomatic,Infected_presymptomatic,Infected_symptomatic,Recovered,Hospitalized,Death,R_null
0,221,0,0,1,0,0,0,0,0
1,221,0,0,1,0,0,0,0,0
2,219,2,0,1,0,0,0,0,0
3,219,2,0,0,1,0,0,0,0
4,219,2,0,0,1,0,0,0,0
5,219,0,0,2,1,0,0,0,0
6,217,2,0,2,1,0,0,0,0
7,217,2,0,2,1,0,0,0,0
8,214,5,0,2,0,1,0,0,2.0
9,212,5,1,1,2,1,0,0,2.0
10,211,6,1,1,2,1,0,0,2.0
11,209,5,2,3,2,1,0,0,2.0
12,209,3,2,5,2,1,0,0,2.0
13,207,4,3,4,3,1,0,0,2.0
14,203,6,3,6,1,3,0,0,3.0
15,199,10,3,4,3,3,0,0,3.0
16,197,10,3,3,5,4,0,0,2.25
17,195,8,6,4,5,4,0,0,2.25
18,191,8,5,6,6,6,0,0,2.0
19,189,8,6,7,6,6,0,0,2.0
20,183,12,6,7,5,9,0,0,2.0
21,176,15,9,7,4,11,0,0,2.0
22,172,17,11,3,8,11,0,0,2.0
23,170,13,13,5,7,14,0,0,2.142857142857143
24,165,11,13,8,8,17,0,0,1.9411764705882353
25,158,14,15,9,8,18,0,0,1.8888888888888888
26,153,17,15,10,7,20,0,0,1.75
27,148,17,16,10,6,25,0,0,1.76
28,142,16,17,9,9,29,0,0,1.6551724137931034
29,140,13,16,11,10,32,0,0,1.65625
30,134,14,15,13,10,36,0,0,1.5277777777777777
31,126,16,13,15,13,39,0,0,1.435897435897436
32,121,19,11,14,13,44,0,0,1.5227272727272727
33,119,15,12,14,13,49,0,0,1.5918367346938775
34,117,9,12,17,14,53,0,0,1.490566037735849
35,111,10,11,14,18,58,0,0,1.4310344827586208
36,104,15,11,13,17,62,0,0,1.435483870967742
37,99,18,10,10,18,67,0,0,1.3582089552238805
38,97,14,10,9,20,72,0,0,1.3055555555555556
39,92,12,10,14,19,75,0,0,1.28
40,87,12,10,16,15,82,0,0,1.2682926829268293
41,81,16,9,16,14,86,0,0,1.2325581395348837
42,79,13,8,14,15,93,0,0,1.2150537634408602
43,77,10,9,10,16,100,0,0,1.22
44,73,8,11,10,17,103,0,0,1.2135922330097086
45,69,10,10,11,17,105,0,0,1.2285714285714286
46,64,13,12,8,19,106,0,0,1.2264150943396226
47,64,9,14,5,17,113,0,0,1.1946902654867257
48,64,5,14,5,13,121,0,0,1.1735537190082646
49,64,0,15,5,12,126,0,0,1.1507936507936507
50,63,1,13,5,11,129,0,0,1.124031007751938
51,63,1,10,5,8,135,0,0,1.0888888888888888
52,63,1,10,2,8,138,0,0,1.108695652173913
53,63,0,8,1,7,143,0,0,1.0909090909090908
54,63,0,4,1,5,149,0,0,1.0536912751677852
55,63,0,3,1,5,150,0,0,1.0466666666666666
56,63,0,0,1,5,153,0,0,1.026143790849673
57,62,1,0,0,3,156,0,0,1.0128205128205128
58,62,1,0,0,1,158,0,0,1.0
59,62,1,0,0,1,158,0,0,1.0
60,62,0,0,1,1,158,0,0,1.0
61,62,0,0,1,1,158,0,0,1.0
62,62,0,0,1,0,159,0,0,1.0
63,60,2,0,1,0,159,0,0,1.0
64,60,2,0,0,1,159,0,0,1.0
65,60,2,0,0,1,159,0,0,1.0
66,60,0,0,2,1,159,0,0,1.0
67,60,0,0,2,1,159,0,0,1.0
68,60,0,0,2,1,159,0,0,1.0
69,60,0,0,2,0,160,0,0,1.00625
70,60,0,0,0,2,160,0,0,1.00625
71,60,0,0,0,2,160,0,0,1.00625
72,60,0,0,0,2,160,0,0,1.00625
73,60,0,0,0,2,160,0,0,1.00625
74,60,0,0,0,2,160,0,0,1.00625
