Day,Suceptible,Exposed,Infected_asymptomatic,Infected_presymptomatic,Infected_symptomatic,Recovered,Hospitalized,Death,R_null
0,221.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,220.1,0.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,219.1,1.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,218.6,2.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,218.6,1.5,0.4,0.5,1.0,0.0,0.0,0.0,0.0
5,217.9,1.2,0.9,1.0,1.0,0.0,0.0,0.0,0.0
6,217.3,1.3,1.0,1.4,1.0,0.0,0.0,0.0,0.0
7,216.4,2.2,1.0,1.4,1.0,0.0,0.0,0.0,0.0
8,215.7,2.2,1.6,1.0,0.5,1.0,0.0,0.0,2.4
9,214.9,2.4,1.8,0.9,1.0,1.0,0.0,0.0,2.4
10,214.6,1.8,2.2,1.0,1.4,1.0,0.0,0.0,2.4
11,214.2,1.5,2.3,1.2,1.4,1.4,0.0,0.0,2.15
12,212.8,2.1,2.1,1.6,1.5,1.9,0.0,0.0,2.066666666666667
13,211.7,2.9,2.0,1.5,1.4,2.5,0.0,0.0,2.0166666666666666
14,210.6,3.6,2.2,1.2,1.4,3.0,0.0,0.0,2.1083333333333334
15,209.5,3.3,2.0,2.0,1.2,4.0,0.0,0.0,2.005
16,208.7,3.0,2.3,2.1,1.7,4.2,0.0,0.0,2.005
17,207.1,3.5,2.5,2.3,1.9,4.7,0.0,0.0,2.025
18,205.2,4.3,2.4,2.8,1.7,5.6,0.0,0.0,1.8416666666666668
19,203.7,5.0,2.3,2.4,2.2,6.4,0.0,0.0,1.8216666666666668
20,201.8,5.3,2.9,2.8,2.6,6.6,0.0,0.0,1.9116666666666666
21,200.3,4.9,3.5,3.4,2.6,7.3,0.0,0.0,1.8720634920634922
22,198.3,5.4,3.6,3.7,3.0,8.0,0.0,0.0,1.8744444444444444
23,195.7,6.1,3.7,4.4,3.4,8.7,0.0,0.0,1.855714285714286
24,192.8,7.5,3.6,4.4,3.4,10.3,0.0,0.0,1.9192460317460316
25,191.1,7.2,4.0,4.5,3.9,11.3,0.0,0.0,1.9308333333333334
26,189.2,6.5,4.9,5.0,4.4,12.0,0.0,0.0,1.9744949494949495
27,186.4,6.4,5.5,5.4,5.0,13.3,0.0,0.0,1.9561538461538461
28,184.2,6.9,5.1,5.7,5.4,14.7,0.0,0.0,1.9176085245164196
29,182.0,7.2,5.6,5.4,5.6,16.2,0.0,0.0,1.884691857849753
30,180.0,6.4,6.3,5.4,6.0,17.9,0.0,0.0,1.8719977081741788
31,177.8,6.4,6.8,4.9,6.7,19.4,0.0,0.0,1.8519915896460517
32,174.9,7.1,7.0,4.8,6.7,21.5,0.0,0.0,1.8369476031215164
33,172.9,7.1,6.6,5.2,6.6,23.6,0.0,0.0,1.8178706800445934
34,170.9,6.9,6.0,5.3,6.9,26.0,0.0,0.0,1.8218880173241228
35,168.6,6.3,6.2,6.4,6.6,27.9,0.0,0.0,1.7783688589976623
36,165.9,7.0,5.9,6.5,6.1,30.6,0.0,0.0,1.7274484339190224
37,164.6,6.3,5.5,6.3,6.1,33.2,0.0,0.0,1.6944455341251679
38,162.7,5.9,5.6,5.9,6.8,35.1,0.0,0.0,1.678665226312285
39,160.5,5.4,5.6,5.3,7.6,37.6,0.0,0.0,1.6754329514824797
40,158.9,5.7,5.4,4.8,7.7,39.5,0.0,0.0,1.6684188603733232
41,156.9,5.8,5.8,4.6,7.6,41.3,0.0,0.0,1.6536675774781855
42,155.2,5.3,6.1,4.7,7.5,43.2,0.0,0.0,1.648672199014166
43,154.4,4.5,6.2,3.8,7.6,45.5,0.0,0.0,1.6246594363083724
44,153.7,3.2,6.4,3.9,6.1,48.7,0.0,0.0,1.6045211703265607
45,152.6,2.6,5.9,4.1,5.7,51.1,0.0,0.0,1.5822349401810845
46,151.9,2.5,5.3,3.2,5.9,53.2,0.0,0.0,1.5719855610984523
47,150.6,3.1,5.2,2.7,5.5,54.9,0.0,0.0,1.5836418719351273
48,150.3,2.3,4.8,2.3,4.7,57.6,0.0,0.0,1.5726619251810254
49,150.0,1.9,4.2,1.6,5.0,59.3,0.0,0.0,1.5793248456790123
50,149.8,0.8,4.3,1.6,4.5,61.0,0.0,0.0,1.5648861595920418
51,149.3,1.0,3.3,1.5,3.5,63.4,0.0,0.0,1.5530614833967564
52,149.1,0.9,2.9,1.1,3.2,64.8,0.0,0.0,1.5466657526906809
53,148.7,1.1,2.5,0.9,2.7,66.1,0.0,0.0,1.5378422608636553
54,148.1,1.2,2.3,0.8,2.0,67.6,0.0,0.0,1.5327999889290211
55,147.4,1.7,1.7,0.8,1.8,68.6,0.0,0.0,1.5232905478406327
