Day,Suceptible,Exposed,Infected_asymptomatic,Infected_presymptomatic,Infected_symptomatic,Recovered,Hospitalized,Death,R_null
0,221,0,0,1,0,0,0,0,0
1,221,0,0,1,0,0,0,0,0
2,221,0,0,1,0,0,0,0,0
3,220,1,0,0,1,0,0,0,0
4,220,1,0,0,1,0,0,0,0
5,220,1,0,0,1,0,0,0,0
6,220,0,0,1,1,0,0,0,0
7,220,0,0,1,1,0,0,0,0
8,219,1,0,1,0,1,0,0,1.0
9,219,1,0,1,0,1,0,0,1.0
10,219,1,0,0,1,1,0,0,1.0
11,219,0,0,1,1,1,0,0,1.0
12,217,2,0,1,1,1,0,0,1.0
13,217,2,0,1,1,1,0,0,1.0
14,217,2,0,1,1,1,0,0,1.0
15,215,2,1,1,1,2,0,0,1.0
16,215,2,1,1,1,2,0,0,1.0
17,215,2,1,1,1,2,0,0,1.0
18,212,3,2,2,1,2,0,0,1.0
19,211,4,2,1,2,2,0,0,1.0
20,210,5,2,1,1,3,0,0,2.0
21,208,4,4,2,1,3,0,0,2.0
22,207,4,3,2,2,4,0,0,2.0
23,207,3,3,3,2,4,0,0,2.0
24,205,3,3,5,1,5,0,0,2.25
25,204,3,2,5,2,6,0,0,2.25
26,204,3,2,4,3,6,0,0,2.25
27,203,2,3,4,3,7,0,0,2.6
28,201,3,1,3,5,9,0,0,2.6
29,198,6,1,2,6,9,0,0,2.6
30,195,8,1,3,5,10,0,0,2.5
31,195,6,2,3,5,11,0,0,2.2857142857142856
32,195,3,2,5,5,12,0,0,2.125
33,195,0,2,8,3,14,0,0,2.0
34,188,7,1,7,3,16,0,0,2.0
35,186,9,1,6,4,16,0,0,2.0
36,180,15,1,3,6,17,0,0,2.3636363636363638
37,180,8,6,2,8,18,0,0,2.3636363636363638
38,179,7,7,2,8,19,0,0,2.3636363636363638
39,179,1,9,6,7,20,0,0,2.3636363636363638
40,172,8,9,6,6,21,0,0,2.3636363636363638
41,168,11,10,4,5,24,0,0,2.5
42,166,13,10,4,2,27,0,0,2.5625
43,165,7,12,5,6,27,0,0,2.5625
44,161,7,8,8,6,32,0,0,2.4444444444444446
45,157,9,6,10,6,34,0,0,2.3684210526315788
46,152,13,4,11,4,38,0,0,2.35
47,148,13,6,8,9,38,0,0,2.35
48,145,12,6,8,8,43,0,0,2.4782608695652173
49,143,9,9,8,10,43,0,0,2.4782608695652173
50,142,6,9,9,11,45,0,0,2.4583333333333335
51,138,7,9,9,13,46,0,0,2.4
52,132,11,10,7,11,51,0,0,2.413793103448276
53,129,13,10,6,10,54,0,0,2.3548387096774195
54,126,12,8,8,10,58,0,0,2.3548387096774195
55,124,8,11,8,11,60,0,0,2.3125
56,119,10,10,8,10,65,0,0,2.235294117647059
57,118,8,8,10,8,70,0,0,2.2972972972972974
58,116,8,8,7,10,73,0,0,2.289473684210526
59,114,5,9,8,10,76,0,0,2.3333333333333335
60,112,6,10,7,9,78,0,0,2.3
61,106,10,11,5,11,79,0,0,2.341463414634146
62,104,10,8,5,11,84,0,0,2.3333333333333335
63,102,10,7,3,10,90,0,0,2.272727272727273
64,100,6,9,7,8,92,0,0,2.3260869565217392
65,97,7,9,7,8,94,0,0,2.3260869565217392
66,94,8,8,7,6,99,0,0,2.2916666666666665
67,92,8,8,7,6,101,0,0,2.2653061224489797
68,91,6,8,5,7,105,0,0,2.2745098039215685
69,90,4,7,7,8,106,0,0,2.2745098039215685
70,89,3,6,8,8,108,0,0,2.269230769230769
71,86,5,5,7,8,111,0,0,2.30188679245283
72,85,5,5,5,9,113,0,0,2.2962962962962963
73,83,6,4,3,8,118,0,0,2.2857142857142856
74,83,3,5,2,9,120,0,0,2.280701754385965
75,83,2,4,3,8,122,0,0,2.280701754385965
76,83,0,5,4,7,123,0,0,2.2586206896551726
77,83,0,5,3,6,125,0,0,2.23728813559322
78,83,0,4,2,4,129,0,0,2.2295081967213113
79,83,0,3,1,3,132,0,0,2.225806451612903
80,83,0,3,0,4,132,0,0,2.225806451612903
81,83,0,1,0,4,134,0,0,2.225806451612903
82,83,0,1,0,3,135,0,0,2.225806451612903
83,83,0,0,0,2,137,0,0,2.225806451612903
84,83,0,0,0,1,138,0,0,2.225806451612903
85,83,0,0,0,0,139,0,0,2.225806451612903
86,83,0,0,0,0,139,0,0,2.225806451612903
87,83,0,0,0,0,139,0,0,2.225806451612903
88,83,0,0,0,0,139,0,0,2.225806451612903
89,83,0,0,0,0,139,0,0,2.225806451612903
90,83,0,0,0,0,139,0,0,2.225806451612903
91,83,0,0,0,0,139,0,0,2.225806451612903
92,83,0,0,0,0,139,0,0,2.225806451612903
93,83,0,0,0,0,139,0,0,2.225806451612903
94,83,0,0,0,0,139,0,0,2.225806451612903
95,83,0,0,0,0,139,0,0,2.225806451612903
96,83,0,0,0,0,139,0,0,2.225806451612903
97,83,0,0,0,0,139,0,0,2.225806451612903
98,83,0,0,0,0,139,0,0,2.225806451612903
99,83,0,0,0,0,139,0,0,2.225806451612903
