Day,Suceptible,Exposed,Infected_asymptomatic,Infected_presymptomatic,Infected_symptomatic,Recovered,Hospitalized,Death,R_null
0,221.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,221.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,220.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,219.5,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,219.5,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,219.5,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0
6,218.5,1.0,0.0,1.5,1.0,0.0,0.0,0.0,0.0
7,216.0,3.5,0.0,1.5,1.0,0.0,0.0,0.0,0.0
8,214.0,5.5,0.0,1.5,0.0,1.0,0.0,0.0,1.5
9,212.5,6.0,0.5,1.0,1.0,1.0,0.0,0.0,1.5
10,211.5,4.5,1.0,2.5,1.5,1.0,0.0,0.0,1.5
11,209.0,5.0,2.5,3.0,1.5,1.0,0.0,0.0,1.5
12,207.5,5.0,3.0,4.0,1.5,1.0,0.0,0.0,1.5
13,203.0,8.5,3.5,4.0,2.0,1.0,0.0,0.0,1.5
