Day,Suceptible,Exposed,Infected_asymptomatic,Infected_presymptomatic,Infected_symptomatic,Recovered,Hospitalized,Death,R_null
0,221,0,0,1,0,0,0,0,0
1,219,2,0,1,0,0,0,0,0
2,218,3,0,1,0,0,0,0,0
3,217,4,0,0,1,0,0,0,0
4,217,2,2,0,1,0,0,0,0
5,216,2,2,1,1,0,0,0,0
6,215,2,3,1,1,0,0,0,0
7,213,4,3,1,1,0,0,0,0
8,213,3,3,2,0,1,0,0,4.0
9,213,2,3,2,1,1,0,0,4.0
10,213,0,4,3,1,1,0,0,4.0
11,213,0,2,3,1,3,0,0,2.0
12,210,3,2,2,2,3,0,0,2.0
13,210,3,1,1,3,4,0,0,1.5
14,210,3,1,0,3,5,0,0,1.6
15,210,0,2,2,3,5,0,0,1.6
16,207,3,2,2,3,5,0,0,1.6
17,207,3,1,2,2,7,0,0,1.1428571428571428
18,206,4,1,2,1,8,0,0,1.375
19,205,2,1,3,2,9,0,0,1.2222222222222223
20,204,3,1,3,2,9,0,0,1.2222222222222223
21,201,5,2,3,2,9,0,0,1.2222222222222223
22,200,5,1,4,2,10,0,0,1.1
23,198,6,1,2,5,10,0,0,1.1
24,195,6,2,4,3,12,0,0,1.3333333333333333
25,193,7,3,4,3,12,0,0,1.3333333333333333
26,192,6,3,5,4,12,0,0,1.3333333333333333
27,189,6,4,6,5,12,0,0,1.3333333333333333
28,180,13,3,6,4,16,0,0,1.4375
29,178,14,3,7,4,16,0,0,1.4375
30,175,14,3,8,6,16,0,0,1.4375
31,169,11,8,9,7,18,0,0,1.3333333333333333
32,167,11,7,9,8,20,0,0,1.4
33,162,13,8,10,7,22,0,0,1.5454545454545454
34,158,11,9,11,10,23,0,0,1.4782608695652173
35,156,11,10,9,11,25,0,0,1.56
36,152,10,13,9,11,27,0,0,1.7037037037037037
37,150,8,16,8,11,29,0,0,1.6206896551724137
38,147,9,12,4,14,36,0,0,1.4444444444444444
39,147,5,13,6,12,39,0,0,1.435897435897436
40,143,7,14,4,11,43,0,0,1.3488372093023255
41,141,6,13,5,10,47,0,0,1.3617021276595744
42,139,8,12,5,8,50,0,0,1.36
43,139,4,11,4,7,57,0,0,1.280701754385965
44,137,4,8,6,6,61,0,0,1.2295081967213115
45,132,7,8,4,6,65,0,0,1.2
46,131,8,7,4,5,67,0,0,1.1791044776119404
47,127,10,6,3,7,69,0,0,1.144927536231884
