Day,Suceptible,Exposed,Infected_asymptomatic,Infected_presymptomatic,Infected_symptomatic,Recovered,Hospitalized,Death,R_null
0,221.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,219.9,1.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,219.2,1.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,218.2,2.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,218.2,1.7,0.3,0.8,1.0,0.0,0.0,0.0,0.0
5,217.7,1.5,0.5,1.3,1.0,0.0,0.0,0.0,0.0
6,216.5,1.7,1.3,1.5,1.0,0.0,0.0,0.0,0.0
7,215.7,2.5,1.3,1.5,1.0,0.0,0.0,0.0,0.0
8,214.4,3.3,1.5,1.0,0.8,1.0,0.0,0.0,2.8
9,213.7,2.8,2.1,1.1,1.3,1.0,0.0,0.0,2.8
10,213.3,2.4,2.5,1.3,1.5,1.0,0.0,0.0,2.8
11,212.3,2.1,2.8,2.0,1.5,1.3,0.0,0.0,2.6
12,211.4,2.3,2.8,2.2,1.8,1.5,0.0,0.0,2.6
13,209.9,3.4,2.1,1.9,1.6,3.1,0.0,0.0,2.5
14,209.1,3.2,2.7,1.9,1.5,3.6,0.0,0.0,2.6166666666666667
15,206.7,4.7,3.0,1.6,2.0,4.0,0.0,0.0,2.583333333333333
16,205.1,4.8,2.9,2.1,2.5,4.6,0.0,0.0,2.4833333333333334
17,203.6,5.5,2.8,2.3,2.5,5.3,0.0,0.0,2.3850000000000002
18,202.3,4.4,3.2,3.3,2.3,6.5,0.0,0.0,2.235
19,199.5,5.6,3.3,4.2,2.3,7.1,0.0,0.0,2.3666666666666663
20,197.4,6.2,3.7,4.2,2.6,7.9,0.0,0.0,2.3745238095238093
21,195.2,7.1,3.6,4.5,2.6,9.0,0.0,0.0,2.454772727272727
22,192.5,7.0,4.3,4.7,3.7,9.8,0.0,0.0,2.4516666666666667
23,189.7,7.7,4.7,4.6,4.6,10.7,0.0,0.0,2.5816666666666666
24,187.6,7.6,5.0,5.2,5.2,11.4,0.0,0.0,2.5970512820512814
25,185.2,7.3,4.8,6.3,5.0,13.4,0.0,0.0,2.575873015873016
26,180.5,9.2,5.2,6.8,6.1,14.2,0.0,0.0,2.570685805422648
27,177.0,10.6,5.4,7.0,5.9,16.1,0.0,0.0,2.6140873015873014
28,172.8,12.4,5.4,7.3,6.2,17.9,0.0,0.0,2.5011111111111113
29,169.3,11.2,6.2,8.1,7.1,20.1,0.0,0.0,2.5021356421356424
30,165.7,11.3,6.5,8.3,8.4,21.8,0.0,0.0,2.4944677544677547
31,160.8,12.0,7.6,9.4,8.2,24.0,0.0,0.0,2.5683298319327728
32,155.6,13.7,8.6,9.2,8.9,26.0,0.0,0.0,2.5615263984381635
33,151.1,14.6,9.2,8.8,10.0,28.3,0.0,0.0,2.494038381209434
34,148.1,12.7,10.1,9.8,10.4,30.9,0.0,0.0,2.5013853367433927
35,144.1,11.5,11.9,10.2,10.8,33.5,0.0,0.0,2.5311924186924184
36,141.3,9.8,11.9,11.0,11.1,36.9,0.0,0.0,2.5181851253247136
37,136.4,11.7,12.1,10.3,11.5,40.0,0.0,0.0,2.442152831093611
38,133.0,11.1,11.6,9.8,12.1,44.4,0.0,0.0,2.4168366558594263
39,129.1,12.2,11.1,8.4,12.7,48.5,0.0,0.0,2.3968467802481497
40,126.6,9.8,12.0,8.6,12.7,52.3,0.0,0.0,2.351631671717484
41,124.3,8.7,12.0,8.8,12.6,55.6,0.0,0.0,2.323079910481899
42,120.9,8.2,11.7,7.9,13.1,60.2,0.0,0.0,2.2886328450867817
43,118.5,8.1,10.5,8.1,11.3,65.5,0.0,0.0,2.252049890168311
44,115.4,8.9,10.5,6.3,11.1,69.8,0.0,0.0,2.202199282199282
45,113.8,7.1,10.6,6.6,10.4,73.5,0.0,0.0,2.178396280755726
46,111.5,7.0,10.2,6.2,10.7,76.4,0.0,0.0,2.1681975231896247
47,108.4,7.0,9.9,5.7,9.6,81.4,0.0,0.0,2.1439364057125085
48,106.3,7.5,8.9,5.8,9.0,84.5,0.0,0.0,2.1277721251986366
49,104.0,7.5,8.2,4.7,8.4,89.2,0.0,0.0,2.1180867921980453
50,102.3,6.1,8.6,5.1,8.1,91.8,0.0,0.0,2.1206415411328914
51,100.8,5.5,8.1,5.1,7.4,95.1,0.0,0.0,2.110373401862796
52,98.5,5.5,8.0,5.2,6.7,98.1,0.0,0.0,2.1188737934335897
53,96.7,5.6,7.8,5.2,6.8,99.9,0.0,0.0,2.1077807398040873
54,95.3,5.5,6.5,4.2,6.6,103.9,0.0,0.0,2.0854417135504004
55,93.8,4.7,7.4,3.8,6.3,106.0,0.0,0.0,2.09570801451651
56,92.3,4.4,6.9,3.7,6.2,108.5,0.0,0.0,2.088287990813428
57,90.8,4.5,6.2,3.6,6.2,110.7,0.0,0.0,2.0731366264028344
58,89.8,4.0,6.1,3.4,6.1,112.6,0.0,0.0,2.064771935518238
59,88.2,4.1,5.6,3.4,5.0,115.7,0.0,0.0,2.0660448395855715
60,86.5,4.3,5.3,3.5,4.8,117.6,0.0,0.0,2.065805098975504
61,85.4,4.4,4.9,3.4,4.6,119.3,0.0,0.0,2.063608221944904
62,84.6,3.6,4.2,3.5,4.3,121.8,0.0,0.0,2.0558783766031667
63,83.7,2.8,4.3,3.5,4.2,123.5,0.0,0.0,2.0484819011735267
64,83.0,2.4,4.0,3.3,4.5,124.8,0.0,0.0,2.0403372659579952
65,82.5,2.1,3.2,3.3,4.3,126.6,0.0,0.0,2.0298725264133304
66,81.6,2.1,2.9,3.0,4.2,128.2,0.0,0.0,2.029018697336404
67,81.0,2.0,2.6,2.8,4.3,129.3,0.0,0.0,2.030407216224923
68,80.2,2.3,2.7,2.1,4.4,130.3,0.0,0.0,2.0258635228907598
69,79.1,2.5,2.2,1.9,4.1,132.2,0.0,0.0,2.0208824402321204
70,78.2,2.8,1.6,1.7,3.8,133.9,0.0,0.0,2.020747089055703
71,77.8,2.4,1.7,1.6,3.6,134.9,0.0,0.0,2.013666658845205
72,77.3,1.8,2.3,1.9,3.0,135.7,0.0,0.0,2.0120996879708337
73,77.3,0.9,2.1,2.0,2.7,137.0,0.0,0.0,2.007825217608106
74,77.1,0.7,2.2,1.9,2.2,137.9,0.0,0.0,2.009257856232646
75,76.7,0.6,2.0,1.8,2.2,138.7,0.0,0.0,2.0096273279650014
76,75.6,1.7,1.7,1.3,2.1,139.6,0.0,0.0,2.0172722672274275
77,75.0,2.1,1.5,0.7,2.6,140.1,0.0,0.0,2.015830825785986
78,74.8,1.9,1.3,0.8,2.2,141.0,0.0,0.0,2.0160472066591173
79,74.5,1.1,1.1,1.1,2.3,141.9,0.0,0.0,2.0162282931782323
80,74.4,0.6,1.1,1.5,1.8,142.6,0.0,0.0,2.0136668092787198
81,74.1,0.7,1.1,1.4,1.4,143.3,0.0,0.0,2.009498000047599
82,73.8,0.7,1.3,1.1,1.0,144.1,0.0,0.0,2.0104606665924574
83,73.7,0.7,1.3,0.5,1.5,144.3,0.0,0.0,2.0120102161420066
84,73.4,0.7,1.3,0.3,1.5,144.8,0.0,0.0,2.0188688680386333
85,73.2,0.6,1.3,0.5,1.5,144.9,0.0,0.0,2.017670066839832
86,73.0,0.7,1.0,0.5,1.4,145.4,0.0,0.0,2.0153623745321396
87,72.9,0.5,0.9,0.6,1.2,145.9,0.0,0.0,2.0138899434544455
88,72.7,0.5,0.8,0.5,0.7,146.8,0.0,0.0,2.0102322465195246
89,72.7,0.3,0.5,0.5,0.5,147.5,0.0,0.0,2.0096346107142837
90,72.5,0.4,0.6,0.5,0.5,147.5,0.0,0.0,2.0096346107142837
91,72.3,0.4,0.6,0.4,0.7,147.6,0.0,0.0,2.0096346107142837
92,72.2,0.5,0.5,0.3,0.7,147.8,0.0,0.0,2.011621752736493
93,72.2,0.3,0.5,0.2,0.7,148.1,0.0,0.0,2.011775814361143
94,72.2,0.1,0.4,0.4,0.5,148.4,0.0,0.0,2.011775814361143
95,71.8,0.4,0.3,0.4,0.6,148.5,0.0,0.0,2.011775814361143
96,71.8,0.4,0.3,0.4,0.4,148.7,0.0,0.0,2.011676654476456
97,71.7,0.5,0.2,0.3,0.4,148.9,0.0,0.0,2.011949878520172
98,71.6,0.2,0.4,0.2,0.4,149.2,0.0,0.0,2.011949878520172
99,71.6,0.2,0.4,0.1,0.5,149.2,0.0,0.0,2.011949878520172
