Day,Suceptible,Exposed,Infected_asymptomatic,Infected_presymptomatic,Infected_symptomatic,Recovered,Hospitalized,Death,R_null
0,221.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,220.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,220.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,220.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,219.0,1.5,0.0,0.5,1.0,0.0,0.0,0.0,0.0
5,218.5,2.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0
6,217.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
7,217.0,2.0,0.5,1.5,1.0,0.0,0.0,0.0,0.0
8,217.0,1.5,1.0,1.0,0.5,1.0,0.0,0.0,4.0
9,216.0,1.0,2.0,1.5,0.5,1.0,0.0,0.0,4.0
10,215.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,4.0
11,214.0,3.0,2.0,0.5,1.5,1.0,0.0,0.0,4.0
12,214.0,2.0,2.5,1.0,1.5,1.0,0.0,0.0,4.0
13,213.0,2.0,3.5,0.5,1.5,1.5,0.0,0.0,4.0
