Day,Suceptible,Exposed,Infected_asymptomatic,Infected_presymptomatic,Infected_symptomatic,Recovered,Hospitalized,Death,R_null
0,221.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,220.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,220.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,220.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,220.5,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0
5,219.5,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0
6,219.5,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0
7,219.5,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0
8,219.5,0.0,0.5,0.5,0.5,1.0,0.0,0.0,1.0
9,219.0,0.5,0.5,0.5,0.5,1.0,0.0,0.0,1.0
10,218.0,1.5,0.5,0.5,0.5,1.0,0.0,0.0,1.0
11,217.5,2.0,0.5,0.5,0.5,1.0,0.0,0.0,1.0
12,217.5,1.5,0.5,0.5,1.0,1.0,0.0,0.0,1.0
13,217.5,0.5,1.0,1.0,0.5,1.5,0.0,0.0,1.0
