Day,Suceptible,Exposed,Infected_asymptomatic,Infected_presymptomatic,Infected_symptomatic,Recovered,Hospitalized,Death,R_null
0,221,0,0,1,0,0,0,0,0
1,220,1,0,1,0,0,0,0,0
2,218,3,0,1,0,0,0,0,0
3,217,4,0,0,1,0,0,0,0
4,217,3,0,1,1,0,0,0,0
5,217,1,2,1,1,0,0,0,0
6,216,1,3,1,1,0,0,0,0
7,216,1,3,1,1,0,0,0,0
8,215,2,3,0,1,1,0,0,4.0
9,214,2,3,1,1,1,0,0,4.0
10,214,2,3,1,1,1,0,0,4.0
11,214,1,4,1,1,1,0,0,4.0
12,214,0,3,1,1,3,0,0,1.6666666666666667
13,214,0,2,0,1,5,0,0,1.4
14,214,0,2,0,1,5,0,0,1.4
15,214,0,2,0,1,5,0,0,1.4
16,214,0,2,0,1,5,0,0,1.4
17,213,1,2,0,1,5,0,0,1.4
18,213,1,1,0,0,7,0,0,1.1428571428571428
19,213,1,0,0,0,8,0,0,1.0
20,213,0,1,0,0,8,0,0,1.0
21,212,1,1,0,0,8,0,0,1.0
22,212,1,1,0,0,8,0,0,1.0
23,212,1,1,0,0,8,0,0,1.0
24,212,0,1,1,0,8,0,0,1.0
25,208,4,1,1,0,8,0,0,1.0
26,207,5,1,1,0,8,0,0,1.0
27,207,5,0,1,0,9,0,0,1.0
28,207,1,1,3,1,9,0,0,1.0
29,205,2,1,4,1,9,0,0,1.0
30,201,6,1,4,1,9,0,0,1.0
31,198,9,1,4,1,9,0,0,1.0
32,196,9,2,2,4,9,0,0,1.0
33,195,6,5,2,4,10,0,0,1.4
34,194,4,5,5,4,10,0,0,1.4
35,193,3,6,5,4,11,0,0,1.3636363636363635
36,185,10,7,4,5,11,0,0,1.3636363636363635
37,184,10,8,3,3,14,0,0,1.4285714285714286
38,177,16,9,0,5,15,0,0,1.6666666666666667
39,175,10,11,5,5,16,0,0,1.5625
40,172,12,9,5,5,19,0,0,1.368421052631579
41,170,7,14,7,4,20,0,0,1.5
42,164,11,12,9,3,23,0,0,1.4782608695652173
43,161,11,12,6,5,27,0,0,1.7777777777777777
44,155,15,12,7,5,28,0,0,1.75
45,154,10,16,6,7,29,0,0,1.7241379310344827
46,151,10,14,6,9,32,0,0,1.59375
47,146,9,17,6,11,33,0,0,1.5454545454545454
48,141,13,12,6,7,43,0,0,1.4186046511627908
49,140,11,12,8,8,43,0,0,1.4186046511627908
50,138,8,13,9,8,46,0,0,1.3695652173913044
51,136,5,13,11,8,49,0,0,1.3877551020408163
52,129,11,9,10,7,56,0,0,1.3035714285714286
53,121,17,8,9,9,58,0,0,1.2758620689655173
54,116,20,5,7,11,63,0,0,1.2380952380952381
55,113,16,10,5,13,65,0,0,1.2461538461538462
56,113,8,16,7,11,67,0,0,1.2537313432835822
57,110,6,17,7,12,70,0,0,1.2142857142857142
58,108,5,19,6,10,74,0,0,1.2432432432432432
59,105,8,18,4,9,78,0,0,1.2820512820512822
60,105,5,19,4,7,82,0,0,1.2926829268292683
61,103,5,19,3,9,83,0,0,1.2771084337349397
62,102,3,15,5,7,90,0,0,1.2
63,102,3,9,5,6,97,0,0,1.1237113402061856
64,98,5,7,4,6,102,0,0,1.0980392156862746
65,97,5,4,4,5,107,0,0,1.0934579439252337
66,97,5,4,2,5,109,0,0,1.0825688073394495
67,97,1,4,5,5,110,0,0,1.0818181818181818
68,96,1,4,4,6,111,0,0,1.072072072072072
69,94,3,3,3,5,114,0,0,1.0614035087719298
70,94,3,3,3,4,115,0,0,1.0608695652173914
71,94,2,2,1,5,118,0,0,1.0508474576271187
72,94,0,4,1,5,118,0,0,1.0508474576271187
73,94,0,4,1,4,119,0,0,1.0420168067226891
74,94,0,3,1,3,121,0,0,1.0330578512396693
75,94,0,2,0,4,122,0,0,1.0245901639344261
76,94,0,2,0,1,125,0,0,1.016
77,94,0,2,0,1,125,0,0,1.016
78,94,0,2,0,1,125,0,0,1.016
79,94,0,0,0,1,127,0,0,1.0
80,94,0,0,0,0,128,0,0,0.9921875
81,94,0,0,0,0,128,0,0,0.9921875
82,94,0,0,0,0,128,0,0,0.9921875
83,94,0,0,0,0,128,0,0,0.9921875
84,94,0,0,0,0,128,0,0,0.9921875
85,94,0,0,0,0,128,0,0,0.9921875
86,94,0,0,0,0,128,0,0,0.9921875
87,94,0,0,0,0,128,0,0,0.9921875
88,94,0,0,0,0,128,0,0,0.9921875
89,94,0,0,0,0,128,0,0,0.9921875
90,94,0,0,0,0,128,0,0,0.9921875
91,94,0,0,0,0,128,0,0,0.9921875
92,94,0,0,0,0,128,0,0,0.9921875
93,94,0,0,0,0,128,0,0,0.9921875
94,94,0,0,0,0,128,0,0,0.9921875
95,94,0,0,0,0,128,0,0,0.9921875
96,94,0,0,0,0,128,0,0,0.9921875
97,94,0,0,0,0,128,0,0,0.9921875
98,94,0,0,0,0,128,0,0,0.9921875
99,94,0,0,0,0,128,0,0,0.9921875
