Day,Suceptible,Exposed,Infected_asymptomatic,Infected_presymptomatic,Infected_symptomatic,Recovered,Hospitalized,Death,R_null
0.0,221.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,220.19,0.81,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,219.47,1.53,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3.0,218.71,2.29,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4.0,218.71,1.48,0.3,0.51,1.0,0.0,0.0,0.0,0.0
5.0,218.35,1.12,0.6,0.93,1.0,0.0,0.0,0.0,0.0
6.0,217.61,1.1,0.9,1.39,1.0,0.0,0.0,0.0,0.0
7.0,216.47,2.24,0.9,1.39,1.0,0.0,0.0,0.0,0.0
8.0,215.41,2.94,1.07,1.07,0.51,1.0,0.0,0.0,2.29
9.0,214.61,3.0,1.39,1.07,0.93,1.0,0.0,0.0,2.29
10.0,213.79,2.68,1.9,1.24,1.39,1.0,0.0,0.0,2.29
11.0,213.06,2.35,1.99,1.91,1.39,1.3,0.0,0.0,1.8750000000000002
12.0,211.89,2.72,2.03,2.18,1.58,1.6,0.0,0.0,1.6051666666666664
13.0,210.42,3.37,2.07,2.24,1.49,2.41,0.0,0.0,1.4973333333333334
14.0,208.94,4.12,2.43,1.98,1.7,2.83,0.0,0.0,1.6869999999999998
15.0,207.62,4.27,2.78,1.96,1.91,3.46,0.0,0.0,1.7585000000000002
16.0,206.45,3.97,2.92,2.51,2.37,3.78,0.0,0.0,1.622154761904762
17.0,205.01,3.93,2.87,3.05,2.66,4.48,0.0,0.0,1.4363354978354983
18.0,203.12,4.5,3.01,3.47,2.61,5.29,0.0,0.0,1.386128968253968
19.0,201.3,5.15,3.16,3.5,2.63,6.26,0.0,0.0,1.3619086498297022
20.0,199.64,5.37,3.4,3.35,2.97,7.27,0.0,0.0,1.3609620044987691
21.0,197.72,5.4,3.73,3.53,3.53,8.09,0.0,0.0,1.3322073755020352
22.0,195.54,5.76,3.96,3.81,3.84,9.09,0.0,0.0,1.2950706717808447
23.0,193.5,6.14,4.16,4.13,4.15,9.92,0.0,0.0,1.2673589048419613
24.0,191.18,6.54,4.42,4.47,4.36,11.03,0.0,0.0,1.2446705387607562
25.0,188.96,6.58,4.74,4.6,4.55,12.57,0.0,0.0,1.2421760650363556
26.0,186.6,6.9,5.03,4.79,4.6,14.08,0.0,0.0,1.227464428434312
27.0,184.21,6.97,5.32,5.24,4.81,15.45,0.0,0.0,1.2153401861295294
28.0,181.79,7.17,5.56,5.33,5.33,16.82,0.0,0.0,1.188005351173181
29.0,179.47,7.13,5.62,5.55,5.8,18.43,0.0,0.0,1.1870629433616948
30.0,177.14,7.07,5.95,5.69,5.86,20.29,0.0,0.0,1.1761824017519538
31.0,174.57,7.22,6.13,5.76,6.24,22.08,0.0,0.0,1.165442556299447
32.0,172.36,7.11,6.34,5.73,6.53,23.93,0.0,0.0,1.1535538932266
33.0,169.93,7.21,6.6,5.47,6.88,25.91,0.0,0.0,1.1442449854076553
34.0,167.61,6.96,6.61,5.76,6.95,28.11,0.0,0.0,1.135745297408055
35.0,165.33,7.03,6.59,5.54,7.21,30.3,0.0,0.0,1.118939960011988
36.0,163.18,6.75,6.63,5.86,7.02,32.56,0.0,0.0,1.1102149212742192
37.0,160.83,6.78,6.56,5.97,7.02,34.84,0.0,0.0,1.0876510111034654
38.0,158.39,6.94,6.58,5.64,7.16,37.29,0.0,0.0,1.082595778265185
39.0,156.18,7.0,6.44,5.57,7.06,39.75,0.0,0.0,1.0672181201626223
40.0,154.3,6.53,6.27,5.47,7.12,42.31,0.0,0.0,1.0522735359995963
41.0,152.61,5.78,6.33,5.57,7.26,44.45,0.0,0.0,1.0414441058643171
42.0,150.64,5.54,6.34,5.5,7.33,46.65,0.0,0.0,1.0339842791159568
43.0,148.91,5.39,6.17,5.47,6.87,49.19,0.0,0.0,1.0271182214547434
44.0,147.02,5.59,5.91,5.02,7.05,51.41,0.0,0.0,1.014171918993784
45.0,145.34,5.3,5.72,4.76,6.97,53.91,0.0,0.0,1.0037683186229656
46.0,143.43,5.48,5.47,4.53,6.86,56.23,0.0,0.0,0.990747213100834
47.0,141.82,5.2,5.42,4.4,6.7,58.46,0.0,0.0,0.9852454627347135
48.0,140.33,5.01,5.11,4.42,6.5,60.63,0.0,0.0,0.9743709739109557
49.0,138.88,4.55,4.85,4.43,6.26,63.03,0.0,0.0,0.9631417447890227
50.0,137.26,4.56,4.79,4.36,5.82,65.21,0.0,0.0,0.9575164684294648
51.0,135.78,4.55,4.8,4.11,5.6,67.16,0.0,0.0,0.9538951595897147
52.0,134.49,4.39,4.71,3.87,5.45,69.09,0.0,0.0,0.9476763151440122
53.0,133.23,4.03,4.6,3.68,5.67,70.79,0.0,0.0,0.9432879191964154
54.0,132.13,3.65,4.42,3.53,5.42,72.85,0.0,0.0,0.9389656176733547
55.0,131.04,3.45,4.38,3.41,5.18,74.54,0.0,0.0,0.9349935979384888
56.0,130.02,3.21,4.26,3.32,4.92,76.27,0.0,0.0,0.928526739021283
57.0,128.99,3.14,4.08,2.92,4.93,77.94,0.0,0.0,0.9227386328884774
58.0,128.15,2.89,3.87,2.71,4.52,79.86,0.0,0.0,0.9179427481776128
59.0,127.3,2.72,3.64,2.62,4.23,81.49,0.0,0.0,0.9146095489260516
60.0,126.54,2.45,3.44,2.57,4.13,82.87,0.0,0.0,0.9098180788453576
61.0,125.67,2.48,3.14,2.41,3.98,84.32,0.0,0.0,0.9040088563636928
62.0,124.87,2.43,2.83,2.35,3.55,85.97,0.0,0.0,0.901678419585191
63.0,124.12,2.42,2.58,2.21,3.32,87.35,0.0,0.0,0.8954612995105826
64.0,123.42,2.25,2.53,2.02,3.29,88.49,0.0,0.0,0.8905705555115618
65.0,122.97,1.9,2.36,2.03,3.07,89.67,0.0,0.0,0.8876248592013131
66.0,122.45,1.67,2.28,1.88,2.98,90.74,0.0,0.0,0.8848783679972343
67.0,121.98,1.44,2.2,1.83,2.82,91.73,0.0,0.0,0.8830424834226568
68.0,121.49,1.48,2.06,1.6,2.69,92.68,0.0,0.0,0.880433123218561
69.0,120.92,1.53,1.96,1.43,2.53,93.63,0.0,0.0,0.880579377260041
70.0,120.56,1.42,1.82,1.33,2.45,94.42,0.0,0.0,0.8805900520116994
71.0,120.2,1.29,1.63,1.2,2.3,95.38,0.0,0.0,0.876581583889054
72.0,119.75,1.17,1.58,1.28,2.08,96.14,0.0,0.0,0.8735600266957263
73.0,119.26,1.3,1.37,1.18,1.94,96.95,0.0,0.0,0.8709828962938806
74.0,118.96,1.24,1.24,1.07,1.75,97.74,0.0,0.0,0.8688006699982715
75.0,118.73,1.02,1.21,1.06,1.62,98.36,0.0,0.0,0.8669397498525001
76.0,118.46,0.8,1.25,1.0,1.53,98.96,0.0,0.0,0.8660503791322762
77.0,118.06,0.9,1.22,0.94,1.52,99.36,0.0,0.0,0.8656596231638446
78.0,117.87,0.86,1.07,0.91,1.39,99.9,0.0,0.0,0.8641656653236325
79.0,117.67,0.79,0.96,0.77,1.35,100.46,0.0,0.0,0.8619803174839907
80.0,117.41,0.65,1.0,0.74,1.33,100.87,0.0,0.0,0.8605654836941725
81.0,117.17,0.7,0.92,0.68,1.18,101.35,0.0,0.0,0.8596635339232981
82.0,117.06,0.61,0.82,0.63,1.12,101.76,0.0,0.0,0.8582895874191361
83.0,116.86,0.55,0.74,0.61,1.05,102.19,0.0,0.0,0.8564523184207273
84.0,116.69,0.48,0.74,0.49,1.01,102.59,0.0,0.0,0.8556658615390264
85.0,116.51,0.55,0.72,0.45,0.86,102.91,0.0,0.0,0.8555436116410923
86.0,116.4,0.46,0.7,0.41,0.81,103.22,0.0,0.0,0.8546665669046538
87.0,116.33,0.36,0.61,0.39,0.75,103.56,0.0,0.0,0.8537452227676932
88.0,116.24,0.27,0.63,0.36,0.73,103.77,0.0,0.0,0.8536119128099082
89.0,116.16,0.24,0.64,0.31,0.57,104.08,0.0,0.0,0.8520235781255058
90.0,116.11,0.22,0.53,0.26,0.54,104.34,0.0,0.0,0.8516978799706539
91.0,116.05,0.19,0.45,0.21,0.51,104.59,0.0,0.0,0.850720987027835
92.0,115.99,0.17,0.45,0.17,0.48,104.74,0.0,0.0,0.8501478103762135
93.0,115.94,0.17,0.36,0.17,0.39,104.97,0.0,0.0,0.8497657354707768
94.0,115.89,0.16,0.29,0.19,0.35,105.12,0.0,0.0,0.8490743732714502
95.0,115.82,0.17,0.21,0.19,0.31,105.3,0.0,0.0,0.8482461726506544
96.0,115.75,0.19,0.15,0.17,0.26,105.48,0.0,0.0,0.847538605111851
97.0,115.7,0.19,0.15,0.16,0.2,105.6,0.0,0.0,0.8471301151986833
98.0,115.64,0.18,0.15,0.13,0.23,105.67,0.0,0.0,0.8468311569204807
99.0,115.6,0.15,0.14,0.13,0.24,105.74,0.0,0.0,0.8464952151852679
