Day,Suceptible,Exposed,Infected_asymptomatic,Infected_presymptomatic,Infected_symptomatic,Recovered,Hospitalized,Death,R_null
0,221,0,0,1,0,0,0,0,0
1,220,1,0,1,0,0,0,0,0
2,218,3,0,1,0,0,0,0,0
3,218,3,0,0,1,0,0,0,0
4,218,2,1,0,1,0,0,0,0
5,218,0,1,2,1,0,0,0,0
6,218,0,1,2,1,0,0,0,0
7,217,1,1,2,1,0,0,0,0
8,214,4,1,2,0,1,0,0,3.0
9,212,6,1,0,2,1,0,0,3.0
10,212,5,1,1,2,1,0,0,3.0
11,212,2,1,3,2,2,0,0,1.5
12,211,1,1,5,2,2,0,0,1.5
13,206,6,1,5,2,2,0,0,1.5
14,206,6,1,4,1,4,0,0,2.25
15,205,6,2,2,3,4,0,0,2.25
16,204,2,4,3,5,4,0,0,2.25
17,202,4,4,3,5,4,0,0,2.25
18,200,5,3,4,5,5,0,0,2.2
19,197,7,4,4,4,6,0,0,2.1666666666666665
20,193,9,4,3,5,8,0,0,1.875
21,189,11,5,4,3,10,0,0,1.7
22,189,8,5,5,4,11,0,0,1.6363636363636365
23,188,5,4,8,4,13,0,0,1.4615384615384615
24,185,4,7,7,6,13,0,0,1.4615384615384615
25,181,8,7,6,4,16,0,0,1.6875
26,172,16,7,4,6,17,0,0,1.588235294117647
27,167,18,8,3,8,18,0,0,1.5555555555555556
28,165,16,10,3,9,19,0,0,1.4736842105263157
29,159,13,11,10,7,22,0,0,1.5
30,155,12,10,15,6,24,0,0,1.375
31,147,18,8,14,6,29,0,0,1.3103448275862069
32,143,16,9,18,4,32,0,0,1.65625
33,137,18,10,13,10,34,0,0,1.6176470588235294
34,134,13,12,13,15,35,0,0,1.5714285714285714
35,132,11,11,14,16,38,0,0,1.4736842105263157
36,126,11,10,14,19,42,0,0,1.4761904761904763
37,125,9,12,13,20,43,0,0,1.5348837209302326
38,123,9,11,10,18,51,0,0,1.5686274509803921
39,120,6,12,12,15,57,0,0,1.5263157894736843
40,117,8,11,7,19,60,0,0,1.45
41,116,7,8,8,15,68,0,0,1.338235294117647
42,116,4,7,8,15,72,0,0,1.2777777777777777
43,115,2,6,7,14,78,0,0,1.2179487179487178
44,113,3,4,8,12,82,0,0,1.1829268292682926
45,111,5,4,6,9,87,0,0,1.160919540229885
46,110,5,3,4,10,90,0,0,1.1333333333333333
47,109,4,2,3,11,93,0,0,1.118279569892473
48,109,2,3,3,8,97,0,0,1.092783505154639
49,108,2,2,4,8,98,0,0,1.0816326530612246
50,108,1,2,5,6,100,0,0,1.06
51,108,1,2,3,6,102,0,0,1.0686274509803921
52,108,0,3,2,4,105,0,0,1.0476190476190477
53,108,0,2,1,4,107,0,0,1.0467289719626167
54,108,0,2,0,5,107,0,0,1.0467289719626167
55,108,0,1,0,5,108,0,0,1.037037037037037
56,108,0,1,0,3,110,0,0,1.018181818181818
57,108,0,1,0,2,111,0,0,1.018018018018018
58,108,0,1,0,1,112,0,0,1.0089285714285714
59,107,1,0,0,0,114,0,0,1.0
60,107,1,0,0,0,114,0,0,1.0
61,107,1,0,0,0,114,0,0,1.0
62,107,0,0,1,0,114,0,0,1.0
63,106,1,0,1,0,114,0,0,1.0
64,106,1,0,1,0,114,0,0,1.0
65,105,2,0,1,0,114,0,0,1.0
66,105,1,0,1,1,114,0,0,1.0
67,104,2,0,1,1,114,0,0,1.0
68,104,1,0,2,1,114,0,0,1.0
69,104,1,0,2,1,114,0,0,1.0
70,104,0,1,1,2,114,0,0,1.0
71,102,2,1,1,1,115,0,0,1.008695652173913
72,102,2,1,0,2,115,0,0,1.008695652173913
73,102,2,1,0,2,115,0,0,1.008695652173913
74,102,0,2,1,2,115,0,0,1.008695652173913
75,102,0,2,1,1,116,0,0,1.0086206896551724
76,102,0,2,1,1,116,0,0,1.0086206896551724
77,102,0,1,1,0,118,0,0,1.0084745762711864
78,101,1,1,0,1,118,0,0,1.0084745762711864
79,101,1,1,0,1,118,0,0,1.0084745762711864
80,100,2,1,0,1,118,0,0,1.0084745762711864
81,100,1,0,1,1,119,0,0,1.0084033613445378
82,99,2,0,1,1,119,0,0,1.0084033613445378
83,99,1,0,2,0,120,0,0,1.0083333333333333
84,99,1,0,2,0,120,0,0,1.0083333333333333
85,99,0,0,2,1,120,0,0,1.0083333333333333
86,99,0,0,2,1,120,0,0,1.0083333333333333
87,99,0,0,1,2,120,0,0,1.0083333333333333
88,99,0,0,1,2,120,0,0,1.0083333333333333
89,99,0,0,0,3,120,0,0,1.0083333333333333
90,99,0,0,0,2,121,0,0,1.0082644628099173
91,99,0,0,0,2,121,0,0,1.0082644628099173
92,99,0,0,0,1,122,0,0,1.0
93,99,0,0,0,1,122,0,0,1.0
94,99,0,0,0,0,123,0,0,0.991869918699187
95,99,0,0,0,0,123,0,0,0.991869918699187
96,99,0,0,0,0,123,0,0,0.991869918699187
97,99,0,0,0,0,123,0,0,0.991869918699187
98,99,0,0,0,0,123,0,0,0.991869918699187
99,99,0,0,0,0,123,0,0,0.991869918699187
