Day,Suceptible,Exposed,Infected_asymptomatic,Infected_presymptomatic,Infected_symptomatic,Recovered,Hospitalized,Death,R_null
0,221.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,220.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,220.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,218.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,218.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
5,217.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
6,217.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0
7,216.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0
8,215.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0
9,215.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0
10,215.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0,3.0
11,215.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,3.0
12,215.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,3.0
13,214.0,1.0,3.0,0.0,1.0,3.0,0.0,0.0,1.6666666666666667
14,214.0,1.0,3.0,0.0,1.0,3.0,0.0,0.0,1.6666666666666667
15,214.0,1.0,2.0,0.0,0.0,5.0,0.0,0.0,1.2
16,214.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,1.2
17,214.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,1.0
18,214.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0
19,213.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0
20,213.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0
21,213.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0
22,213.0,0.0,1.0,1.0,0.0,7.0,0.0,0.0,1.0
23,212.0,1.0,0.0,1.0,0.0,8.0,0.0,0.0,1.0
24,210.0,3.0,0.0,1.0,0.0,8.0,0.0,0.0,1.0
25,210.0,3.0,0.0,1.0,0.0,8.0,0.0,0.0,1.0
26,209.0,3.0,1.0,0.0,1.0,8.0,0.0,0.0,1.0
27,209.0,1.0,2.0,1.0,1.0,8.0,0.0,0.0,1.0
28,207.0,3.0,2.0,1.0,1.0,8.0,0.0,0.0,1.0
29,207.0,2.0,2.0,2.0,1.0,8.0,0.0,0.0,1.0
30,204.0,5.0,2.0,2.0,1.0,8.0,0.0,0.0,1.0
31,203.0,4.0,2.0,3.0,1.0,9.0,0.0,0.0,1.3333333333333333
32,203.0,4.0,2.0,3.0,1.0,9.0,0.0,0.0,1.3333333333333333
33,200.0,4.0,1.0,5.0,2.0,10.0,0.0,0.0,1.2
34,198.0,5.0,0.0,6.0,2.0,11.0,0.0,0.0,1.0909090909090908
35,195.0,8.0,0.0,4.0,4.0,11.0,0.0,0.0,1.0909090909090908
36,194.0,6.0,0.0,7.0,3.0,12.0,0.0,0.0,1.25
37,190.0,8.0,1.0,5.0,6.0,12.0,0.0,0.0,1.25
38,186.0,9.0,2.0,6.0,6.0,13.0,0.0,0.0,1.4615384615384615
39,184.0,10.0,2.0,7.0,6.0,13.0,0.0,0.0,1.4615384615384615
40,180.0,10.0,4.0,6.0,7.0,15.0,0.0,0.0,1.6
41,179.0,7.0,5.0,8.0,8.0,15.0,0.0,0.0,1.6
42,174.0,10.0,5.0,8.0,7.0,18.0,0.0,0.0,1.5555555555555556
43,173.0,7.0,7.0,9.0,7.0,19.0,0.0,0.0,1.5263157894736843
44,166.0,13.0,6.0,8.0,9.0,20.0,0.0,0.0,1.45
45,164.0,10.0,6.0,9.0,9.0,24.0,0.0,0.0,1.5833333333333333
46,161.0,12.0,7.0,7.0,10.0,25.0,0.0,0.0,1.64
47,158.0,8.0,7.0,10.0,10.0,29.0,0.0,0.0,1.4482758620689655
48,155.0,9.0,6.0,11.0,10.0,31.0,0.0,0.0,1.4193548387096775
49,149.0,12.0,7.0,9.0,12.0,33.0,0.0,0.0,1.3636363636363635
