Day,Suceptible,Exposed,Infected_asymptomatic,Infected_presymptomatic,Infected_symptomatic,Recovered,Hospitalized,Death,R_null
0,221,0,0,1,0,0,0,0,0
1,221,0,0,1,0,0,0,0,0
2,219,2,0,1,0,0,0,0,0
3,219,2,0,0,1,0,0,0,0
4,219,2,0,0,1,0,0,0,0
5,219,0,0,2,1,0,0,0,0
6,218,1,0,2,1,0,0,0,0
7,217,2,0,2,1,0,0,0,0
8,217,2,0,2,0,1,0,0,2.0
9,215,3,1,0,2,1,0,0,2.0
10,215,2,1,1,2,1,0,0,2.0
11,213,4,1,1,2,1,0,0,2.0
12,211,4,1,3,2,1,0,0,2.0
13,209,6,1,3,2,1,0,0,2.0
14,205,8,1,4,1,3,0,0,2.0
15,203,8,3,4,1,3,0,0,2.0
16,199,10,2,4,3,4,0,0,2.0
17,195,10,4,6,3,4,0,0,2.0
18,195,8,6,4,5,4,0,0,2.0
19,192,7,8,6,4,5,0,0,2.0
20,188,7,9,7,6,5,0,0,2.0
21,185,10,9,5,6,7,0,0,2.5714285714285716
22,181,11,9,6,6,9,0,0,2.0
23,179,9,9,8,6,11,0,0,2.3636363636363638
24,175,10,10,5,9,13,0,0,2.0
25,174,7,10,7,7,17,0,0,1.7058823529411764
26,172,7,9,7,6,21,0,0,1.5238095238095237
27,168,7,8,7,10,22,0,0,1.4545454545454546
28,164,10,8,8,8,24,0,0,1.625
29,161,11,8,6,7,29,0,0,1.4827586206896552
30,157,11,10,7,8,29,0,0,1.4827586206896552
31,154,10,11,3,11,33,0,0,1.4242424242424243
32,154,7,11,3,8,39,0,0,1.3846153846153846
33,150,7,13,4,8,40,0,0,1.35
34,147,7,13,5,8,42,0,0,1.3095238095238095
35,146,8,13,5,7,43,0,0,1.3488372093023255
36,141,9,13,6,4,49,0,0,1.2857142857142858
37,134,13,11,8,4,52,0,0,1.2884615384615385
38,131,15,7,6,7,56,0,0,1.2321428571428572
39,128,13,9,7,5,60,0,0,1.2333333333333334
40,126,8,9,9,7,63,0,0,1.1904761904761905
41,116,15,10,8,9,64,0,0,1.1875
42,110,18,11,9,9,65,0,0,1.1846153846153846
43,107,19,10,9,7,70,0,0,1.2142857142857142
44,106,10,15,10,11,70,0,0,1.2142857142857142
45,105,5,19,10,11,72,0,0,1.2638888888888888
46,102,5,17,9,10,79,0,0,1.2658227848101267
47,99,7,14,9,10,83,0,0,1.2289156626506024
48,98,7,14,4,14,85,0,0,1.2117647058823529
49,97,5,14,4,12,90,0,0,1.2666666666666666
50,95,4,14,5,11,93,0,0,1.2365591397849462
51,93,5,9,5,10,100,0,0,1.15
52,91,6,5,6,9,105,0,0,1.1142857142857143
53,89,6,4,5,6,112,0,0,1.0803571428571428
54,87,6,5,4,6,114,0,0,1.0789473684210527
55,86,5,5,4,6,116,0,0,1.0775862068965518
56,84,5,4,5,6,118,0,0,1.0677966101694916
57,84,3,4,5,7,119,0,0,1.0588235294117647
58,80,6,4,5,6,121,0,0,1.0578512396694215
59,79,5,4,6,5,123,0,0,1.08130081300813
60,79,5,3,4,6,125,0,0,1.064
61,79,1,3,6,6,127,0,0,1.0551181102362204
62,77,2,2,6,6,129,0,0,1.054263565891473
63,77,2,2,4,7,130,0,0,1.0692307692307692
64,77,2,1,4,6,132,0,0,1.053030303030303
65,76,1,1,3,7,134,0,0,1.0522388059701493
66,76,1,1,2,7,135,0,0,1.0518518518518518
67,75,2,1,2,6,136,0,0,1.0441176470588236
68,75,1,0,3,4,139,0,0,1.0287769784172662
69,73,3,0,1,6,139,0,0,1.0287769784172662
70,73,2,0,2,3,142,0,0,1.028169014084507
71,72,3,0,2,2,143,0,0,1.020979020979021
72,72,1,0,3,3,143,0,0,1.020979020979021
73,70,3,0,3,3,143,0,0,1.020979020979021
74,69,3,1,2,2,145,0,0,1.013793103448276
75,69,3,1,2,2,145,0,0,1.013793103448276
76,69,1,3,0,4,145,0,0,1.013793103448276
77,69,0,4,0,3,146,0,0,1.0136986301369864
78,69,0,4,0,3,146,0,0,1.0136986301369864
79,69,0,4,0,2,147,0,0,1.0204081632653061
80,69,0,4,0,2,147,0,0,1.0204081632653061
81,69,0,3,0,0,150,0,0,1.0133333333333334
82,69,0,3,0,0,150,0,0,1.0133333333333334
83,69,0,1,0,0,152,0,0,1.0
84,69,0,0,0,0,153,0,0,0.9934640522875817
85,69,0,0,0,0,153,0,0,0.9934640522875817
86,69,0,0,0,0,153,0,0,0.9934640522875817
87,69,0,0,0,0,153,0,0,0.9934640522875817
88,69,0,0,0,0,153,0,0,0.9934640522875817
89,69,0,0,0,0,153,0,0,0.9934640522875817
90,69,0,0,0,0,153,0,0,0.9934640522875817
91,69,0,0,0,0,153,0,0,0.9934640522875817
92,69,0,0,0,0,153,0,0,0.9934640522875817
93,69,0,0,0,0,153,0,0,0.9934640522875817
94,69,0,0,0,0,153,0,0,0.9934640522875817
95,69,0,0,0,0,153,0,0,0.9934640522875817
96,69,0,0,0,0,153,0,0,0.9934640522875817
97,69,0,0,0,0,153,0,0,0.9934640522875817
98,69,0,0,0,0,153,0,0,0.9934640522875817
99,69,0,0,0,0,153,0,0,0.9934640522875817
