Day,Suceptible,Exposed,Infected_asymptomatic,Infected_presymptomatic,Infected_symptomatic,Recovered,Hospitalized,Death,R_null
0,221.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,221.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,221.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,220.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,220.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,220.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,220.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
7,219.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
8,219.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
9,218.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
10,218.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
11,218.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
12,218.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
13,217.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
14,215.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
15,215.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,1.5
16,215.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,1.5
17,215.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0
18,214.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0
19,213.0,2.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0
20,212.0,3.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0
21,212.0,2.0,1.0,1.0,2.0,4.0,0.0,0.0,1.5
22,211.0,2.0,1.0,2.0,2.0,4.0,0.0,0.0,1.5
23,211.0,1.0,1.0,2.0,2.0,5.0,0.0,0.0,1.2
24,209.0,3.0,1.0,2.0,2.0,5.0,0.0,0.0,1.2
25,209.0,2.0,1.0,2.0,3.0,5.0,0.0,0.0,1.2
26,208.0,3.0,1.0,1.0,2.0,7.0,0.0,0.0,1.2857142857142858
27,206.0,3.0,1.0,3.0,2.0,7.0,0.0,0.0,1.2857142857142858
28,202.0,7.0,1.0,3.0,2.0,7.0,0.0,0.0,1.2857142857142858
29,199.0,9.0,2.0,2.0,3.0,7.0,0.0,0.0,1.2857142857142858
30,197.0,9.0,1.0,4.0,2.0,9.0,0.0,0.0,1.2222222222222223
31,194.0,8.0,2.0,5.0,3.0,10.0,0.0,0.0,1.2
32,191.0,8.0,3.0,7.0,3.0,10.0,0.0,0.0,1.2
33,188.0,9.0,3.0,9.0,3.0,10.0,0.0,0.0,1.2
34,183.0,11.0,4.0,9.0,4.0,11.0,0.0,0.0,1.6363636363636365
35,179.0,12.0,6.0,7.0,7.0,11.0,0.0,0.0,1.6363636363636365
36,177.0,11.0,7.0,6.0,7.0,14.0,0.0,0.0,1.8571428571428572
37,175.0,8.0,10.0,6.0,9.0,14.0,0.0,0.0,1.8571428571428572
38,171.0,8.0,10.0,7.0,11.0,15.0,0.0,0.0,1.7333333333333334
39,167.0,10.0,10.0,7.0,10.0,18.0,0.0,0.0,1.7222222222222223
40,164.0,11.0,10.0,8.0,8.0,21.0,0.0,0.0,1.7142857142857142
41,161.0,10.0,12.0,7.0,8.0,24.0,0.0,0.0,1.7083333333333333
42,159.0,8.0,13.0,5.0,9.0,28.0,0.0,0.0,1.5
43,157.0,7.0,12.0,6.0,8.0,32.0,0.0,0.0,1.40625
44,154.0,7.0,9.0,7.0,9.0,36.0,0.0,0.0,1.2777777777777777
45,150.0,9.0,10.0,6.0,9.0,38.0,0.0,0.0,1.263157894736842
46,148.0,9.0,9.0,7.0,8.0,41.0,0.0,0.0,1.3658536585365855
47,144.0,10.0,10.0,7.0,7.0,44.0,0.0,0.0,1.2954545454545454
48,143.0,7.0,9.0,6.0,9.0,48.0,0.0,0.0,1.2708333333333333
49,139.0,9.0,7.0,7.0,7.0,53.0,0.0,0.0,1.2452830188679245
50,139.0,5.0,10.0,5.0,8.0,55.0,0.0,0.0,1.2181818181818183
51,134.0,9.0,11.0,3.0,9.0,56.0,0.0,0.0,1.2142857142857142
52,134.0,5.0,9.0,5.0,9.0,60.0,0.0,0.0,1.25
