i,j,k,l,res
0.001,0.001,0.001,0.001,232724
0.001,0.001,0.001,0.401,232724
0.001,0.001,0.401,0.001,232133
0.001,0.001,0.401,0.401,208238
0.001,0.401,0.001,0.001,232724
0.001,0.401,0.001,0.401,232133
0.001,0.401,0.401,0.001,231645
0.001,0.401,0.401,0.401,205596
0.401,0.001,0.001,0.001,232133
0.401,0.001,0.001,0.401,232477
0.401,0.001,0.401,0.001,232294
0.401,0.001,0.401,0.401,201485
0.401,0.401,0.001,0.001,198860
0.401,0.401,0.001,0.401,188238
0.401,0.401,0.401,0.001,195752
0.401,0.401,0.401,0.401,194156
